Question,A,B,C,D,Answer,Grade
Ý nào nói đúng nhất tác dụng của biện pháp tu từ so sánh được sử dụng trong câu văn: “Tôi quên thế nào được những cảm giác trong sáng ấy nảy nở trong lòng tôi như mấy cành hoa tươi mỉm cười giữa bầu trời quang đãng”?,"Tô đậm cảm giác trong trẻo, tươi sáng của nhân vật “tôi” ngay trong ngày đến trường đầu tiên.",Nói lên nỗi nhớ thường trực của nhân vật “tôi” về ngày đến trường đầu tiên.,Cho người được thấy được những kỉ niệm trong buổi sáng đến trường đầu tiên luôn được in đậm trong tâm trí nhân vật “tôi”.,Tô đậm vẻ đẹp của những cành hoa tươi nở giữa bầu trời quang đãng.,A,Ngữ văn 8
Ý nào nói đúng nhất tác dụng của biện pháp tu từ được tác giả Thanh Tịnh sử dụng trong đoạn văn,"Tô đậm tâm trạng, cảm giác của nhân vật 'tôi' khi nhìn các bạn, thấy các bạn cũng sợ sệt, vụng về như mình","Tô đậm tâm trạng, cảm giác của mấy cậu học trò mới khi đứng bên người thân trước giờ vào lớp học","Tô đậm niềm mong ước được biết lớp, biết thầy để khỏi phải rụt rè trong khung cảnh trường lớp xa lạ của mấy cậu học trò mới","Cả A, B, C đều đúng",D,Ngữ văn 8
Văn bản “ Tôi đi học” có chủ đề gì?,Kỷ niệm sâu sắc về tuổi học trò của tác giả.,Ý nghĩa và vai trò của nhà trường đối với cuộc đời mỗi con người.,Dòng cảm nghĩ thiết tha sâu lắng của tác giả khi nhớ lại ngày đầu tiên đi học.,Tâm trạng hồi hộp của nhân vật trong buổi tựu trường đầu tiên.,C,Ngữ văn 8
"Nhận xét nào không đúng về thái độ, cử chỉ của những người lớn đối với các em bé lần đầu đi học?","Ông đốc là một người lãnh đạo nhà trường rất hiền từ, nhân ái với học sinh.","Thầy giáo trẻ niềm nở, tươi cười đón nhận học sinh lớp mới.",Cha mẹ đều chuẩn bị chu đáo cho con em mình trong buổi đầu tựu trường,"Thầy giáo nghiêm khắc nhắc nhở, đón nhận học sinh lớp mới.",A,Ngữ văn 8
"Trong các từ sau, từ nào có ý nghĩa khái quát nhất?",Nức nở,Khóc,Thút thít,Sụt sịt,A,Ngữ văn 8
"Câu văn nào sau đây trong văn bản Tôi đi học của Thanh Tịnh không sử dụng biện pháp so sánh để nói lên tâm trạng của nhân vật ""tôi""","Họ như con chim non đứng bên bờ tổ, nhìn quãng trời rộng muốn bay, nhưng còn ngập ngừng e sợ",Tôi quên thế nào được những cảm giác trong sáng ấy nảy nở trong lòng tôi như mấy cành hoa tươi mỉm cười giữa bầu trời quang đãng,Ý nghĩ ấy thoáng qua trong trí tôi nhẹ nhàng như một làn mây lướt ngang trên ngọn núi,"Trong lúc ông ta đọc tên từng người, tôi cảm thấy như quả tim tôi ngừng đập",A,Ngữ văn 8
Nội dung chính tác giả muốn làm nổi bật trong đoạn văn trên là gì?,Sự làm quen nhanh chóng của nhân vật 'tôi' với lớp học và người bạn tí hon ngồi bên cạnh.,"Cảm giác vừa xa lạ, vừa gần gũi với mọi vật trong lớp học và với người bạn ngồi bên cạnh.",Sự quyến luyến của nhân vật 'tôi' với lớp học và người bạn tí hon ngồi bên cạnh.,Cảm giác vừa ngỡ ngàng vừa tự tin của nhân vật 'tôi' khi bước vào lớp học cùng các bạn.,B,Ngữ văn 8
Tác phẩm Tôi đi học của Thanh Tịnh được in trong tác phẩm nào?,Quê mẹ.,Ngậm ngải tìm trầm.,Những giọt nước biển.,Hận chiến trường.,A,Ngữ văn 8
Dòng nào không nói về nội dung của văn bản Tôi đi học?,Lễ khai giảng ở một trường nông thôn miền Trung.,Tình yêu thiên nhiên của tuổi thơ.,Ghi lại những cảm giác trong sáng của một học trò trong những ngày đầu đi học.,"Tình cảm yêu thương, ân cần của người lớn đối với trẻ thơ.",A,Ngữ văn 8
"Nhận xét: “Sử dụng thể loại hồi ký với lời văn chân thành, giọng điệu trữ tình tha thiết” phù hợp với văn bản nào?",Trong lòng mẹ.,Lão Hạc.,Tôi đi học.,Tức nước vỡ bờ.,A,Ngữ văn 8
Nhận định nào sau đây nói đúng nhất về chủ đề của tác phẩm ?,"Tôi đi học tô đậm cảm giác trong sáng nảy nở trong lòng nhân vật ""tôi"" ở buổi đến trường đầu tiên","Tôi đi học đậm cảm giác lạ lẫm, sợ sệt của nhân vật ""tôi"" ở buổi đến trường đầu tiên","Tôi đi học tô đậm tận tình và âu yếm của những người lớn như người mẹ, ông đôc,....đối với những em bé lần đầu đến trường","Tôi đi học đậm nềm vui sướng hân hoan của nhân vật ""tôi"" và các bạn vào ngày khai trường đầu tiên",D,Ngữ văn 8
Ý nào dưới đây không có trong văn bản?,Tâm trạng của tôi khi ở trong lớp học,Tâm trạng của tôi khi đứng giữa sân trường,Tâm trạng của tôi khi được ông đốc gọi tên,Tâm trạng của tôi khi tan học về nhà,D,Ngữ văn 8
Dòng nào dưới đây chứa các từ ngữ cùng một trường từ vựng nhà trường?,"Trường, lớp, bảng đen, phấn trắng, xe cộ","Bảng đen, lớp học, hoa quả, thầy giáo, học sinh","Lớp học, bàn ghế, sách vở, bút thước, phấn bảng","Bàn ghế, sách vở, bút thước, mưa bão",C,Ngữ văn 8
"Trong truyện ngắn “Tôi đi học”, dòng cảm xúc của nhân vật “tôi” được thể hiện qua các ý:1. Cứ mùa thu về, mỗi lần thấy các em nhỏ núp dưới nón mẹ lần đầu tiên đến trường, lòng lại nao nức, rộn rã, xốn xang.2. Mẹ âu yếm nắm tay dẫn đến trường.3. Cảm thấy con đường đến trường tự nhiên thấy lạ, cảnh vật nhiều thay đổi.4. Cảm thấy sân trường rộng hơn, ngôi trường rộng hơn.5. Cảm thấy gần gũi, thân thương đối với lớp học, với người bạn ngồi bên cạnh. Hãy sắp xếp các ý trên theo trình tự của truyện ngắn “Tôi đi học”?","A. 1, 2, 3, 4, 5","B. 1, 2, 5, 4, 3","C. 1, 2, 4, 3, 5","D. 1, 3, 4, 2, 5",B,Ngữ văn 8
Tác giả Thanh Tịnh đã sử dụng hiện pháp tu từ so sánh để khắc họa tâm trạng của nhân vật trong câu nào sau đây?,Ý nghĩ ấy thoáng qua trong trí tôi nhẹ nhàng như một làn mây lướt ngang trên ngọn núi.,Tôi không thể nào quên được những cảm giác trong sáng ấy nảy nở trong lòng tôi như cành hoa tươi mỉm cười giữa bầu trời quang đãng.,"Họ như con chim con đứng trên bờ tổ, nhìn quãng trời rộng muốn bay, nhưng còn ngập ngừng e sợ.",Cả ba câu trên.,D,Ngữ văn 8
"Từ nào có nghĩa bao hàm phạm vi nghĩa của các từ sau đây: học sinh, sinh viên, giáo viên, bác sĩ, kĩ sư, luật sự, nông dân, công nhân, nội trợ?",Nghề nghiệp,Tính cách,Môn học,Con người,D,Ngữ văn 8
Khi nào một từ ngữ được coi là nghĩa hẹp?,Khi phạm vi nghĩa của từ ngữ đó được bao hàm trong phạm vi nghĩa của một từ ngữ khác.,Khi nghĩa của từ ngữ đó gần giống với nghĩa của một số từ ngữ khác.,Khi nghĩa của từ ngữ đó trái ngược với nghĩa của một số từ ngữ khác.,Khi phạm vi nghĩa của từ ngữ đó bao hàm được phạm vi nghĩa của một số từ ngữ khác.,A,Ngữ văn 8
Dòng nào chứa từ ngữ không phù hợp trong mỗi nhóm từ ngữ sau đây?,"Xe cộ: xe đạp, xe máy, ô tô, xe chỉ, xích lô, tàu điện.","Đồ dùng học tập: bút chì, thước kẻ, sách giáo khoa, vở.","Cây cối: cây tre, cây chuối, cây cau, cây gạo, cây bàng, cây cọ.","Nghệ thuật: âm nhạc, vũ đạo, văn học, điện ảnh, hội họa.",A,Ngữ văn 8
"Trong các phương án sau, phương án nào có cấp độ khái quát của nghĩa từ ngữ","Cá rô, cá chép, cá thu, cá đuối","Hoa hồng, hoa cúc, hoa thược dược, hoa cát tường","Y phục, quần, áo, quần đùi, quần dài, áo dài, áo cộc","Canh, nem, rau xào, cá rán",B,Ngữ văn 8
Khi nào một từ ngữ được coi là nghĩa rộng?,Khi phạm vi nghĩa của từ ngữ đó được bao hàm trong phạm vi nghĩa của một từ ngữ khác.,Khi nghĩa của từ ngữ đó gần giống với nghĩa của một số từ ngữ khác.,Khi nghĩa của từ ngữ đó trái ngược với nghĩa của một số từ ngữ khác.,Khi phạm vi nghĩa của từ ngữ đó bao hàm được phạm vi nghĩa của một số từ ngữ khác.,A,Ngữ văn 8
Dòng nào chứa từ ngữ không phù hợp trong mỗi nhóm từ ngữ sau đây?,"Cây cối: cây tre, cây chuối, cây cau, cây gạo, cây bàng, cây cọ.","Đồ dùng học tập: bút chì, thước kẻ, sách giáo khoa, vở.","Xe cộ: xe đạp, xe máy, ô tô, xích lô, tàu điện","Nghệ thuật: âm nhạc, vũ đạo, văn học, điện ảnh, hội họp.",D,Ngữ văn 8
Nghĩa của từ nào dưới đây có phạm vi bao hàm nghĩa của các từ còn lại?,Giằng co,Du đẩy,Sấn sổ,Hành động,D,Ngữ văn 8
"Từ nào có thể bao hàm nghĩa của các từ in đậm trong đoạn văn sau: ""Cũng như tôi, mấy cậu học trò mới bỡ ngỡ đứng nép bên người thân, chỉ dám nhìn một nửa hay dám đi từng bước nhẹ. Họ như con chim non đứng bên bờ tổ, nhìn quãng trời rộng muốn bay, nhưng còn ngập ngừng e sợ. Họ thèm vụng và ao ước thầm được như những người học trò cũ, biết lớp, biết thầy để khỏi phải rụt rè trong cảnh lạ"".",Cảm giác,Hình dáng,Đặc điểm,Tính chất,A,Ngữ văn 8
"Em hãy chọn ra từ không cùng nghĩa, hoặc tuy có yếu tố cùng nghĩa nhưng ý nghĩa khác hẳn để loại ra trong các từ sau: bút bi, bút máy, bút chì, bút điện, bút lông",bút bi,bút chì,bút điện,bút lông,C,Ngữ văn 8
Từ “khái quát” trong cấp độ khái quát nghĩa của nghĩa từ ngữ có thể được thay bằng từ nào?,Phổ quát,Bao quát,Phổ biến,Chi tiết,A,Ngữ văn 8
"Từ nào có nghĩa bao hàm phạm vi nghĩa của các từ sau đây: học sinh, sinh viên, giáo viên, bác sĩ, kĩ sư, luật sư, nông dân, công nhân, nội trợ?",Con người,Tính cách,Nghề nghiệp,Môn học,C,Ngữ văn 8
Dòng nào chứa từ ngữ không phù hợp trong mỗi nhóm từ ngữ sau đây?,"Cây cối: cây tre, cây chuối, cây cau, cây gạo, cây bàng, cây cọ.","Nghệ thuật: âm nhạc, vũ đạo, điện ảnh, hội họa.","Xe cộ: xe đạp, xe máy, ô tô, xích lô, tàu điện, xe chỉ.","Đồ dùng học tập: bút chì, thước kẻ, sách giáo khoa, vở.",C,Ngữ văn 8
Nghĩa của từ nào dưới đây có phạm vi bao hàm nghĩa của các từ còn lại?,Buồn rầu,Vui vẻ,Hạnh phúc,Cảm xúc,D,Ngữ văn 8
"Thông thường, một từ ngữ có nghĩa rộng:",Luôn luôn thay được cho một từ ngữ có nghĩa hẹp hơn nó.,Không thể thay thế được cho một từ ngữ có nghĩa hẹp hơn nó.,Có thể thay được mà cũng có thể không thay được cho một từ ngữ có nghĩa hẹp hơn nó.,Cả B và C đều đúng.,C,Ngữ văn 8
"Chọn ra từ ngữ không phù hợp trong nhóm từ ngữ sau đây: hoa hồng, hoa lay-ơn, hoa tai, hoa thược dược, hoa cúc",hoa thược dược,hoa tai,hoa lay-ơn,hoa hồng,C,Ngữ văn 8
"Tìm từ ngữ có nghĩa rộng so với nghĩa của các từ ngữ ở mỗi nhóm sau đây: Xăng, dầu hỏa, (khí) ga, ma dút, củi, than",Ma dút,Chất đốt,Nguyên liệu,Chất lỏng,B,Ngữ văn 8
"Chọn từ nghĩa rộng có trong đoạn văn sau: ""Nghệ thuật là sở trường của em. Em thích vẽ, thích hát và thích điêu khắc. Với em cách để thư giãn là vẽ một bức tranh hay hát một bài hát. Nghệ thuật là một thứ không thể thiếu.""",Nghệ thuật,Hát,Điêu khắc,Vẽ,A,Ngữ văn 8
"Tìm 3 động từ cùng thuộc môt phạm vi nghĩa, trong đó một từ nghĩa rộng và hai từ nghĩa hẹp, trong 2 câu văn sau: ' Mẹ tôi vừa kéo tay tôi, xoa đầu tôi hỏi, thì tôi oà khóc, rồi cứ thế khóc nức nở. Mẹ tôi cũng sụt sùi theo'","Tay, đầu, khóc","Khóc, nức nở, sụt sùi","Mẹ, tôi, khóc","Sụt sùi, khóc, kéo",B,Ngữ văn 8
Dòng nào chứa từ ngữ phù hợp trong mỗi nhóm từ ngữ sau đây?,"Hoa: hoa cúc, hoa hồng, hoa hậu, hoa tu-lip.","Nghề nghiệp: công an, vũ công, diễn viên, hội họa.","Xe cộ: xe đạp, xe máy, ô tô, xích lô, tàu điện.","Qủa: quả táo, quả cam, quả báo, quả chuối.",A,Ngữ văn 8
"Chọn ra từ có nghĩa bao hàm phạm vi nghĩa của các từ sau đây: y phục, quần, áo, quần đùi, quần dài, áo dài, sơ mi.? ",Y phục,Quần áo,Đồ dùng gia đình,Vải vóc,B,Ngữ văn 8
"Trong các từ ghép sau từ nào có nghĩa khái quát: ăn mặc , ăn nhập , ăn theo , ăn xổi , ăn ý , ăn nói , ăn ở.","A. ăn mặc , ăn nói","ăn mặc , ăn nhập , ăn theo , ăn xổi , ăn ý , ăn nói , ăn ở","A. ăn mặc , ăn nói , ăn ý","D. ăn nói , ăn ở",B,Ngữ văn 8
Nhận xét nào nói đúng nhất mục đích của việc sử dụng các phương tiện để liên kết đoạn văn trong văn bản?,"Làm cho ý giữa các đoạn văn liền mạch với nhau một cách hợp lí, tạo nên tính chỉnh thể cho đoạn văn",Làm cho các đoạn văn có thể bổ sung ý nghĩa cho nhau,Làm cho hình thức của đoạn văn được cân đối,"Cả A, B, C đều đúng",D,Ngữ văn 8
Tìm một từ thích hợp làm phương tiện liên kết trong hai đoạn văn sau:,Tuy nhiên,Hơn nữa,Vì vậy,Mặt khác,D,Ngữ văn 8
Từ liên kết còn thiếu ở dấu [...] cần mang ý nghĩa liên kết về nội dung như thế nào?,Nối tiếp,Bổ sung,Tương phản,Nguyên nhân – kết quả,B,Ngữ văn 8
Điền từ thích hợp vào dấu [...]:,Nhưng,Song,Tuy nhiên,Mặc dù vậy,C,Ngữ văn 8
Chủ đề của văn bản là gì?,Là một luận điểm lớn được triển khai trong văn bản.,Là một câu chủ đề của một đoạn văn trong văn bản.,"Là đối tượng mà văn bản nói tới, là tư tưởng, tình cảm thể hiện trong văn bản.",Là sự lặp đi lặp lại một số từ ngữ trong văn bản.,C,Ngữ văn 8
"Chủ đề của văn bản ""Tôi đi học”?",Những kỉ niệm sâu sắc về buổi tựu trường đầu tiên.,Cảm xúc về buổi tựu trường đầu tiên.,Kể lại về buổi tựu trường đầu tiên.,Nhân vật tôi trong buổi tựu trường đầu tiên.,A,Ngữ văn 8
Tính thống nhất về chủ đề của văn bản thể hiện ở chỗ nào?,Văn bản có đối tượng xác định.,Văn bản có tính mạch lạc.,Các yếu tố trong văn bản bám sát chủ đề đã định.,Cả ba yếu tố trên.,D,Ngữ văn 8
Tìm câu liên kết trong đoạn văn.,"Ái dà, lại còn chuyện đi học nữa cơ đấy",U lại nói tiếp,Học thích hơn hay đi chăn nghé thích hơn nhỉ?,"Thôi, cái gì làm một cái thôi",B,Ngữ văn 8
"Căn cứ vào đâu để xác định chủ đề của văn bản ""Tôi đi học""",Nhan đề,Tên tác giả,Các câu văn nhắc tới kỉ niệm của buổi tựu trường đầu tiên,"A, C đúng",A,Ngữ văn 8
"Muốn tìm hiểu chủ đề của văn bản, cần tìm hiểu những yếu tố nào?",Tất cả các yếu tố của văn bản.,Câu kết thúc của văn bản.,Các ý lớn của văn bản.,Câu mở đầu của mỗi đoạn trong văn bản.,C,Ngữ văn 8
Hai đoạn văn trên có mối liên hệ liên kết như thế nào?,Hai đoạn văn trên không có mối liên hệ gì.,"Hai đoạn văn liên kết với nhau chặt chẽ, liền mạch về mặt ý nghĩa.",Đoạn văn phía dưới được kết nối với đoạn văn phía trên về mặt ý nghĩa thời gian.,"Cả A, B, C đều đúng",B,Ngữ văn 8
Giữa hai đoạn văn trên có quan hệ ý nghĩa như thế nào?,Mối quan hệ ý nghĩa giữa hai đoạn văn trên là đoạn có ý nghĩa cụ thể và đoạn có ý nghĩa tổng kết khái quát.,Đoạn văn phía dưới với đoạn văn phía trên có mối liên kết về mặt ý nghĩa thời gian.,Cả A và B đúng,Cả A và B sai,C,Ngữ văn 8
Tìm hiểu các từ ngữ liên kết trong hai đoạn văn trên là gì?,Từ “sau”,"Từ “bắt đầu”, “sau”","Từ “bắt đầu”, “sau”, “thế là”","Cả A, B, C đều sai",C,Ngữ văn 8
Thế nào là chủ đề của văn bản?,Là câu chủ đề của một đoạn văn trong văn bản.,Là sự lặp đi lặp lại một số từ ngữ trong văn bản.,Là một luận điểm lớn được triển khai trong văn bản.,Là đối tượng và vấn đề chính mà văn bản biểu đạt.,D,Ngữ văn 8
Ý nào không nói về tính thống nhất về chủ đề của văn bản?,Văn bản có đối tượng xác định.,Các yếu tố trong văn bản bám sát chủ đề đã định.,Văn bản có tính mạch lạc.,Văn bản có thể không xác định rõ được đối tượng cụ thể,D,Ngữ văn 8
"Trong các ý dưới đây, ý nào phù hợp với chủ đề: “Văn chương làm cho tình yêu quê hương đất nước trong ta thêm phong phú và sâu sắc.”.",Văn chương lấy ngôn từ làm phương tiện biểu hiện;,"Văn chương làm ta thêm tự hào về vẻ đẹp của quê hương đất nước, về truyền thống tốt đẹp của ông cha ta;","Văn chương giúp ta yêu cuộc sống, yêu cái đẹp;","Văn chương nung nấu trong ta lòng căm thù bọn giặc cướp nước, bọn bán nước và hun đúc ý chí quyết tâm hi sinh để bảo vệ nền độc lập, tự do của Tổ quốc.",B,Ngữ văn 8
Nhà văn Nguyên Hồng tên thật là gì?,Nguyễn Nguyên Hồng,Nguyễn Hồng,Hồng Nguyên,Nguyên Hồng,A,Ngữ văn 8
Đoạn trích “Trong lòng mẹ” thuộc chương mấy của tác phẩm “Những ngày thơ ấu”?,Chương V,Chương IV,Chương VI,Chương X,B,Ngữ văn 8
"Cách hiểu nào đúng với tâm trạng Hồng được miêu tả trong câu văn: ""Chỉ vì tôi thương mẹ tôi và căm tức sao mẹ tôi lại vì sợ hãi những thành kiến tàn ác mà xa lìa anh em tôi, để sinh nở một cách giấu giếm..."" (Trong lòng mẹ, Nguyên Hồng)",Hồng thương mẹ và giận mẹ sinh nở giấu giếm.,Hồng thương mẹ nhưng cũng giận mẹ.,Hồng giận mẹ đã xa lìa anh em mình.,Hồng thương mẹ và muốn mẹ dũng cảm trước những thành kiến tàn ác.,D,Ngữ văn 8
Những ngày thơ ấu của Nguyên Hồng được viết theo thể loại nào?,Bút kí,Hồi kí,Truyện ngắn,Tiểu thuyết,B,Ngữ văn 8
Trong lòng mẹ có sự kết hợp các phương thức biểu đạt nào dưới đây?,Tự sự,Miêu tả.,"Biểu cảm, nghị luận.",Tất cả đều đúng,D,Ngữ văn 8
Hồi kí được hiểu là,"Là thể loại nhằm ghi những sự việc thuộc quá khứ, qua sự nhớ lại.","Lời văn của hồi kí phải chính xác, trung thực, giàu suy nghĩ và cảm tưởng cá nhân.","Hồi kí đòi hỏi phải hết sức tôn trọng tính chân thực của câu chuyện; sự việc, số liệu, thời gian phải chính xác.",Tất cả đều đúng.,D,Ngữ văn 8
Từ “tàn nhẫn” có thể được hiểu là:,"Lạnh lùng, cay nghiệt đối với người khác.",Độc ác quá mức gây đau khổ tai hại với người khác.,"Hay nói xấu, làm hại đến người khác.","Ích kỷ, không biết yêu thương người khác.",A,Ngữ văn 8
Nhận định nào sau đây nói đúng nhất về nội dung đoạn trích “Trong lòng mẹ”?,Trình bày những nỗi đau khổ của mẹ bé Hồng.,Trình bày tâm địa độc ác của người cô của bé Hồng,Trình bày sự tủi hờn của Hồng khi gặp mẹ,Trình bày diễn biến tâm tâm trạng của chú bé Hồng,D,Ngữ văn 8
Em hiểu gì về những sự kiện được nói tới trong hồi kí?,Là những sự kiện xảy ra trong quá khứ mà tác giả tham dự hoặc chứng kiến,Là những sự kiện do nhà văn hoàn toàn hư cấu nên để thể hiện những tư tưởng nghệ thuật của mình,"Là những sự kiện do nhà văn hư cấu dựa trên sự tưởng tượng, suy đoán của họ về tương lai","Cả A, B, C đều đúng",A,Ngữ văn 8
"Từ ""kịch"" trong câu ""Nhưng, nhận ra những ý nghĩa cay độc trong giọng nói và trên nét mặt khi cười rất kịch của cô tôi kia, tôi cúi đầu không đáp"" (Trong lòng mẹ, Nguyên Hồng) có thể hiểu như thế nào?",Người cô cười như diễn viên.,Người cô thích khôi hài.,Người cô cố che giấu tâm trạng thực.,Người cô diễn kịch.,A,Ngữ văn 8
"Câu văn nào không nói đúng ý nghĩa của hình ảnh so sánh: “Và cái lầm đó không những làm tôi thẹn mà còn tủi cực nữa, khác gì cái ảo ảnh của một dòng nước trong suốt chảy dưới bóng râm đã hiện ra trước con mắt gần rạn nứt của người bộ hành ngã gục giữa sa mạc” (Trong lòng mẹ, Nguyên Hồng)?",Hồng rất sợ người cô biết mình nhận nhầm mẹ.,Hồng sợ mình trở thành trò cười cho lũ bạn.,Hồng rất đau khổ nếu đó là sự nhận nhầm.,"Hồng khao khát gặp mẹ, coi được gặp mẹ là hạnh phúc.",D,Ngữ văn 8
"Mục đích chính của tác giả khi viết: ""Tôi cười dài trong tiếng khóc..."" trong văn bản Trong lòng mẹ là gì?",Nói lên sự căm giận mẹ của bé Hồng khi nghe người cô nói về những việc làm của mẹ mình.,Nói lên sự đồng tình của bé Hồng với những lời nói của người cô về mẹ mình.,Nói lên niềm yêu thương và thông cảm đối với mẹ của bé Hồng khi nghe người cô nói về những việc làm của mẹ mình.,"Nói lên trạng thái tình cảm phức tạp của bé Hồng: vừa đau đớn, vừa uất ức, căm giận khi nghe những lời nói của người cô về mẹ mình.",D,Ngữ văn 8
Nhận định nào sau đây nói đúng nhất về nội dung đoạn trích “Trong lòng mẹ”?,Đoạn trích chủ yếu trình bày những nỗi đau khổ của mẹ bé Hồng.,Đoạn trích chủ yếu trình bày tâm địa độc ác của người cô của bé Hồng,Đoạn trích chủ yếu trình bày sự tủi hờn của Hồng khi gặp mẹ,Đoạn trích chủ yếu trình bày diễn biến tâm tâm trạng của chú bé Hồng,D,Ngữ văn 8
Em hiểu gì về chú bé Hồng qua đoạn trích “Trong lòng mẹ”?,Là chú bé phải chịu nhiều nỗi đau mất mát,"Là chú bé dễ xúc động, tinh tế và khá nhạy cảm",Là chú bé có tình yêu thương vô bờ bến dành cho mẹ của mình,"Cả A, B, C đều đúng",D,Ngữ văn 8
Câu văn nào sau đây không nói lên vẻ đẹp của người mẹ được nhìn qua con mắt sung sướng và hạnh phúc đến cực điểm của bé Hồng trong văn bản Trong lòng mẹ?,Hơi quần áo mẹ tôi và những hơi thở ở khuôn miệng xinh xắn nhai trầu phả ra lúc đo thơm tho lạ thường,Nhưng đời nào tình thương yêu và lòng kính mến mẹ tôi lại bị những rắp tâm tanh bẩn xâm phạm đến,Hay tại sự sung sướng bỗng được trông nhìn và ôm ấp cái hình hài máu mủ của mình mà mẹ tôi lại tươi đẹp như thuở còn sung túc,"Gương mặt mẹ tôi vẫn tươi sáng với đôi mắt trong và nước da mịn, làm nổi bật màu hồng của hai gò má",B,Ngữ văn 8
"Trong văn bản Trong lòng mẹ, từ ngữ nào đúng tâm địa bà cô của bé Hồng?",Xấu xa đê tiện.,Hiểm độc và tàn nhẫn.,"Lắm lời, thích phỉ báng.","Ghen ghét, nhẫn tâm.",B,Ngữ văn 8
"Mục đích chính của tác giả khi viết: ""Tôi cười dài trong tiếng khóc..."" trong văn bản Trong lòng mẹ là gì?",Nói lên sự căm giận mẹ của bé Hồng khi nghe người cô nói về những việc làm của mẹ mình.,Nói lên sự đồng tình của bé Hồng với những lời nói của người cô về mẹ mình.,Nói lên niềm yêu thương và thông cảm đối với mẹ của bé Hồng khi nghe người cô nói về những việc làm của mẹ mình.,"Nói lên trạng thái tình cảm phức tạp của bé Hồng: vừa đau đớn, vừa uất ức, căm giận khi nghe những lời nói của người cô về mẹ mình.",D,Ngữ văn 8
"Hiểu thế nào về lời bé Hồng từ chối vào Thanh Hóa thăm mẹ: ""Không! Cháu không muốn vào. Cuối năm thế nào mợ cháu cũng về"" (Trong lòng mẹ, Nguyên Hồng)",Bé Hồng cố gắng giấu tình cảm thực của mình.,Bé Hồng hiểu dụng ý xấu xa của người cô.,Bé Hồng thực sự không muốn vào.,Bé Hồng không muốn người cô thực hiện được rắp tâm.,D,Ngữ văn 8
