Unnamed: 0,Question,A,B,C,D,Answer,Grade,remain
80,What subjects did Men Den conduct his experiments on?,Tomato plant.,Fruit flies.,Pea Plant.,On many insects.,C,Born 9,True
83,Which of the following mutations in humans is a consequence of 2n - 1 aneuploidy:,Knife,Turner.,congenital deafness,Albinism.,B,Born 9,True
85,What is the basic method in Mendel's genetic research?,Use statistics to calculate the results obtained,Experiment on pea plants with bisexual flowers.,Methods of analyzing hybrid generations.,Track the inheritance of trait pairs.,C,Born 9,True
90,"In which group of organisms below do males carry the XY sex chromosome pair, and females carry the XX sex chromosome pair?",Passing on the traits of parents and ancestors to descendants.,Offspring resemble either parent in all traits.,Offspring resemble their parents in some traits.,Passing on parental traits to offspring.,A,Born 9,True
92,Heredity is a phenomenon.,9.,18.,72.,36.,D,Born 9,True
93,Is hemophilia inheritance sex-linked?,Because the parents carry the heterozygous genotype Aa.,Because the grandfather was born deaf and mute and passed it on to his grandchildren.,Because my grandfather was born deaf and mute and passed it on to his grandchildren.,Due to mutagens.,A,Born 9,True
94,"In cabbage, the chromosome set is 2n = 18. What is the number of chromosomes in the cell in the last phase of mitosis?",Cell membrane.,Cytoplasm.,Cell nucleus.,Ribosome.,C,Born 9,True
96,Where does DNA replication occur in cells? (level 1),"There are many opposite, single-gene, easily observable traits.","Easy to raise in natural environment, single gene.","Long growth and development time, easy to create mutations so easy to monitor.","Easy to raise in vitro, high fertility, short life cycle, many easily observable variations, low chromosome number.",D,Born 9,True
98,What characteristics of fruit flies are favorable for genetic research?,The duplicated chromosomes are contained within two newly formed nuclei with the number of duplicated haploid chromosome sets.,Single chromosomes are contained in the newly formed nucleus with the number of haploid chromosome sets.,The single chromosomes unwind back into a thin thread form.,The duplicated chromosomes unwind back into a thin thread form.,A,Born 9,True
99,"A gene has synthesized 4 mRNA molecules. If 4 ribosomes slide through all the mRNA molecules above, how many protein molecules will be formed?",Cross parents that differ in one or more pairs of contrasting purebred traits.,Track the separate inheritance of each pair of traits through generations of hybrids.,Track the inheritance of all pairs of traits in the offspring of each pair of parents.,"Use statistics to analyze the data obtained, from which to draw the laws of inheritance of traits.",C,Born 9,True
102,Which of the following is true about the structure of an RNA molecule?,2.,4.,8.,16.,B,Born 9,True
107,The separation of the genetic factor pair Aa in F1 creates:,mRNA.,tRNA.,rRNA.,"mRNA, tRNA and rRNA.",D,Born 9,True
109,Which type of RNA is involved in the formation of amino acid chains?,1 sperm and 1 egg.,1 sperm and 1 oocyte.,1 sperm and 1 egg.,1 sperm and 1 polar body.,C,Born 9,True
115,What is a mutation?,First period.,Final period.,Midterm.,Next time.,C,Born 9,True
118,The role of afforestation on barren land and vacant land is:,"Limit erosion, flooding, and improve climate.",Give me more wood.,Greening of vacant land.,Protect animals.,A,Born 9,True
121,Which of the following statements is not true about the developmental age pyramid?,The base of the tower is wide.,stable population size,The number of individuals in the population increased sharply.,High birth rate,B,Born 9,True
124,Which of the following ecosystems is not a terrestrial ecosystem?,Temperate deciduous broadleaf forest.,Mangrove forest.,Desert steppe.,Tropical Rainforest.,B,Born 9,True
128,The index showing the density of individuals of each species in the community is:,Diversity,Abundance,Frequency,Concentration,B,Born 9,True
133,Which of the following human activities does not affect the environment?,Gathering.,Overhunting.,War.,"Gathering, hunting, war.",A,Born 9,True
135,Build more parks and plant trees to:,Dust control.,Climate control.,Agricultural waste treatment.,"Dust reduction, climate control.",D,Born 9,True
136,"In tropical evergreens, shoots are covered with thin scales, and trunks and roots are covered with thick layers of cork. What is the function of these features?",Limit evaporation when air temperature is high.,Creates a protective insulation layer for plants.,Limits the harmful effects of ultraviolet rays on leaf cells.,Reduce the area exposed to cold air,B,Born 9,True
139,How important is biotechnology in conserving biological resources:,Preserve rare genetic resources.,Create new varieties.,Preserve and rapidly multiply many rare breeds.,Meet the increasing needs of people.,C,Born 9,True
142,The role of marine ecosystems for human life?,Marine animals and plants are a source of food for humans.,The sea helps people transport goods.,The sea gives people salt to eat.,"The sea provides food, economic development, transportation, and temperature regulation on earth.",D,Born 9,True
145,Triploid strawberry variety (3n) is created from tetraploid strawberry variety (4n) with diploid strawberry variety (2n) by the method:,Artificial mutation.,Polyploid breeding.,Sexual hybridization and mutation processing.,Hybrid breeding.,B,Born 9,True
146,Based on which of the following factors is land classified as a renewable resource:,The soil contains many metal minerals.,"The soil is constantly enriched with alluvium, and humus is increased from plant and animal remains.",There is a lot of coal in the ground.,Many oil and gas deposits underground.,B,Born 9,True
147,What adaptive features do plants that live in dry places usually have?,"Leaves are turned into thorns, leaves have thin blades.",Leaves and stems are reduced.,"Succulent body, broad leaves",Either the body is succulent or the leaves are reduced or the leaves turn into thorns.,D,Born 9,True
150,The abiotic components of the ecosystem include which of the following factors:,"Inorganic substances: water, carbon dioxide, oxygen...., viruses, bacteria...","Humus, residue, mosses, lichens.","Climatic factors such as temperature, light, humidity... fungi, mold.","Water, carbon dioxide, oxygen, temperature, light, humidity.",D,Born 9,True
153,"If light hits a plant from a certain side, how does the plant grow after a while?",The tree still grows straight.,The tree always turns towards the sun.,The plant tip will grow curved towards the light source.,The tree tops drooped.,C,Born 9,True
154,Which of the following crosses is called economic cross?,Crossbreeding Vietnamese corn with Mexican corn.,Crossbreeding Vietnamese rice with Chinese rice.,Crossbreeding Vietnamese pink tomatoes with white Polish tomatoes.,Crossbreeding Thanh Hoa yellow cattle with Dutch Hon sten cattle.,D,Born 9,True
156,"While the Earth rotates around its axis, which of the following locations does not change position?",Two poles.,Two tropics.,Equator.,Polar circle.,C,Geography 6,True
157,"In my opinion, among the consequences of rotation around its axis, the most significant consequence for life is",Day and night alternation,Time on Earth.,The deflection of motion of objects.,Seasonal phenomenon.,A,Geography 6,True
158,"According to me, Russia is a country with many time zones passing through its territory because:",Narrow territory.,Cold air blows along the meridian.,Territory extends along the latitude.,Territory of Asia and Europe.,C,Geography 6,True
159,"Of the consequences of rotation around its axis, which of the following is the most significant for life?",Seasonal phenomenon.,Motion deviation.,Time on Earth.,Day and night alternation.,D,Geography 6,True
161,The first planet in the Solar System is,Help people to arrange working time.,Significance to human life on Earth.,"Create seasons of the year, day and night length according to the season.",Provide rich natural resources.,B,Geography 6,True
162,"According to you, the alternation of day and night on Earth has which of the following meaningful consequences?",6307km,510 million km,6370km,40070km,C,Geography 6,True
164,"Based on the direction of the sunset, which of the following directions can be determined?",Earth's axis is tilted,The earth rotates from west to east,Day and night follow each other,The earth rotates from east to west,B,Geography 6,True
165,"According to you on Earth, the time in the eastern region is always earlier than the time in the western region because:",South,West,North,Southwest,D,Geography 6,True
166,"According to you, the plane from Hanoi to Bangkok (Thailand) flies in which of the following directions?",Select the start and end locations on the memory map.,Calculate the distance between the start and end points of the diagram.,Recall the space to be drawn with specific objects and phenomena.,Other answers,C,Geography 6,True
167,What should I do before drawing a memory map?,West.,Male.,Winter.,North.,D,Geography 6,True
168,"Based on the direction of sunrise, which of the following directions can be determined?",Memory schemas are spatial information about the world retained in the human mind.,A person's memory schema reflects his or her perception of living space and the meaning of that space to the individual.,Memory schema is characterized by marking places that a person has seen or visited.,"Both A, B and C",D,Geography 6,True
170,"According to plate tectonics theory, when two plates push against each other, at their contact point they often form",memory map,memory map,memory map,space map,B,Geography 6,True
174,How thick is the Earth's core?,network of longitude and latitude shown on the map.,Territorial shape shown on the map.,Geographical location of the territory shown on the map.,glossary,A,Geography 6,True
177,"According to you, if the distance between contour lines is far apart on the map, what is the terrain like there?",Make the ground terrain rough.,Destruction of the land surface.,Create new terrains.,Create small terrains.,C,Geography 6,True
179,"Map scale 1 : 6,000,000 means",the decay of radioactive substances.,energy from nuclear tests.,energy of chemical reactions,movement of matter,B,Geography 6,True
180,The main source of energy that generates internal force is not,1km,10km,100km,10cm,A,Geography 6,True
182,"Tectonic movements, earthquakes, volcanoes, etc. are manifestations of",small.,medium.,big.,very large,A,Geography 6,True
183,"Maps with a scale smaller than 1:1,000,000 are maps with a scale of",Warm climate,Many lakes,Fertile land.,Rich in seafood.,C,Geography 6,True
184,Why are people often densely populated around extinct volcanoes?,Longitude and latitude are parallel lines and perpendicular to each other.,"Longitudes are parallel lines, while parallels are curved lines.",The prime meridian and parallel are straight lines; the remaining meridians and parallels are curved lines.,Longitudes are curved lines that converge at the poles and parallels are straight lines.,A,Geography 6,True
185,Which of the following statements is correct about the map's longitude and latitude network?,well water level changes.,trees leaning west,animals seek shelter,water surface has bubbles,B,Geography 6,True
186,The signs before an earthquake are not,drawing style of each author.,have different latitudes,different paper planes.,different projections,D,Geography 6,True
187,With the same geographical location on Earth but different maps because,Slope.,Sharp peak.,Round top.,Deep valley.,C,Geography 6,True
188,Which of the following characteristics does not exist in young mountains?,less error in shape.,the more obvious the deformation.,no distortion,negligible deformation,D,Geography 6,True
189,"According to you, the farther the area is from the center of the map, the:",route diagram,diagram showing some area,"A map showing the topographic features (elevation, slope, etc.) of a small area using contour lines and colors.",Other answers,C,Geography 6,True
190,The large scale topographic map is:,361.,180.,360.,181.,C,Geography 6,True
191,"If the distance is 10 at the center, how many meridians will there be on the surface of the Earth?",Boundary line,Contour lines,Mountain Top,All 3 answers above,B,Geography 6,True
192,"When reading large-scale topographic maps, what do people base on to calculate the altitude of locations?",Meridian is a straight line connecting the two poles on the surface of the Earth.,A meridian is a circle connecting the two poles on the surface of the Earth.,Meridian is a semicircle connecting the two poles on the surface of the Earth.,Other answers,C,Geography 6,True
193,Where does the meridian extend from?,20 - 30km.,Under 20km.,30 - 40km.,Over 40km.,B,Geography 6,True
194,How thick is the Earth's crust above the ocean?,meridian.,prime meridian,parallel.,origin latitude,A,Geography 6,True
195,How are storms in the Pacific Ocean named?,In order of year,Taken from the list of countries in the proposed region in rotation,Taken according to the nature of the storm,all wrong,B,Geography 6,True
198,What causes horseshoe lakes to form?,Land subsidence,Volcano,Glacier,The bend of the river,D,Geography 6,True
203,Which of the following layers of the Earth contains heavy metals?,Earth's crust,Lower mantle.,Upper mantle.,Earth Human.,D,Geography 6,True
204,The hydrosphere is the layer of water on Earth that does not exist in which of the following states?,Snake.,Sticky.,Steam.,Liquid.,B,Geography 6,True
205,Living things on Earth are mainly concentrated in,temperate and cold zones,equatorial and tropical,tropical and temperate zones,cold and hot zones,C,Geography 6,True
207,"Complete the following sentence: Climate affects . . . . . . . . the development and distribution of organisms mainly through temperature, water, air humidity and light.",Much,Indirect,Direct,little,C,Geography 6,True
208,"On Earth, salt water accounts for about",30.1%.,2.5%.,97.5%.,68.7%.,C,Geography 6,True
209,Which of the following animals usually sleep in winter?,Whale.,Polar Bear.,Pangasius fish.,Wolf.,B,Geography 6,True
210,What is the average annual rainfall in Vietnam?,From 201 - 500 mm.,From 501- 1.000mm.,"From 1,001 - 2,000 mm.","Over 2,000 mm.",C,Geography 6,True
211,Which of the following is not a characteristic of tropical monsoon forests?,Forests usually have 3-4 layers of trees.,Distributed at the equator.,The typical tree is the bean family.,Rich in fauna.,B,Geography 6,True
220,"""The climate of a place is the......... weather conditions in a certain place, over a long period of time, from year to year and has become a rule"". Choose the appropriate word to fill in the blank?",Repeat,Change,Change,Conversion,A,Geography 6,True
222,How many temperate zones are there on the Earth's surface?,4.,5.,2.,3.,C,Geography 6,True
228,What do you think is the source of light and heat for the Earth?,Industrial activities,The heating of Mars,Human heating,Light from the Sun,D,Geography 6,True
229,The resources on Earth are distributed,evenly,disperse,uneven.,concentrate.,C,Geography 6,True
233,Which of the following economic sectors is not directly affected by natural conditions?,Tourism.,Crop.,Transport.,Information technology.,D,Geography 6,True
234,Which of the following characteristics does the upper layer of the atmosphere have?,Located above the troposphere.,The air layers are extremely thin.,There is an ozone layer that absorbs ultraviolet rays.,Direct impact on people.,B,Geography 6,True
235,"For raw mineral fuels (oil, natural gas), which European countries have used what solutions to limit CO2 emissions into the atmosphere?",Emission control.,Suspend mineral exploitation.,"Carbon tax, consumption tax.",Use renewable energy.,C,Geography 7,True
236,Which of the following is not a locational feature of Asia?,Part of the Eurasian continent.,Stretches from the North Pole to the equator.,Most of the area lies between the Tropic of Cancer and the Tropic of Capricorn.,Bordering 2 continents and 3 large oceans.,C,Geography 7,True
242,"To improve air quality, what measures are used in European cities?",Prohibit deforestation and forest burning.,"Use bicycle, public transport.",Use environmental bags instead of plastic bags.,Use solar energy.,B,Geography 7,True
247,What was the earliest developed civilization in Africa?,Nile River.,South Africa.,Congo.,Nomad.,A,Geography 7,True
248,Where is the EU headquarters located?,New York (USA).,Brussels (Belgium).,London (UK).,Paris (France).,B,Geography 7,True
249,What type of environment does slash-and-burn farming occur in?,Equatorial environment.,Tropical environment.,Desert environment.,Subtropical environment.,B,Geography 7,True
250,What causes air pollution in Europe?,"Deforestation, forest fires.",Household and public waste.,Agricultural production activities.,"Industrial production activities, energy consumption.",D,Geography 7,True
251,Who built the Nile civilization?,South African.,Egyptian.,Congolese,Angolan.,B,Geography 7,True
254,Which industrial product is famous for its delicious taste and large export market in the world?,Cocoa.,Coffee.,Cigarette.,Tea.,B,Geography 7,True
259,Which country has the highest recorded bicycle traffic density in Europe?,Older brother.,Virtue.,Denmark.,Spain.,C,Geography 7,True
260,"In West Asia, which mineral has the largest reserves?",Yellow.,Oil.,Charcoal.,Iron.,B,Geography 7,True
267,What natural boundary in the east separates Europe from Asia?,Enisey River.,Ural Mountains.,Volga River.,Central Siberian Plateau.,B,Geography 7,True
269,What race is the main population of Europe?,Mongoloid.,Negro.,Europian.,Australoid.,C,Geography 7,True
270,Which country is the world's major center of oil production?,Libya.,Algeria.,South Africa.,Kenya.,B,Geography 7,True
271,What currency is used in the European Union (EU)?,Euro.,USD.,Yen.,Chinese Yuan.,A,Geography 7,True
276,Why are forest resources declining?,Forest exploitation.,Forest fire.,Climate change.,Mineral exploitation.,A,Geography 7,True
277,Who discovered America?,Bartolomeu Dias.,C. Columbus.,Bartolomeu Dias.,Francis Xavier,B,Geography 7,True
279,North America has a large area of plains but is currently being heavily degraded due to what cause?,Vegetation cover is destroyed.,Use large amounts of chemical fertilizers and pesticides.,Industrial waste.,Water source is polluted.,B,Geography 7,True
280,Which of the following characteristics is not true of the Amazon plain?,Agricultural areas are narrow and long.,Tropical rainforest vegetation cover.,"Large, flat land.",Dense river network.,A,Geography 7,True
281,Which climate type covers the largest area in North America?,Temperate.,Tropical.,Cold zone.,Alpine.,A,Geography 7,True
282,How important are immigration flows to the formation of North American communities?,Ethnic and religious conflicts.,Natural population increase.,Diverse racial composition.,Urbanization development.,C,Geography 7,True
283,How many kilometers long is the Cordillera system?,3260 km.,6000 km.,7000 km.,9000 km.,D,Geography 7,True
284,Which topographical area connects the continents of North America and South America?,Isthmus of Central America.,Antilles.,Red Sea.,Suez Canal.,B,Geography 7,True
285,Why is urbanization in Central and South America spontaneous?,"Not from industrial development, mainly immigration.","Industry developed strongly, population increased rapidly.","Diverse ethnic composition, rich language.",The largest migration situation in the world.,A,Geography 7,True
286,What is the area of America?,10 million km2.,44.4 million km2.,42 million km2.,20.2 million km2.,C,Geography 7,True
288,Why is the Amazon forest area decreasing?,Lack of water for irrigation.,The climate is warming.,Desertification is widespread.,"Deforestation for timber, farming land, transportation, forest fires.",D,Geography 7,True
292,Why does North America have a diverse economy and a high standard of living?,Reasonable and sustainable exploitation method.,"Flat terrain, large territory.",Abundant natural resources.,The climate is mild and cool.,A,Geography 7,True
295,Which of the following characteristics is not true of the Amazon plain?,Agricultural areas are narrow and long.,Tropical rainforest vegetation cover.,"Large, flat land.",Dense river network.,A,Geography 7,True
296,How has the exploitation of the Amazon rainforest affected the world's environment?,Big impact on global climate because Amazon is the “lungs” of the world.,Only affects the environment of the South American region.,No impact on the global environment due to remedial measures.,Only directly affects countries in the Central and South American region.,A,Geography 7,True
300,What animals do not live in Antarctica?,emperor penguin,Blue whale.,Snowy owl.,Black Seal.,B,Geography 7,True
302,Why is the Amazon forest area decreasing?,Lack of water for irrigation.,Desertification is widespread.,The climate is warming.,"Deforestation for timber, farming land, transportation, forest fires.",C,Geography 7,True
304,In which country does the Canaan Festival in Central and South America take place annually?,Brazil.,Argentina.,Bolivia.,Colombia.,A,Geography 7,True
307,The temperate zone in North America is distributed in,From 60^{o}$N and above the poles.,Large area in the southern United States.,Has a large area including southern Canada and the United States.,Coastal.,C,Geography 7,True
308,The natural differentiation of Central and South America is not caused by which factor?,Latitude.,Terrain.,Climate.,Human.,D,Geography 7,True
309,Current ice in Antarctica tends to,thinning,thicken,extending towards the equator.,expanding towards the South Pole.,A,Geography 7,True
310,How many voyages did Christopher Columbus make to America?,1.,2.,3.,4.,D,Geography 7,True
311,Why is urbanization in Central and South America spontaneous?,"Not from industrial development, mainly immigration.","Industry developed strongly, population increased rapidly.","Diverse ethnic composition, rich language.",The largest migration situation in the world.,A,Geography 7,True
312,Which of the following statements about the characteristics of North American rivers and lakes is incorrect?,The Mississippi is the largest river system in North America.,There are many lakes.,The Great Lakes region is located in the United States.,Lakes are concentrated in the south.,D,Geography 7,True
323,"In 2003, the population living in urban areas accounted for approximately:",24%,25%,26 %,27 %,C,Geography 9,True
324,Please tell me which areas are densely populated?,Plain,Coastal,The cities,"A, B, C, are all correct",D,Geography 9,True
325,"Based on Atlas page 15, please indicate which cities have a population of over 1 million people.","Hanoi. Hai Phong, Ho Chi Minh City.","Hanoi, Danang, Ho Chi Minh City","Hue, Da Nang, Can Tho","Ho Chi Minh City, Dong Nai, Ba Ria Vung Tau",A,Geography 9,True
327,"By level, our country's labor resources are mainly:",Trained,Highly skilled labor,Simple labor,All untrained.,C,Geography 9,True
331,The labor structure by economic sector is shifting in the direction of:,"Reduce the proportion of agriculture, forestry and fishery, increase the proportion of industry and services.","Reduce the proportion of labor in agriculture, forestry and fishery, increase the proportion of labor in industry and services.",Reduced proportion in all industries.,Increase proportion in all industries.,A,Geography 9,True
333,"In the GDP structure of our country, the service industry has the following characteristics:",Occupies the lowest proportion but tends to increase.,Occupies the highest proportion but tends to decrease.,accounts for a high proportion but the trend is still fluctuating.,"The proportion is higher than agriculture, forestry and fishery, but lower than industry and construction and less volatile.",A,Geography 9,True
335,Economic innovation is expressed through a sharp increase in the proportion of:,Agriculture,Industry - construction,Service,Sentences B and C are correct.,D,Geography 9,True
336,"In addition to domestic challenges, we are facing external challenges:",Labor immigration,Import of machinery and equipment,Import of goods,Investment.,C,Geography 9,True
337,Which of the following manifestations shows the shift in economic structure by territory?,"Reduce the proportion of agriculture, forestry and fishery sectors.","In agriculture, specialized areas have been formed.",Individual economy is recognized and increasingly developed.,Industry is the fastest growing sector.,B,Geography 9,True
340,The decisive factor in the development and distribution of agriculture is:,socio-economic factors,Industrial development,Market factors,All of the above.,A,Geography 9,True
348,"In our country, livestock farming accounts for a low proportion of agriculture, mainly due to:","Our country has a small land area and a large population, so livestock farming is difficult to develop.","There is not much pasture, food sources are lacking.",Low quality livestock and poultry.,Poor facilities for livestock farming,D,Geography 9,True
349,"Currently, the region with the strongest aquaculture development in our country is",Red River Delta,Mekong Delta,South Central Coast,All three regions above,B,Geography 9,True
