Question,A,B,C,D,Answer,Grade
" In class activities, the class monitor always makes decisions and requires his classmates to follow. If you were a member of that class, what would you do to promote democracy and discipline?", Do not participate in class activities., Listen to all decisions of the class monitor., Argue to oppose the class monitor's opinion., Be frank in giving advice so that the class monitor can learn from experience., D,
 Which of the following actions contributes to protecting peace for humanity?," Incitement, division between ethnic groups, religions", Causing war and terrorism in many places around the world,Establishing cooperative and friendly relations between nations, Limit relations with other countries to avoid conflicts, C,
 Protecting peace is the responsibility of,all countries in the world, developing countries, countries at war, only big countries, A,
" Maintaining a peaceful social life, using negotiation to resolve all conflicts between ethnic groups, religions and nations is called", Protect the country, Political activities, Protecting peace, Diplomatic activities, C,
" Working productively, with quality and efficiency means creating many products.", poor quality, for a certain period of time., have high value for a certain period of time., quality but time consuming, C,
" What are the signs of unproductive, ineffective and poor quality work?", Work alone during the hour., Watch TV while eating., Study while watching TV.," Both A, B, C.", D,
"Working productively, with quality and efficiency is... for everyone in today's era. What is in the ""...""?", Request., Condition., Premise., Motivation., A,
" Which of the following is not the meaning of working productively, qualitatively, and effectively?", Help each person achieve every goal set., Contribute to improving the quality of life of each individual., Is the requirement of workers in modern society., Promote the country's development in the integration period., A,
" To be effective in learning, students need to"," study less, play more", stay up late to study, copy your post, copy your post, D,
 Creating many products of high value in both content and form within a certain period of time is a manifestation of, autonomy in work, cooperation for development," dynamic, creative at work"," work productively, qualitatively, effectively", D,
 A happy marriage must be built on which of the following important foundations?, Suitable family circumstances, Compatible in fashion sense., True love, Have a stable job., C,
 Which of the following opinions about marriage do you disagree with?, Marriage must be recognized by the State., The main purpose of marriage is to maintain and develop the economy., Marriage is for the purpose of living together for a long time and building a harmonious and happy family., Marriage is a special union between a man and a woman on the principle of equality and voluntariness., B,
 Which of the following is not a consequence of child marriage?, Unable to see relatives again., Reduce population quality., Adversely affects the health of both mother and child., Family conflicts due to young couple., A,
 Which of the following violates the basic principles of the marriage regime in Vietnam?," Progressive marriage, monogamy, husband and wife equality."," Marriage is voluntary and progressive, no one has the right to interfere.", Marriage between religious and non-religious people., Marriage at the same time between a Vietnamese citizen and two foreigners., D,
"Based on knowledge of citizens' rights and obligations in marriage, which of the following views do you disagree with?"," Squeezing oil and fat, who can bear to force fate."," A spoiled child is the mother's fault, a spoiled grandchild is the grandmother's fault."," If husband and wife are in harmony, they can drain the East Sea."," I love my husband in torn clothes/ Other people's husbands in brocade clothes, let others wear them.", B,
 Labor activities that generate income without being banned by law are called, apprentice, job, renovation, career guidance, B,
 Which of the following behaviors is not in accordance with labor law?, Forcing children under 15 years old to work., Citizens aged 16 and over are accepted into companies to work., Get all holidays off according to state regulations.,Consulted in times of illness and disease., A,
 One of the contents of equality in the implementation of labor rights is that everyone has the right to choose?, work according to your interests, jobs that match their abilities without discrimination., working conditions according to your needs., working time according to your subjective wishes, B,
" Violation of civil law is an act of violating the law, infringing upon", official and personal relationships,State management rules.,State management rules.," labor relations, state affairs.", C,
 The State's legal responsibility is to:, Fine violators., Forcing the violator to stop the illegal act and suffer certain damages; educating and deterring others., Restore social order., Prevent violators from committing new violations., B,
" The obligation that individuals, agencies, and organizations that violate the law must comply with compulsory measures prescribed by the State is called", Legal liability, violate the law,family responsibility, ethical violation, A,
" ""criminal"" is a person who commits a crime", civil law, administrative law, criminal law, discipline, C,
"B's family is very poor, but B always plays around and demands that his mother buy him an iPhone before he will go to school. What do you think about B?", Friend B is a person who lives lavishly and wastefully., Friend B is a heartless person., Friend B is a saver., Friend B is unconscious., A,
 What is the expression of simple living?," Speak briefly, clearly, and politely."," Dress neatly, not flashy.", Live in harmony with friends.," Both A, B, C.", D,
 What does simple living mean to each person?,"Be loved, understood and helped by everyone.", Shared hardships with others., Loved by everyone., Get help from everyone., A,
 What is the opposite of simple?," extravagant, wasteful"," Diligent, industrious.", Save., Frankly., A,
 What is the manifestation of an unsophisticated life?," Only play with rich people, not with poor people.", Don't play with the opposite sex., No communication with ethnic people.," Both A, B, C.", D,
" At my school, there is a rule that female students are not allowed to wear lipstick when coming to school. However, in my class, some female students still wear lipstick and heavy makeup when coming to class. What does that action say?", The lifestyle is not simple., frugal lifestyle, diligence, Humility., A,
" Living simply means living in accordance with….yourself, your family and society?. What is in the “…”?", Condition., Situation.," Conditions, circumstances.", Capacity., C,
 Living simply is:," Clothes are neat and clean, do not wear clothes that look strange compared to everyone else."," Natural demeanor, walking properly, no pretense or mannerisms."," Comply with school regulations, dress cleanly, neatly, and respectfully when coming to school, protect public property, and not be extravagant or wasteful.", All of the above, D,
" What virtue does the proverb ""An upright tree is not afraid of dying standing"" talk about?", Simple., Save., Honest., Modest., C,
Proverbs express honesty, An upright tree is not afraid of dying standing.," Eat honestly, tell the truth about everything", The wicked fear the honest/ The honest do not fear the crooked path," A, B, C are correct", D,
" Living honestly, being honest and daring to admit mistakes when you make mistakes refers to which virtue?", Honesty, Humility., The virtue of thrift., Honesty., D,
 Which of the following behaviors does not demonstrate honesty?, Don't just give your notes during the test, Don't cover for you when you make a mistake, To get high score in N test peek at your paper, Pick up lost property and return it to its owner., C,
 What is the opposite of honesty?, False., Save., Hard-working., Modest., A,
" During class activities, in week 3, K made 7 mistakes of talking in class and 2 violations of exam regulations. The teacher reminded him many times but K still violated the rules and K thought that whatever K did was none of his business and it had nothing to do with the other students and the teacher. As a classmate, what would you do to help K improve that habit?", Don't care because it doesn't concern me., Tell your parents K to teach them the death anniversary., Don't play with K because K is an unconscious person.," Remind, help you in your studies and advise you not to do so because it violates discipline.", D,
" Many times, V promised the class that he would not talk during class. Despite being reminded many times, V still violated the rules. What does that say about V?", V is a person with no self-esteem., V is lazy., V is a liar., V is an emotionless person., A,
Can't do the test but determined not to copy and not look at your friend's test. What does that action show?, Honest, Self-esteem., Hard-working., Modest., B,
 People without self-respect, Always wrong, Always blame others without admitting your own mistakes, Always avoid assigned tasks," A, B, C", D,
" What does the proverb ""Starve but keep clean, tear but keep fragrant"" refer to?", Simple., Save., Self-esteem., Modest., C,
" During the flag salute, Q kept talking, swearing and cursing at his classmates. Teacher P discovered that Q was talking during the flag salute so he asked Q to stand in front of the flag. However, Q stood in front of the flag but still laughed and teased his classmates. What kind of person does that show?", Q is a rude person., Q is a heartless person., Q is a dishonest person., Q is a person with no self-esteem., D,
" H's family is poor, his father has a serious illness. The school exempts him from tuition, the class organizes a visit to encourage him. What does that action show?", Love for everyone.,Spirit of unity., Patriotism, Loyalty., A,
 Requirements of planned work, Balancing the tasks, Reasonable time, Ensure time for rest and study," A, B, C", D,
Try to predict what the result will be if you work according to plan?," Complete work thoroughly and effectively, without leaving anything behind.", Proactive working time,Discipline," A, B, C", D,
 How did Uncle Ho know so many languages?, Live and work with a plan.," Diligent, industrious.", Save.," Both A, B, C", D,
 What is living and working with a plan?, Define the mission, Work arrangement," A, B are correct"," A, B are wrong", C,
 Whose responsibility is it for children?, Family, School, Society, State, A,
 Which of the following rights does not include the right to child protection?,Right to protection of life and body, Right to birth certificate of nationality, Right to education, Right to protection of honor and dignity, C,
 What are the types of laws that relate to children's rights?, Constitution.," Law on protection, care and education of children.", Law on marriage and family.," Both A, B, C.", D,
 What are the types of laws that relate to children's rights?, Constitution.," Law on protection, care and education of children.", Law on marriage and family.," Both A, B, C.", D,
 What is world environment day?, 5/6., 5/7., 5/8., 5/9., A,
 The most correct assessment of our country's forest resources today is, Forest resources continue to decline in both quantity and quality.," Although the total forest area is being restored, the quality continues to decline.", Our country's forest resources are being restored in both quantity and quality., Forest quality has been restored but forest area is decreasing rapidly., B,
 Which of the following is not a natural resource?, HCl solution is prepared in the laboratory., Forest., Coral., Whale., A,
" For mountainous land, it must be protected by:", Promote shifting cultivation and protect forest resources.," Improve efficiency, have reasonable farming regime.", Increase fertilization and appropriate improvement according to each type of soil.,"Apply comprehensive measures of irrigation, agriculture and forestry.", D,
" Spiritual products with historical, cultural and scientific value are called:", historical and cultural relics, tangible cultural heritage, intangible cultural heritage, scenic spot, C,
 Tangible and intangible cultural heritage is also known as?, Material and spiritual cultural heritage., Intangible and tangible cultural heritage., Abstract and non-abstract cultural heritage., Countable and uncountable cultural heritage., A,
 What behavior demonstrates religion:, Don't eat eggs before taking an exam., Burn incense before going far away, Fortune telling to know the future, Spell, B,
"Worship God, do not burn incense but go listen to religious teachings, which religion do you belong to?", Protestantism., Christianity., Buddhism., Hoa Hao religion., B,
 Burning incense to worship ancestors is called?, Religion., Belief., Superstition., Missionary., B,
 What should we do to take care of and train our bodies?, Watch TV often, Regular health check-ups," Because he was afraid of being late for school, Hung ate his meal in a hurry.", daily personal hygiene, B,
 Which of the following is not true about self-care?, Eat a balanced diet with adequate nutrition, Exercise daily," No need for health care, if you are sick go to the doctor and take medicine and you will be cured", Prevention is better than cure, C,
 Health has meaning?, Health is a precious human capital.," Good health helps us study and work effectively, have an optimistic, joyful and happy life."," Health helps us to be optimistic, joyful and happy.", Both A and B., D,
 Persistence is:, Work hard., Work regularly., Determined to do it to the end., Work independently., C,
" What does the proverb say: ""If you work hard, you will succeed.""", Humility, The virtue of thrift., Honesty., diligence, D,
 The proverb about saving is:," Little by little, something becomes something.","Study, study more, study forever."," If you keep grinding iron, one day it will become a needle.", Travel a day learn a basket of knowledge., A,
 What is courtesy?, Only greet the elderly., Know how to behave properly., Arguing with friends., Talking nonsense., B,
 What is the idiom about politeness?," If you keep grinding iron, one day it will become a needle.", Go tell and send., Squeeze the pestle to get the water out., Many a man makes a man., B,
 Which of the following actions is respectful of discipline?, Walk on the right side of the road., Throw garbage in the right place., Keep the classroom clean.," Both A, B, C.", D,
 Which of the following actions is disrespectful to discipline?, Using phone in class., Go to school on time, Do your homework before coming to class., Wear school uniform., A,
" Gratitude is... feelings and actions of gratitude towards those who have helped you, those who have contributed to the nation and country. Fill in the ""..."" that is ?", tribute, expression of gratitude,expression of respect, expression of love, C,
 Which proverbs and folk songs talk about gratitude?,Drink water remember the source.," When you eat the fruit, remember the person who planted the tree.", Respect teachers.," Both A, B, C.", D,
"What does the proverb ""ungrateful"" talk about?", ingratitude, Loyalty., Unity., Gratitude., A,
 Which action is an act of destroying nature?, Illegal logging., Plant trees and create forests., Protect upstream forests., Release rare animals into the forest., A,
 What is man's responsibility towards nature?, People need to preserve and protect nature, Exploiting nature, Destroying nature, Polluting the natural environment, A,
" The saying: Golden forests, silver seas, fertile land respectively refer to which elements of nature?"," Forest, air, land."," Forest, sea, land."," Forest, river, land."," Forest, sky, land.", B,
 What is the manifestation of not living in harmony with others?, Don't play with poor people., Do not participate in school-sponsored activities., Don't give advice to anyone for fear of offending them.," Both A, B, C.", D,
 What does it mean to live in harmony?, Be loved and helped by everyone, Build good social relationships., To take advantage of people's kindness, Both A and B are correct, D,
 When was the United Nations Convention on the Rights of the Child born?, 1989, 1998, 1986, 1987, A,
" In which year did Vietnam enact the law on child protection, care and education?", 1989, 1990, 1991, 1992, C,
 What groups of rights are included in the basic rights of children?," Group of rights: survival, protection, development and participation."," Group of rights: survival, learning, development and play."," Group of rights: survival, protection, recreation and development."," Group of rights: survival, enjoyment, recreation and development.", A,
 When was the Vietnamese Nationality Law enacted?, 1985, 1986, 1987, 1988, D,
 Article 19 of the 2008 Nationality Law stipulates that people who acquire Vietnamese nationality must renounce their foreign nationality except in which case?, The President allows., Beneficial to the Socialist Republic of Vietnam., Having special contributions to the cause of building and defending the Fatherland.," Both A, B, C.", D,
Which case is a citizen of the Socialist Republic of Vietnam?, Orphaned children.," Mother is Vietnamese, father is foreign."," Mother is foreign, father is Vietnamese."," Both A, B, C.", D,
" What is the correct understanding of the concept of ""road""?"," road, road bridge"," Road tunnel, road ferry terminal"," Roads, bridges, ferry terminals and other structures", Both A and B are correct, C,
 Prohibition signs have the form:," equilateral triangle, red border, yellow background"," circle, red border, white background, black drawing"," circle, red border, white background, yellow drawing"," square or rectangular, black border, white background", B,
" What type of sign is a circle, blue background, with a white drawing on the background?", Prohibition sign., Danger sign., Command sign., Signpost., C,
 Which legal document specifically regulates the right to education?, Law on education and training., Children's law., Law on vocational education., Education Law., D,
 Citizens' right to education is expressed:, All citizens have equal opportunity to learn., Each person can only study one profession of his choice., Old people are not allowed to go to school.,You can skip school or drop out if you don't like it., A,
" In life we must know ....... the life, body, health, dignity and honor of others. At the same time we must know how to protect our own rights. Fill in ....", Learn about, Love, Protect, Respect, D,
" The right to legal protection of citizens' life, health, honor and dignity is recognized in which article of the 2013 Constitution?", Article 20., Article 21., Article 22., Article 23., A,
"No one may enter another person's residence without that person's consent, except in cases where ..... permission is given. Fill in ....", Police, Police, Court, Law, D,
 The right to trespass on the residence is one of the rights .... of citizens stipulated in our country's Constitution. Fill in ...., In fact,Nature, Basic, Base, C,
" What type of right is the right to ensure the safety and confidentiality of letters, telephones, and telegrams?", The right to legal protection of life and body.," The right to legal protection of health, honor and dignity.", Democracy., Basic freedoms., D,
" For Asia, which country is Vietnam to sign the United Nations Convention on the Rights of the Child?", 1, 2, 3, 4, A,
 How many articles and how many rights does the United Nations Convention on the Rights of the Child have?," 54 articles, 29 rights."," 53 articles, 25 rights."," 52 articles, 27 rights."," 51 articles, 23 rights.", A,
" The standards for what can be done, what must be done, and what must not be done are:", Morality., law., economy., politics., B,
" Law has universal normative character, because the law is applied", in all areas of social life., in several important areas., for violators, for business producers, A,
 Which of the following is not a characteristic of law?, General compulsory power., Universal normative,Democratic openness., Strict formality., C,
"The Law on Marriage and Family stipulates the conditions for marriage and divorce, reflecting which of the following characteristics of the law?",General mandatory power., Universal normative nature., Large social character., strict formality, D,
 Traffic police fining people who do not wear helmets when riding motorbikes on the road is a manifestation of the form:, comply with the law., law enforcement, apply the law, use of law, C,
" Law enforcement is a form of law implementation, in which", The subject (law) restrains from doing things that the law prohibits., The subject performs his obligations through positive actions., The subject decides to do what the law allows., The subject decides not to do what the law requires., B,
 Using the law means that individuals and organizations can do what the law allows., allow to do, has been specified., not allowed to do., must do, A,
 Which of the following actions is law enforcement?, Cross the intersection when the light is red.," Riding two or three rows, obstructing other vehicles."," Weaving, weaving, carrying bulky goods.", Give way to vehicles with priority., D,
 Which of the following does not talk about citizens being equal in rights and obligations?, Citizens are equal in their duty to defend the Fatherland., Citizens are equal in their obligation to contribute to charity., Citizens are equal in their tax obligations., Citizens have equal rights to vote., B,
" Every citizen who meets the conditions prescribed by law has the right to do business, demonstrating citizen equality.", on rights and obligations., in production, in economics, on business conditions, A,
 Citizens are equal in rights and obligations means that every citizen:, All have equal rights., All have the same obligations., All have the same rights and obligations., Equal rights and obligations according to the law., D,
 Rights and obligations of citizens:," Often discriminated by ethnicity, religion, gender"," Sometimes discriminated by wealth, class and social status"," Not discriminated by race, gender, religion, rich or poor"," Depends on the citizen's education, income and relationship with the government", C,
The manifestation of bitterness in marriage is," Only the wife has the responsibility of family planning, child care and education."," Only the husband has the right to choose where to live, decide the number of children and the time of birth."," Husband and wife are equal to each other, have equal rights and obligations in all aspects of the family.", The husband decides on the choice of family business., C,
 Which statement shows equality between male and female workers?, The working hours of female workers are always shorter than those of male workers.,"Male and female workers do the same work, regardless of physiological characteristics."," Both male and female workers have to do the same work, including heavy, toxic work and work that affects child-rearing function.","Do not use female workers for heavy, toxic work that adversely affects reproductive function.", D,
 Equality in marriage and family is equality of rights and obligations between," husband and wife, grandparents and grandchildren"," husband, wife and between family members.", parents and children," wife and children, brothers and sisters in the family with each other", B,
 What does equality in business mean?, Private enterprises are equal to state enterprises., All businesses enjoy the same tax exemptions., State-owned enterprises are given priority over other enterprises., All businesses are allowed to trade the same products., A,
" ""All religions are equal before the law"" is the content stipulated in:", Doctrine, Canon Law, Religious principles, Constitution, D,
 The number of ethnic groups living together in Vietnam today is, 54, 55, 56, 57, A,
 The State creates all conditions for citizens of different ethnic groups to have equal opportunities to study. This right shows that ethnic groups are equal in:, economy., culture., education., society., C,
" In the economic field, equality between peoples is understood as", The state must ensure that citizens of all ethnic groups have the same standard of living.," The Party and State have a policy of equal economic development, without discrimination between ethnic minorities and ethnic majorities.",Every nation must develop its economy according to its own capabilities., The State must ensure that the majority ethnic group has a higher level of economic development than the ethnic minority group., B,
" Human life and health are guaranteed to be safe and no one has the right to infringe upon them, that is the content of the right.",inviolability of the citizen's body., protected by law regarding the life and health of citizens., protected by law on the honor and dignity of citizens., physical liberty of citizens, B,
"Aggressive acts of hooliganism, beating people causing injury, and harming the health of others are punishable by our country's law.", strictly prohibited, encourage., donate., allow., A,
" Suspecting that Mr. A stole his money, Mr. B and his son entered Mr. A's house without permission to search. This action violates which of the following rights?", The right to legal protection of citizens' dignity and honor., The right to ensure the privacy of citizens., Personal rights of citizens., Inviolability of citizens' residence., D,
" While H was busy with personal matters, a text message came to his phone. T opened H's phone to read the message. Which of the following rights did T's action violate?", The right to legal protection of citizens' honor., Citizens' democratic freedoms.," The right to ensure the safety and confidentiality of citizens' correspondence, telephone calls and telegrams.", Citizens' right to freedom of speech., C,
" Whether intentional or unintentional, violating the life and health of others is", violate the law, no violation, normal, allowed, A,
 Which of the following rights of citizens is violated when an election committee member suggests voting for this person and crosses out another person's name?, Right to vote., Right to stand for election., Equal rights., Freedom of speech., C,
 The right to vote and the right to stand for election are important legal and political bases for," Implement the mechanism of ""people know, people discuss, people do, people inspect"".", People practice direct democracy, People's representatives subject to the supervision of voters, Formation of state power agencies, D,
What principle under the Election Law does asking a family member to vote on your behalf in the election of National Assembly Deputies violate?, Popular., Direct., Secret ballot., Equality., B,
" In the election process, the fact that each ballot has the same value reflects which principle in the election?", Popular., Direct., Secret ballot., Equality., D,
" ""A form of democracy with regulations and institutions for people to discuss, vote and directly participate in deciding the work of the community and the State."" is", Direct democracy., Indirect form of democracy, Democratic centralism., Socialist democracy, A,
" What does it mean for citizens to study to become doctors, teachers, technicians or apprentices?", Citizens' unlimited right to education., The right of citizens to study any profession or profession., Citizens' right to lifelong learning., Citizens have equal opportunities to learn., B,
 Which of the following activities is not an activity that demonstrates creative rights?, Make a harvester., Write a newspaper article., Learn electronics repair.," Participate in the ""Robocon Creation"" competition.", C,
" Our Party and State always consider ""Talents are the vital energy of the nation"". This reflects the idea:", Respect for talent.,Underestimate talent., Looking for talent., Talent development., A,
Lan is a high school student. She regularly writes and sends articles to Hoa Hoc Tro newspaper. Lan is currently working on:, Right to education, Creative rights., Right to development.,The right to literary criticism., B,
" Whether citizens can study in a formal or continuing education system, study in a concentrated or part-time manner, during the day or in the evening, depending on each person's conditions, is the content of:", The right to education is unlimited., The right to study any profession., The right to lifelong learning., Citizens have equal opportunity to learn., C,
