Question,Label,Choosed_wrong_answer,True_answer
"Hãy điền vào trong dấu [] tại lựa chọn B dựa vào kiến thức của bạn.
Hãy nhớ một luật quan trọng rằng: câu trả lời của bạn phải khác các lựa chọn còn lại
Câu hỏi: Trước cách mạng, ở Pháp đẳng cấp nào được hưởng đặc quyền, không phải đóng thuế?
Lựa chọn: 
A: Đẳng cấp tăng lữ.
B: []
C: Đẳng cấp thứ ba.
D: Đẳng cấp tăng lữ và quý tộc.
Hãy đưa ra câu trả lời chỉ chứa duy nhất nội dung của phần lựa chọn được yêu cầu.
",Đẳng cấp quý tộc.,B,D
"Hãy điền vào trong dấu [] tại lựa chọn A dựa vào kiến thức của bạn.
Hãy nhớ một luật quan trọng rằng: câu trả lời của bạn phải khác các lựa chọn còn lại
Câu hỏi: Trường hợp nào sau đây không xảy ra phản ứng?
Lựa chọn: 
A: []
B: Cho Cr + NaOH + H2O
C: Cu + dd HCl + O2
D: CuO + dd HCl
Hãy đưa ra câu trả lời chỉ chứa duy nhất nội dung của phần lựa chọn được yêu cầu.
",Cu vào hỗn hợp dung dịch NaNO3 + H2SO4 loãng,A,B
"Hãy điền vào trong dấu [] tại lựa chọn D dựa vào kiến thức của bạn.
Hãy nhớ một luật quan trọng rằng: câu trả lời của bạn phải khác các lựa chọn còn lại
Câu hỏi: Người ta chọn thủy ngân và rượu để chế tạo nhiệt kế vì
Lựa chọn: 
A: Chúng có nhiệt độ nóng chảy cao
B: Nhiệt độ nóng chảy thấp
C: Nhiệt độ đông đặc cao
D: []
Hãy đưa ra câu trả lời chỉ chứa duy nhất nội dung của phần lựa chọn được yêu cầu.
",Tất cả câu trên đều sai,D,B
"Hãy điền vào trong dấu [] tại lựa chọn C dựa vào kiến thức của bạn.
Hãy nhớ một luật quan trọng rằng: câu trả lời của bạn phải khác các lựa chọn còn lại
Câu hỏi: Xét các dây dẫn được làm từ cùng một loại vật liệu, nếu chiều dài dây dẫn tăng gấp 3 lần và tiết diện giảm đi 2 lần thì điện trở của dây dẫn:
Lựa chọn: 
A: Tăng gấp 6 lần
B: Giảm đi 6 lần
C: []
D: Giảm đi 1,5 lần
Hãy đưa ra câu trả lời chỉ chứa duy nhất nội dung của phần lựa chọn được yêu cầu.
","Tăng gấp 1,5 lần",C,A
"Hãy điền vào trong dấu [] tại lựa chọn D dựa vào kiến thức của bạn.
Hãy nhớ một luật quan trọng rằng: câu trả lời của bạn phải khác các lựa chọn còn lại
Câu hỏi: Kinh tuyến được chọn làm đường chuyển ngày quốc tế
Lựa chọn: 
A: kinh tuyến 1800 đi qua Thái Bình Dương
B: kinh tuyến 1600 đi qua Ấn Độ Dương
C: kinh tuyến 1700 đi qua Đại Tây Dương
D: []
Hãy đưa ra câu trả lời chỉ chứa duy nhất nội dung của phần lựa chọn được yêu cầu.
",tất cả đều sai,D,A
"Hãy điền vào trong dấu [] tại lựa chọn B dựa vào kiến thức của bạn.
Hãy nhớ một luật quan trọng rằng: câu trả lời của bạn phải khác các lựa chọn còn lại
Câu hỏi: Vì sao Xô-cô-lốp lại nói: ""Tôi đã chôn trên đất người, đất Đức, niềm vui sướng và niềm hi vọng cuối cùng của tôi""?
Lựa chọn: 
A: Người chiến sĩ Hồng quân Xô-cô-lốp đã chịu trăm nghìn cay đắng, chiến đấu chừng một năm anh bị thương nhẹ hai lần, vào tay và chân. Tiếp đó là hai năm bị đoạ đầy trong các trại tù binh Đức. ""Cứ nhớ tới cực hình vô nhân đạo phải chịu ở bên Đức, cứ nghĩ tới bạn bè, đổng chí đã bỏ mình vì bị hành hạ trong trại tập trung, thì tim tôi không còn trong lồng ngực nữa mà nhảy lên đập ở cuống họng và tôi thấy ngạt thở’’.
B: []
C: Để chiến thắng phát xít Đức, 25 triệu người Xô-viết, non một phần mười dân số thời đó đã hi sinh. Chỉ khoảng ba phần trăm thanh niên từ măt trận trở về. Vì độc lập dân tộc và sự sống còn của nhân dân, Xô-cô-lốp đã-chịu đựng những mất mát ghê gớm.
D: Niềm hi vọng cuối cùng giúp anh bám víu vào cuộc đời này là A-na-tô-ni, chú học sinh giỏi toán, đại uý pháo binh, đứa con trai yêu quý đang cùng anh tiến đánh Béc-lin. Và hi vọng cuối cùng đó cũng bị dập tắt: “Đúng sáng ngày mông chín tháng năm, ngày Chiến thắng, một thằng thiện xạ Đức đã giết chết mất A- na-tô-ni cùa tôi...”.
Hãy đưa ra câu trả lời chỉ chứa duy nhất nội dung của phần lựa chọn được yêu cầu.
","Năm 1944, sau khi thoát khỏi cảnh nô lệ tù binh, An-đrây Xổ-cô-lốp được biết một tin đau đớn: ngay từ tháng 6 năm 1942, vợ và hai con gái anh đã bị bom của bọn phát xít giết hại. Trở vể thăm xóm thợ, Xô-cô-lốp thấy ngôi nhà êm ấm xưa kia của gia đình giờ đây chi còn là một hố bom.",B,D
"Hãy điền vào trong dấu [] tại lựa chọn C dựa vào kiến thức của bạn.
Hãy nhớ một luật quan trọng rằng: câu trả lời của bạn phải khác các lựa chọn còn lại
Câu hỏi: Tính $\frac{34}{15} \times \frac{3}{17}$:
Lựa chọn: 
A: $\frac{2}{5}$
B: $\frac{37}{32}$
C: []
D: $\frac{17}{12}$
Hãy đưa ra câu trả lời chỉ chứa duy nhất nội dung của phần lựa chọn được yêu cầu.
",$\frac{31}{2}$,C,A
"Hãy điền vào trong dấu [] tại lựa chọn A dựa vào kiến thức của bạn.
Hãy nhớ một luật quan trọng rằng: câu trả lời của bạn phải khác các lựa chọn còn lại
Câu hỏi: Biểu hiện nào sau đây thể hiện sự chuyển dịch cơ cấu kinh tế theo lãnh thổ?
Lựa chọn: 
A: []
B: Trong nông nghiệp đã hình thành các vùng chuyên canh.
C: Kinh tế cá thể được thùa nhận và ngày càng phát triển.
D: Công nghiệp là ngành có tốc độ phát triển nhanh nhất.
Hãy đưa ra câu trả lời chỉ chứa duy nhất nội dung của phần lựa chọn được yêu cầu.
","Giảm tỉ trọng khu vực nông, lâm, ngư nghiệp.",A,B
"Hãy điền vào trong dấu [] tại lựa chọn B dựa vào kiến thức của bạn.
Hãy nhớ một luật quan trọng rằng: câu trả lời của bạn phải khác các lựa chọn còn lại
Câu hỏi: Anh xâm lược và đặt ách Cai trị ở Ấn Độ vào thời gian nào?
Lựa chọn: 
A: Thế kỉ X
B: []
C: Thế kỉ XII
D: Thế kỉ XIII
Hãy đưa ra câu trả lời chỉ chứa duy nhất nội dung của phần lựa chọn được yêu cầu.
",Thế kỉ XI,B,D
"Hãy điền vào trong dấu [] tại lựa chọn B dựa vào kiến thức của bạn.
Hãy nhớ một luật quan trọng rằng: câu trả lời của bạn phải khác các lựa chọn còn lại
Câu hỏi: Một hòn đá có thể tích 25cm^3 được thả nhẹ vào bình chia độ đang chưa nước ở mực 80cm^3. Thể tích mực nước dâng lên thêm trong bình là ;
Lựa chọn: 
A: 25$cm^{3}$
B: []
C: 60$cm^{3}$
D: 105$cm^{3}$
Hãy đưa ra câu trả lời chỉ chứa duy nhất nội dung của phần lựa chọn được yêu cầu.
",55$cm^{3}$,B,A
"Hãy điền vào trong dấu [] tại lựa chọn D dựa vào kiến thức của bạn.
Hãy nhớ một luật quan trọng rằng: câu trả lời của bạn phải khác các lựa chọn còn lại
Câu hỏi: Mọi vật trên trái đất đều chịu tác dụng của áp suất khí quyển là do:
Lựa chọn: 
A: Không khí giản nở vì nhiệt.
B: Không khí cũng có trọng lượng.
C: Chất lỏng cũng có trọng lượng.
D: []
Hãy đưa ra câu trả lời chỉ chứa duy nhất nội dung của phần lựa chọn được yêu cầu.
",Không khí không có trọng lượng.,D,B
"Hãy điền vào trong dấu [] tại lựa chọn A dựa vào kiến thức của bạn.
Hãy nhớ một luật quan trọng rằng: câu trả lời của bạn phải khác các lựa chọn còn lại
Câu hỏi: Vì sao quân ta phải chiếm thành Xương Giang trước khi viện binh của giặc đến?
Lựa chọn: 
A: []
B: Câu A và C đúng
C: Lập phòng tuyến, không cho giặc về Đông Quan
D: Không cho giặc có thành trú đóng, phải co cụm giữa cánh đồng
Hãy đưa ra câu trả lời chỉ chứa duy nhất nội dung của phần lựa chọn được yêu cầu.
",Để chủ động đón đoàn quân địch,A,D
"Hãy điền vào trong dấu [] tại lựa chọn A dựa vào kiến thức của bạn.
Hãy nhớ một luật quan trọng rằng: câu trả lời của bạn phải khác các lựa chọn còn lại
Câu hỏi: Nguyên nhân cơ bản nào làm cho chủ nghĩa xã hội ở Liên Xô và Đông Âu sụp đổ?
Lựa chọn: 
A: []
B: Chậm sửa chữa những sai lầm.
C: Nhà nước nhân dân Xô viết, nhận thấy CNXH không tiến bộ nên muốn thay đổi chế độ.
D: Xây dựng mô hình chủ nghĩa xã hội không phù hợp.
Hãy đưa ra câu trả lời chỉ chứa duy nhất nội dung của phần lựa chọn được yêu cầu.
",Các thế lực chống CNXH trong và ngoài nước chống phá.,A,D
"Hãy điền vào trong dấu [] tại lựa chọn A dựa vào kiến thức của bạn.
Hãy nhớ một luật quan trọng rằng: câu trả lời của bạn phải khác các lựa chọn còn lại
Câu hỏi: Tỉ suất tử thô là tương quan giữa số người chết trong năm so với
Lựa chọn: 
A: []
B: Số trẻ em và người già trong xã hội ở cùng thời điểm
C: Những người có nguy cơ tử vong cao trong xã hội ở cùng thời điểm
D: Dân số trung bình ở cùng thời điểm
Hãy đưa ra câu trả lời chỉ chứa duy nhất nội dung của phần lựa chọn được yêu cầu.
",Số người thuộc nhóm dân số già ở cùng thời điểm,A,D
"Hãy điền vào trong dấu [] tại lựa chọn C dựa vào kiến thức của bạn.
Hãy nhớ một luật quan trọng rằng: câu trả lời của bạn phải khác các lựa chọn còn lại
Câu hỏi: Cho hai đa thức f(x) và g(x) khác đa thức không sao cho tổng f(x) + g(x) khác đa thức không. Khi nào thì bậc của f(x) + g(x) chắc chắn bằng bậc của f(x)?
Lựa chọn: 
A: f(x) và g(x) có cùng bậc.
B: f(x) có bậc lớn hơn bậc của g(x).
C: []
D: Không bao giờ.
Hãy đưa ra câu trả lời chỉ chứa duy nhất nội dung của phần lựa chọn được yêu cầu.
",g(x) có bậc lớn hơn bậc của f(x).,C,B
"Hãy điền vào trong dấu [] tại lựa chọn D dựa vào kiến thức của bạn.
Hãy nhớ một luật quan trọng rằng: câu trả lời của bạn phải khác các lựa chọn còn lại
Câu hỏi: Khoáng sản là:
Lựa chọn: 
A: Những tích tụ tự nhiên của khoáng vật.
B: Khoáng vật và các loại đá có ích.
C: Các loại đá do nhiều loại khoáng vật khác nhau kết hợp lại.
D: []
Hãy đưa ra câu trả lời chỉ chứa duy nhất nội dung của phần lựa chọn được yêu cầu.
",Các loại nham thạch ở trong lớp vỏ Trái Đất.,D,B
"Hãy điền vào trong dấu [] tại lựa chọn B dựa vào kiến thức của bạn.
Hãy nhớ một luật quan trọng rằng: câu trả lời của bạn phải khác các lựa chọn còn lại
Câu hỏi: Trong buôi thảo luận để xây dựng kế hoạch hoạt động ngoại khoá cho lớp, việc làm nào dưới đây chưa phát huy được tính dân chủ và kỉ luật của học sinh?
Lựa chọn: 
A: Để cán bộ lớp quyết định.
B: []
C: Tôn trọng ý kiến của tập thể
D: Tích cực tham gia các hoạt động của lớp.
Hãy đưa ra câu trả lời chỉ chứa duy nhất nội dung của phần lựa chọn được yêu cầu.
",Sôi nổi đề xuất ý kiến,B,A
"Hãy điền vào trong dấu [] tại lựa chọn D dựa vào kiến thức của bạn.
Hãy nhớ một luật quan trọng rằng: câu trả lời của bạn phải khác các lựa chọn còn lại
Câu hỏi: Qua câu chuyện được kể và các chi tiết miêu tả trong ""Đồng dao mùa xuân"", hình ảnh người lính hiện lên:
Lựa chọn: 
A: trong sáng, hồn nhiên, vô tư, hiền lành, giản dị, mộng mơ.
B: Mang cái nóng nảy, bốc đồng của tuổi trẻ
C: giản dị, khắc khổ
D: []
Hãy đưa ra câu trả lời chỉ chứa duy nhất nội dung của phần lựa chọn được yêu cầu.
",tràn đầy nhiệt huyết thanh xuân với giấc mộng giảng đường đại học.,D,A
"Hãy điền vào trong dấu [] tại lựa chọn B dựa vào kiến thức của bạn.
Hãy nhớ một luật quan trọng rằng: câu trả lời của bạn phải khác các lựa chọn còn lại
Câu hỏi: Ý nào dưới đây không cần thiết khi làm bài nghị luận cho đề bài: Chứng minh câu tục ngữ: “Ăn quả nhớ kẻ trồng cây”?
Lựa chọn: 
A: Giải thích câu tục ngữ
B: []
C: Phát biểu cảm nghĩ về lòng biết ơn
D: Làm thế nào để thực hiện lời khuyên của câu tục ngữ
Hãy đưa ra câu trả lời chỉ chứa duy nhất nội dung của phần lựa chọn được yêu cầu.
",Chứng minh truyền thống biết ơn của dân tộc,B,C
"Hãy điền vào trong dấu [] tại lựa chọn D dựa vào kiến thức của bạn.
Hãy nhớ một luật quan trọng rằng: câu trả lời của bạn phải khác các lựa chọn còn lại
Câu hỏi: Đun nóng 27 gam glucozơ với AgNO3/NH3 dư. Lọc lấy Ag rồi cho vào dung dịch HNO3 đặc nóng, dư thì sau phản ứng thu được khí NO2 (sản phẩm khử duy nhất) và khối lượng dung dịch axit tăng a gam. Giả sử các phản ứng xảy ra hoàn toàn. Giá trị của a là
Lựa chọn: 
A: 18,6
B: 32,4
C: 16,2
D: []
Hãy đưa ra câu trả lời chỉ chứa duy nhất nội dung của phần lựa chọn được yêu cầu.
","9,3",D,A
"Hãy điền vào trong dấu [] tại lựa chọn B dựa vào kiến thức của bạn.
Hãy nhớ một luật quan trọng rằng: câu trả lời của bạn phải khác các lựa chọn còn lại
Câu hỏi: Ảnh của một vật tạo bởi gương cầu lồi là:
Lựa chọn: 
A: Ảnh ảo nhỏ hơn vật
B: []
C: Ảnh thật nhỏ hơn vật
D: Ảnh thật lớn hơn vật
Hãy đưa ra câu trả lời chỉ chứa duy nhất nội dung của phần lựa chọn được yêu cầu.
",Ảnh ảo lớn hơn vật,B,A
"Hãy điền vào trong dấu [] tại lựa chọn A dựa vào kiến thức của bạn.
Hãy nhớ một luật quan trọng rằng: câu trả lời của bạn phải khác các lựa chọn còn lại
Câu hỏi: Sống ngay thẳng, thật thà và dám dũng cảm nhận lỗi khi mình mắc khuyết điểm nói về đức tính nào ?
Lựa chọn: 
A: []
B: Đức tính khiêm tốn.
C: Đức tính tiết kiệm.
D: Đức tính trung thực.
Hãy đưa ra câu trả lời chỉ chứa duy nhất nội dung của phần lựa chọn được yêu cầu.
",Đức tính thật thà.,A,D
"Hãy điền vào trong dấu [] tại lựa chọn B dựa vào kiến thức của bạn.
Hãy nhớ một luật quan trọng rằng: câu trả lời của bạn phải khác các lựa chọn còn lại
Câu hỏi: Phát biểu nào sau đây sai?
Lựa chọn: 
A: Tính chất của các nguyên tố và hợp chất của nó biến thiên theo chiều tăng dần của điện tích hạt nhân một cách tuần hoàn
B: []
C: Tính chất của các nguyên tố và hợp chất của nó biến thiên theo chiều giảm dần của khối lượng một cách tuần hoàn
D: Có thể dự đoán được tính chất hóa học của các nguyên tố dựa vào cấu hình electron của nó trong bảng tuần hoàn.
Hãy đưa ra câu trả lời chỉ chứa duy nhất nội dung của phần lựa chọn được yêu cầu.
",Có thể dự đoán được tính chất hóa học của các nguyên tố dựa vào vị trí của nó trong bảng tuần hoàn,B,C
"Hãy điền vào trong dấu [] tại lựa chọn B dựa vào kiến thức của bạn.
Hãy nhớ một luật quan trọng rằng: câu trả lời của bạn phải khác các lựa chọn còn lại
Câu hỏi: Tính giá trị của biểu thức $A = 8x^{3} +12x^{2}y + 6xy^{2} + y^{3}$ tại x =  2 và y = -1.
Lựa chọn: 
A: 1
B: []
C: 27
D: -1
Hãy đưa ra câu trả lời chỉ chứa duy nhất nội dung của phần lựa chọn được yêu cầu.
",8,B,C
"Hãy điền vào trong dấu [] tại lựa chọn C dựa vào kiến thức của bạn.
Hãy nhớ một luật quan trọng rằng: câu trả lời của bạn phải khác các lựa chọn còn lại
Câu hỏi: Để Ban giám đốc nắm được tình hình sản xuất, các phân xưởng hàng tháng phải viết và gửi lên Ban giám đốc loại văn bản nào?
Lựa chọn: 
A: Thông báo
B: Tường trình 
C: []
D: Báo cáo
Hãy đưa ra câu trả lời chỉ chứa duy nhất nội dung của phần lựa chọn được yêu cầu.
",Kiến nghị,C,D
"Hãy điền vào trong dấu [] tại lựa chọn A dựa vào kiến thức của bạn.
Hãy nhớ một luật quan trọng rằng: câu trả lời của bạn phải khác các lựa chọn còn lại
Câu hỏi: Thông tin di truyền trong ADN được biểu hiện thành tính trạng trong đời cá thể nhờ cơ chế
Lựa chọn: 
A: []
B: phiên mã và dịch mã
C: nhân đôi ADN và phiên mã
D: nhân đôi ADN, phiên mã và dịch mã
Hãy đưa ra câu trả lời chỉ chứa duy nhất nội dung của phần lựa chọn được yêu cầu.
",nhân đôi ADN và dịch mã,A,B
"Hãy điền vào trong dấu [] tại lựa chọn A dựa vào kiến thức của bạn.
Hãy nhớ một luật quan trọng rằng: câu trả lời của bạn phải khác các lựa chọn còn lại
Câu hỏi: Nơi sinh sống của các sinh vật kí sinh, cộng sinh là
Lựa chọn: 
A: []
B: môi trường đất
C: môi trường sinh vật
D: Môi trường nước
Hãy đưa ra câu trả lời chỉ chứa duy nhất nội dung của phần lựa chọn được yêu cầu.
",môi trường không khí,A,C
"Hãy điền vào trong dấu [] tại lựa chọn C dựa vào kiến thức của bạn.
Hãy nhớ một luật quan trọng rằng: câu trả lời của bạn phải khác các lựa chọn còn lại
Câu hỏi: Nét nổi bật của tình hình nghĩa quân Lam Sơn trong giai đoạn 1918 - 1923 là?
Lựa chọn: 
A: liên tục bị quân Minh vây hãm và phải rút lui
B: tổ chức các trận quyết chiến chiến lược nhưng không thành công
C: []
D: tiến quân ra Bắc và giành nhiều thắng lợi
Hãy đưa ra câu trả lời chỉ chứa duy nhất nội dung của phần lựa chọn được yêu cầu.
",mở rộng địa bàn hoạt động vào phía Nam,C,A
"Hãy điền vào trong dấu [] tại lựa chọn D dựa vào kiến thức của bạn.
Hãy nhớ một luật quan trọng rằng: câu trả lời của bạn phải khác các lựa chọn còn lại
Câu hỏi: Cho hỗn hợp gồm Fe, Cu vào dung dịch HNO3 loãng, sau phản ứng hoàn toàn thu được khí NO (sản phẩm khử duy nhất), dung dịch A và còn lại chất rắn không tan B. Cho B vào dung dịch H2SO4 loãng dư thì thấy có khí thoát ra. Trong dung dịch A chứa
Lựa chọn: 
A: Fe(NO3)2 và HNO3
B: Fe(NO3)2
C: Fe(NO3)3 và Cu(NO3)2
D: []
Hãy đưa ra câu trả lời chỉ chứa duy nhất nội dung của phần lựa chọn được yêu cầu.
",Fe(NO3)2 và Cu(NO3)2,D,B
"Hãy điền vào trong dấu [] tại lựa chọn A dựa vào kiến thức của bạn.
Hãy nhớ một luật quan trọng rằng: câu trả lời của bạn phải khác các lựa chọn còn lại
Câu hỏi: Những nước phát triển mạnh ngành vận tải đường sông hồ là
Lựa chọn: 
A: []
B: Hoa Kì, Ca-na-đa và Nga
C: Các nước ở vùng khí hậu lạnh có hiện tượng băng hà nên có nhiều hồ
D: Các nước Châu Á và Châu Phi có nhiều sông lớn
Hãy đưa ra câu trả lời chỉ chứa duy nhất nội dung của phần lựa chọn được yêu cầu.
",Những nước ở Châu Âu nhờ vào hệ thống sông Đa-nuýp và Rai-nơ,A,B
"Hãy điền vào trong dấu [] tại lựa chọn A dựa vào kiến thức của bạn.
Hãy nhớ một luật quan trọng rằng: câu trả lời của bạn phải khác các lựa chọn còn lại
Câu hỏi: Cách tính thời gian theo sự di chuyển của Mặt Trời gọi là
Lựa chọn: 
A: []
B: Nông lịch
C: Dương lịch
D: Phật lịch
Hãy đưa ra câu trả lời chỉ chứa duy nhất nội dung của phần lựa chọn được yêu cầu.
",Âm lịch,A,C
