Question,A,B,C,D,Answer,Grade,retained
Mở đầu cho truyện ngắn với hình ảnh Chí Phèo “vừa đi vừa chửi” thật hài hước và lôi cuốn độc giả đã thể hiện điều gì trong ngòi bút Nam Cao ?,Nam Cao mô tả thật đúng hình ảnh những gã say rượu thường không tự chủ được bản thân.,"Làm người đọc hả hê vì Chí Phèo đă chửi tất tần tật, là một dự báo trừng phạt bọn cường hào ác bá ở làng Vũ Đại.",Hấp dẫn người đọc vì Chí Phèo đã nhận thức được nguyên nhân cuộc đời mình tha hoá là do bọn cường hào ác bá làng xã.,"Tạo cái bề ngoài hài hước của Chí Phèo lại là biểu hiện của một tấn bi kịch bên trong. Nụ cười bất giác ban đầu lại lắng đọng một dự vị buồn đau, chua chát trong lòng độc giả.",D,Ngữ văn 11,True
Mở đầu là hình ảnh chiếc lò gạch cũ và kết thúc cũng như thế. Điều đó có ý nghĩa gì?,Tác giả muốn giới thiệu với độc giả việc làm quanh năm của nông dân làng Vũ Đại là sản xuất gạch.,"Hình ảnh lò gạch bỏ hoang, khiến người đọc hiểu đó là nghề truyền thống của làng Vũ Đại đã mai một.","Nó gợi lên cái vòng luẩn quẩn, bế tắc, đau thương không lối thoát của người nông dân Việt Nam trong xã hội cũ.",Đời sống nông dân làng Vũ Đại hoang tàn như cái lò gạch cũ.,C,Ngữ văn 11,True
Câu nào sau đây là nhận định đúng về bài thơ “Nhớ đồng” của Tố Hữu?,"Là những dòng tâm tư nồng nhiệt, tha thiết, trong trẻo của nhà thơ trẻ hướng về ruộng đồng, quê hương, về những con người thân yêu, về những kỉ niệm của một thời hoạt động cách mạng sôi nổi.",Nỗi nhớ thương mẹ già còng lưng trên những cánh đồng,Là nỗi hoang mang của chàng trai trẻ lần đầu bị giam cầm.,Là nỗi lòng tha thiết nhớ về người yêu - là một cô thôn nữ.,A,Ngữ văn 11,True
Tâm trạng của tác giả trong bài thơ “Nhớ đồng” là gì?,"Bâng khuâng, bồn chồn trước cảnh lao tù.","Buồn và nhớ quê hương, đồng bào da diết.","Vui tươi, phấn khởi khi nhớ lại những kỉ niệm xưa.","Luyến tiếc, nhớ nhung cuộc sống tự do.",B,Ngữ văn 11,True
Nhân vật Tràng được miêu tả với tính cách như thế nào?,"Hiền lành, vui tính, hay vui đùa với mấy đứa trẻ trong xóm",Lầm lì ít nói,"Khuôn mặt dữ dằn, bặm trợn, hay cáu kỉnh",Tất cả các phương án trên đều đúng,A,Ngữ văn 11,True
"Đoạn thơ từ câu “Đâu những ngày xưa, tôi nhớ tôi” đến “Như cảnh chim buồn nhớ gió mây” thể hiện điều gì?","Niềm say mê lí tưởng, khát khao tự do và hành động của tác giả.",Sự tái hiện hình ảnh con người quê hương trong tâm hồn tác giả.,Hồi ức của tác giả về những hình ảnh gắn liền với quê hương.,Sự nhớ nhung người bạn mà tác giả đề tặng bài thơ.,A,Ngữ văn 11,True
"Nguyên nhân nào đã đẩy Chí Phèo từ một thanh niên hiền lành, lương thiện phải vào tù?",Vì đánh bạc.,Vì ăn trộm đồ nhà Bá Kiến.,Vì giết người trong làng.,Vì bị Bá Kiến ghen tuông,D,Ngữ văn 11,True
Đâu không là sáng tác tiêu biểu của Tố Hữu,Từ ấy,Ra trận,Việt Bắc,Chiều tối,D,Ngữ văn 11,True
Cảm hứng của bài thơ “Nhớ đồng” được hình thành từ:,Những âm thanh hết sức bình dị của cuộc sống.,Những kỉ niệm từ ngày tác giả còn hoạt động cách mạng.,Tiếng chim tu hú gọi hè nơi tác giả bị giam cầm.,"Tiếng hò vọng vào nhà tù, nơi tác giả bị giam cầm.",D,Ngữ văn 11,True
Tính cách của nhân vật bá Kiến nói một cách khái quát nhất là:,"Con người xảo quyệt, độc ác, háo sắc.","Con người lọc lõi, hiểm ác, gian hùng","Thâm độc, tham tàn, gian xảo.","Lọc lõi, háo lợi, háo danh.",B,Ngữ văn 11,True
Công việc của Tràng là gì?,Nông dân,Kéo xe bò thuê,Cày thuê,Xay lúa thuê,B,Ngữ văn 11,True
"Cái cảm giác trống trải, xa vắng của không gian ""tràng giang"" trong khổ thơ thứ ba bài “Tràng giang” của Huy Cận, chủ yếu được tô đậm bởi yếu tố nghệ thuật nào?",Điệp cú pháp và từ phủ định.,Ẩn dụ.,"Âm hưởng, nhạc điệu.",Cảnh ngụ tình.,A,Ngữ văn 11,True
"Kết thúc truyện ngắn ""Vợ nhặt"" là hình ảnh nào?",Đàn quạ lượn thành từng đàn như những đám mây đen trên bầu trời,Hình ảnh đoàn người đói và lá cờ đỏ sao vàng bay phấp phới,Tiếng trống thuế dồn dập,Tiếng hờ khóc của những gia đình có người chết đói,B,Ngữ văn 11,True
Đáp án nào không đúng khi nói về vẻ đẹp tâm hồn của nhân vật Tràng?,"Thuần hậu, hiền lành, chất phác","Tâm hồn lạc quan, yêu đời",Sức sống tiềm tàng và sức phản kháng mãnh liệt,Tấm lòng nhân hậu,D,Ngữ văn 11,True
"Khi giải thích ""Cầu hôn: xin được lấy làm vợ"" là đã giải thích nghĩa của từ bằng cách nào?",Dùng từ đồng nghĩa với từ cần được giải thích.,Trình bày khái niệm mà từ biểu thị.,Kết hợp giữa dùng từ đồng nghĩa với trình bày khái niệm mà từ biểu thị.,Dùng từ trái nghĩa với từ được giải thích.,B,Ngữ văn 11,True
Đoạn trích Trao duyên thể hiện tài năng nghệ thuật xuất sắc của Nguyễn Du trong:,việc tạo tình huống.,việc vận dụng các thành ngữ.,việc miêu tả nội tâm nhân vật.,việc xây dựng đối thoại.,C,Ngữ văn 11,True
Thành công quan trọng và đặc sắc nhất về nghệ thuật của Nguyễn Du trong đoạn trích này là gì ?,Miêu tả tâm lí nhân vật,"Lựa chọn, sử dụng từ ngữ, hình ảnh","Dựng đối thoại, độc thoại",Tạo tình huống đầy mâu thuẫn,A,Ngữ văn 11,True
Dòng nào sau đây xác định không đúng vị trí của việc Thúy Kiều trao duyên cho Thúy Vân ?,Sau việc bọn sai nha ập tới bắt cha và em trai Kiều,Sau khi Kiều bán mình chuộc cha,Trước đêm Kim Trọng và Thúy Kiều thề nguyện,Sau khi Kim Trọng phải đi hộ tang chú ở Liêu Dương,C,Ngữ văn 11,True
"Hành động ""trao duyên"" trong đoạn trích Trao duyên của Nguyễn Du thể hiện rõ nhất phẩm chất nào ở nhân vật Thúy Kiều?",Tấm lòng hiếu thảo.,Sự sâu sắc.,Lòng vị tha.,Sự bao dung.,C,Ngữ văn 11,True
"Khi trao duyên, việc Kiều dùng nhiều từ ngữ nhắc đến cái chết có ý nghĩa gì?","Kiều dự cảm nàng về cuộc đời phía trước, sự tuyệt vọng đau khổ đến cùng cực.",Kiều nói thế để ép Vân phải nhận lời.,Kiều muốn làm cho sự việc thêm nghiêm trọng.,Kiều đang trong tâm trạng rối bời,A,Ngữ văn 11,True
Truyện Kiều là tên gọi do ai đặt?,Thanh Tâm tài nhân,Nguyễn Du,Người dân,Không rõ,C,Ngữ văn 11,True
Đặc sắc nhất về mặt nghệ thuật của Truyện Kiều là gì?,Ngôn ngữ văn học dân tộc và thể thơ lục bát đã đạt đến đỉnh cao rực rỡ,"Được dịch ra nhiều thứ tiếng, được giới thiệu ở nhiều nơi trên thế giới",Nghệ thuật tự sự có bước phát triển vượt bậc,Cách khắc họa tính cách con người độc đáo,A,Ngữ văn 11,True
Cách giải thích thế nào về nghĩa của từ không đúng?,Đọc nhiều lần là từ cần được giải thích,Trình bày khái niệm mà từ biểu thị,Dùng từ đồng nghĩa để giải thích,Dùng từ trái nghĩa để giải thích,A,Ngữ văn 11,True
Việc trao duyên của Thúy Kiều cho Thúy Vân diễn ra khi nào?,Trước khi Kiều thu xếp việc bán mình.,Sau khi Kiều đã thu xếp việc bán mình.,Trước khi Kiều từ biệt gia đình theo Mã Giám Sinh.,Khi nghe được tin gia đình gặp biến cố.,A,Ngữ văn 11,True
Men đen đã tiến hành trên đối tượng nào để thực hiện các thí nghiệm của mình?,Cây cà chua.,Ruồi giấm.,Cây Đậu Hà Lan.,Trên nhiều loài côn trùng.,C,Sinh 9,True
Các thể đột biến nào sau đây ở người là hậu quả của đột biến dị bội dạng 2n - 1:,Đao,Tớcnơ.,Câm điếc bẩm sinh.,Bạch tạng.,B,Sinh 9,True
Phương pháp cơ bản trong nghiên cứu Di truyền học của Menđen là gì?,Dùng toán thống kê để tính toán kết quả thu được,Thí nghiệm trên cây đậu Hà Lan có hoa lưỡng tính.,Phương pháp phân tích các thế hệ lai.,Theo dõi sự di truyền của các cặp tính trạng.,C,Sinh 9,True
"Ở nhóm sinh vật nào dưới đây con đực mang cặp NST giới tính XY, còn con cái mang cặp NST giới tính XX ?","Truyền đạt các tính trạng của bố mẹ, tổ tiên cho các thế hệ con cháu.",Con cái giống bố hoặc mẹ về tất cả các tính trạng.,Con cái giống bố và mẹ về một số tính trạng.,Truyền đạt các tính trạng của bố mẹ cho con cháu.,A,Sinh 9,True
Di truyền là hiện tượng,9.,18.,72.,36.,D,Sinh 9,True
Sự di truyền bệnh máu khó đông có liên quan tới giới tính hay không ?,Vì bố mẹ mang kiểu gen dị hợp Aa.,Vì ông nội bị câm điếc bẩm sinh di truyền cho cháu.,Vì ông ngoại bị câm điếc bẩm sinh di truyền cho cháu.,Do các tác nhân gây đột biến.,A,Sinh 9,True
Ở cải bắp có bộ nhiễm sắc thể 2n = 18. Hỏi ở kì sau của nguyên phân số lượng nhiễm sắc thể trong tế bào là bao nhiêu?,Màng tế bào.,Chất tế bào.,Nhân tế bào.,Ribôxôm.,C,Sinh 9,True
Quá trình tự nhân đôi của phân tử ADN xảy ra ở đâu trong tế bào? (mức 1),"Có nhiều tính trạng đối lập, đơn gen, dễ quan sát.","Dễ nuôi trong môi trường tự nhiên, đơn gen.","Thời gian sinh trưởng và phát triển dài, dễ tạo biến dị nên dễ theo dõi.","Dễ nuôi trong ống nghiệm, đẻ nhiều, vòng đời ngắn, có nhiều biến dị dễ quan sát, số lượng NST ít.",D,Sinh 9,True
Ruồi giấm có những đặc điểm nào thuận lợi cho việc nghiên cứu di truyền?,Các nhiễm sắc thể kép nằm gọn trong 2 nhân mới được tạo thành với số lượng là bộ nhiễm sắc thể đơn bội kép.,Các nhiễm sắc thể đơn nằm gọn trong nhân mới được tạo thành với số lượng là bộ nhiễm sắc thể đơn bội.,Các nhiễm sắc thể đơn tháo xoắn trở về dạng sợi mảnh.,Các nhiễm sắc thể kép tháo xoắn trở về dạng sợi mảnh,A,Sinh 9,True
Môt gen đã tổng hợp được 4 phân tử mARN. Nếu có 4 ribôxôm trượt qua hết các phân tử mARN trên thì có bao nhiêu phân tử prôtêin được hình thành?,Lai các cặp bố mẹ khác nhau về một hoặc một số cặp tính trạng thuần chủng tương phản.,Theo dõi sự di truyền riêng rẽ của từng cặp tính trạng qua các thế hệ lai.,Theo dõi sự di truyền toàn bộ các cặp tính trạng trên con cháu của từng cặp bố mẹ.,"Dùng toán thống kê phân tích các số liệu thu được, từ đó rút ra quy luật di truyền các tính trạng.",C,Sinh 9,True
Điều nào đúng khi nói về cấu tạo của phân tử ARN là:,2.,4.,8.,16.,B,Sinh 9,True
Sự phân li của cặp nhân tố di truyền Aa ở F1 tạo ra:,mARN.,tARN.,rARN.,"mARN, tARN và rARN.",D,Sinh 9,True
Quá trình hình thành chuỗi axít amin có sự tham gia của loại ARN nào?,1 tinh bào và 1 trứng.,1 tinh trùng và 1 noãn bào.,1 tinh trùng và 1 trứng.,1 tinh trùng và 1 thể cực.,C,Sinh 9,True
Đột biến là gì?,Kì đầu.,Kì cuối.,Kì giữa.,Kì sau.,C,Sinh 9,True
"Vai trò của việc trồng cây gây rừng trên vùng đất trọc, đất trống là:","Hạn chế xói mòn, lũ lụt, cải tạo khí hậu.",Cho ta nhiều gỗ.,Phủ xanh vùng đất trống.,Bảo vệ các loài động vật.,A,Sinh 9,True
Phát biểu nào sau đây là không đúng với tháp tuổi dạng phát triển?,Đáy tháp rộng.,số lượng cá thể trong quần thể ổn định.,Số lượng cá thể trong quần thể tăng mạnh.,Tỉ lệ sinh cao,B,Sinh 9,True
Hệ sinh thái dưới đây không phải là hệ sinh thái trên cạn?,Rừng lá rộng rụng lá theo mùa vùng ôn đới.,Rừng ngập mặn.,Vùng thảo nguyên hoang mạc.,Rừng mưa nhiệt đới.,B,Sinh 9,True
Chỉ số thể hiện mật độ cá thể của từng loài trong quần xã là:,Độ đa dạng,Độ nhiều,Độ thường gặp.,Độ tập trung,B,Sinh 9,True
Hoạt động nào sau đây của con người không ảnh hưởng đến môi trường?,Hái lượm.,Săn bắn quá mức.,Chiến tranh.,"Hái lượm, săn bắn, chiến tranh.",A,Sinh 9,True
"Xây dựng nhiều công viên, trồng cây xanh để:",Hạn chế bụi.,Điều hoà khí hậu.,Xử lí chất thải nông nghiệp.,"Hạn chế bụi, điều hoà khí hậu.",D,Sinh 9,True
"Với các cây xanh sống ở vùng nhiệt đới, chồi cây có các vảy mỏng bao bọc, thân và rễ cây có các lớp bần dày. Những đặc điểm này có tác dụng gì?",Hạn chế sự thoát hơi nước khi nhiệt độ không khí cao.,Tạo ra lớp cách nhiệt bảo vệ cây.,Hạn chế ảnh hưởng có hại của tia cực tím với các tế bào lá.,Giảm diện tích tiếp xúc với không khí lạnh,B,Sinh 9,True
Công nghệ sinh học đóng vai trò quan trọng như thế nào trong việc bảo vệ tài nguyên sinh vật:,Bảo tồn nguồn gen quý hiếm.,Tạo ra nhiều giống mới.,Lưu giữ và nhân nhanh nhiều giống quý hiếm.,Đáp ứng được nhu cầu ngày càng cao của con người.,C,Sinh 9,True
Vai trò của hệ sinh thái biển đối với đời sống con người?,Các loài động - thực vật biển là nguồn thức ăn của con người.,Biển giúp con người vận chuyển hàng hóa.,Biển cho con người muối ăn.,"Biển cung cấp thức ăn, phát triển kinh tế, giao lưu vận chuyển, điều hòa nhiệt độ trên trái đất.",D,Sinh 9,True
Giống dâu tam bội (3n) được tạo ra từ giống dâu tứ bội (4n) với giống dâu lưỡng bội (2n) nhờ phương pháp:,Gây đột biến nhân tạo.,Tạo giống đa bội thể.,Lai hữu tính và xử lí đột biến.,Tạo giống ưu thế lai.,B,Sinh 9,True
Dựa vào yếu tố nào sau đây để xếp đất vào nguồn tài nguyên tái sinh:,Trong đất chứa nhiều khoáng sản kim loại.,"Đất thường xuyên được bồi đắp bởi phù sa, được tăng độ mùn từ xác động thực vật.",Trong đất có nhiều than đá.,"Nhiều quặng dầu mỏ, khí đốt trong lòng đất.",B,Sinh 9,True
Những cây sống ở nơi khô hạn thường có những đặc điểm thích nghi nào?,"Lá biến thành gai, lá có phiến mỏng.",Lá và thân cây tiêu giảm.,"Cơ thể mọng nước, bản lá rộng",Hoặc cơ thể mọng nước hoặc lá tiêu giảm hoặc lá biến thành gai.,D,Sinh 9,True
Thành phần vô sinh của hệ sinh thái bao gồm những yếu tố nào sau đây:,"Các chất vô cơ: nước, khí cacbonic, khí oxi...., các loài vi rút, vi khuẩn...","Các chất mùn, bã, các loài rêu, địa y.","Các nhân tố khí hậu như: nhiệt độ, ánh sáng, độ ẩm...các loại nấm, mốc.","Nước, khí cacbonic, khí oxi, nhiệt độ, ánh sáng, độ ẩm.",D,Sinh 9,True
"Nếu ánh sáng tác động vào cây xanh từ một phía nhất định, sau một thời gian cây mọc như thế nào?",Cây vẫn mọc thẳng.,Cây luôn quay về phía mặt trời.,Ngọn cây sẽ mọc cong về phía có nguồn sáng.,Ngọn cây rũ xuống.,C,Sinh 9,True
Phép lai nào dưới đây gọi là lai kinh tế?,Lai ngô Việt Nam với ngô Mêhicô.,Lai lúa Việt Nam với lúa Trung Quốc.,Lai cà chua hồng Việt Nam với cà chua Ba Lan trắng.,Lai bò vàng Thanh Hóa với bò Hôn sten Hà Lan.,D,Sinh 9,True
Trong khi Trái Đất tự quay quanh trục những địa điểm nào sau đây không thay đổi vị trí?,Hai cực.,Hai chí tuyến.,Xích đạo.,Vòng cực.,C,Địa lý 6,True
"Theo em trong các hệ quả của chuyển động tự quay quanh trục, có ý nghĩa nhất đối với sự sống là hệ quả",Sự luân phiên ngày đêm,Giờ trên Trái Đất.,Sự lệch hướng chuyển động của các vật thể.,Hiện tượng mùa trong năm.,A,Địa lý 6,True
Theo em Nga là quốc gia có nhiều múi giờ đi qua lãnh thổ là do:,Lãnh thổ hẹp ngang.,Lãnh thổi kéo dài theo chiều kinh tuyến.,Lãnh thổ kéo dài theo chiều vĩ tuyến.,Lãnh thổ thuộc châu Á và châu Âu.,C,Địa lý 6,True
"Trong các hệ quả của chuyển động tự quay quanh trục, có ý nghĩa nhất đối với sự sống là hệ quả nào sau đây?",Hiện tượng mùa trong năm.,Sự lệch hướng chuyển động.,Giờ trên Trái Đất.,Sự luân phiên ngày đêm.,D,Địa lý 6,True
Hành tinh đứng đầu tiên trong Hệ Mặt Trời là,Giúp con người có thể sắp xếp thời gian làm việc.,Ý nghĩa đối với sự sống của con người trên Trái Đất.,"Tạo ra các mùa trong năm, ngày đêm dài ngắn theo mùa.",Mang lại các nguồn tài nguyên thiên nhiên phong phú.,B,Địa lý 6,True
Theo em sự luân phiên ngày đêm trên Trái Đất là hệ quả có ý nghĩa nào dưới đây?,6307km,510 triệu km,6370km,40070km,C,Địa lý 6,True
Dựa vào hướng Mặt Trời lặn xác định được hướng nào sau đây?,Trục Trái đất nghiêng,Trái đất quay từ Tây sang Đông,Ngày đêm kế tiếp nhau,Trái đất quay từ Đông sang Tây,B,Địa lý 6,True
"Theo anh chị trên Trái Đất, giờ khu vực phía đông bao giờ cũng sớm hơn giờ khu vực phía tây là do:",Hướng Nam,Hướng Tây,Hướng Bắc,Hướng Tây Nam,D,Địa lý 6,True
"Theo anh chị máy bay đi từ Hà nội đến Băng Cốc (Thái Lan), bay theo hướng nào sau đây?",Chọn ví trí bắt đầu và kết thúc trên lược đồ trí nhớ,Tính khoảng cách giữa hai điểm khởi đầu và kết thúc của lược đồ.,"Hồi tưởng lại không gian cần vẽ với các sự vật, hiện tượng cụ thể.",Đáp án khác,C,Địa lý 6,True
Trước khi vẽ lược đồ trí nhớ thì cần làm gì?,Tây.,Nam.,Đông.,Bắc.,D,Địa lý 6,True
Dựa vào hướng Mặt Trời mọc xác định được hướng nào sau đây?,Lược đồ chí nhớ là những thông tin không gian về thế giới được giữ lại trong trí óc con người.,Lược đồ chí nhớ của một người phản ánh sự cảm nhận của người đó về không gian sống và ý nghĩa của không gian ấy đối với cá nhân.,"Lược đồ chí nhớ được đặc trưng bởi sự đánh dấu các địa điểm mà một người đã từng gặp, từng đến","Cả A, B và C",D,Địa lý 6,True
"Theo thuyết kiến tạo mảng, khi hai địa mảng xô vào nhau thì ở chỗ tiếp xúc của chúng thường hình thành",sơ đồ trí nhớ.,lược đồ trí nhớ.,bản đồ trí nhớ.,bản đồ không gian.,B,Địa lý 6,True
Lõi Trái Đất có độ dày bao nhiêu?,"mạng lưới kinh, vĩ tuyến thể hiện trên bản đồ.",hình dáng lãnh thổ thể hiện trên bản đồ.,vị trí địa lí của lãnh thổ thể hiện trên bản đồ.,bảng chú giải.,A,Địa lý 6,True
Theo em trên bản đồ nếu khoảng cách giữa các đường đồng mức cách xa nhau thì địa hình nơi đó?,Làm địa hình mặt đất gồ ghề.,Phá huỷ địa hình bề mặt đất.,Tạo ra các dạng địa hình mới.,Tạo ra các dạng địa hình nhỏ.,C,Địa lý 6,True
Tỉ lệ bản đồ 1 : 6.000.000 có nghĩa là,sự phân hủy của các chất phóng xạ.,năng lượng từ các vụ thử hạt nhân.,năng lượng các phản ứng hóa học.,sự chuyển dịch của các dòng vật.,B,Địa lý 6,True
Nguồn năng lượng chủ yếu sinh ra nội lực không phải là,1km,10km,100km,10cm,A,Địa lý 6,True
"Các vận động kiến tạo, các hoạt động động đất, núi lửa,… là biểu hiện của",nhỏ.,trung bình.,lớn.,rất lớn.,A,Địa lý 6,True
Bản đồ có tỉ lệ nhỏ hơn 1 : 1 000.000 là những bản đồ có tỉ lệ,Khí hậu ấm áp,Nhiều hồ nước,Đất đai màu mỡ.,Giàu thủy sản.,C,Địa lý 6,True
Quanh các vùng núi lửa đã tắt dân cư thường tập trung đông đúc vì?,Kinh tuyến và vĩ tuyến là những đường thẳng song song và vuông góc với nhau.,"Kinh tuyến là những đường thẳng song song, còn vĩ tuyến là những đường cong.","Kinh tuyến, vĩ tuyến gốc là đường thẳng; các kinh, vĩ tuyến còn lại là đường cong.",Kinh tuyến là những đường cong chụm ở cực và vĩ tuyến là những đường thẳng.,A,Địa lý 6,True
"Nhận định nào sau đây đúng về mạng lưới kinh, vĩ tuyến của bản đồ?",mực nước giếng thay đổi.,cây cối nghiêng hướng Tây.,động vật tìm chỗ trú ẩn.,mặt nước có nổi bong bóng.,B,Địa lý 6,True
Dấu hiệu trước khi động đất xảy ra không phải là,cách vẽ của từng tác giả.,có kinh vĩ tuyến khác nhau.,mặt phẳng giấy khác nhau.,các phép chiếu khác nhau.,D,Địa lý 6,True
Với cùng một vị trí Địa Lí trên Trái Đất nhưng lại có các bản đồ khác nhau là do,Sườn dốc.,Đỉnh cao nhọn.,Đỉnh tròn.,Thung lũng sâu.,C,Địa lý 6,True
Núi trẻ không có đặc điểm nào sau đây?,ít sai số về hình dạng.,sự biến dạng càng rõ rệt.,không có sự biến dạng.,biến dạng không đáng kể.,D,Địa lý 6,True
"Theo anh chị khu vựccàng xa trung tâm bản đồ, thì:",lược đồ thể hiện đường đi,lược đồ thể hiện khu vực nào đó,"lược đồ thể hiện đặc điểm địa hình (độ cao, độ dốc,...) của một khu vực có diện tích nhỏ bằng các đường đồng mức và màu sắc.",Đáp án khác,C,Địa lý 6,True
Lược đồ địa hình tỉ lệ lớn là:,361.,180.,360.,181.,C,Địa lý 6,True
Nếu cách 10 ở tâm thì trên bề mặt của quả Địa Cầu sẽ có bao nhiêu kinh tuyến?,Đường ranh giới,Đường đồng mức,Đỉnh núi,Cả 3 đáp án trên,B,Địa lý 6,True
Khi đọc lược đồ địa hình tỉ lệ lớn người ta căn cứ vào đâu để tính độ cao của các địa điểm?,Kinh tuyến là nửa đường thẳng nối hai cực trên bề mặt quả Địa Cầu,Kinh tuyến là một đường tròn nối hai cực trên bề mặt quả Địa Cầu,Kinh tuyến là nửa đường tròn nối hai cực trên bề mặt quả Địa Cầu,Đáp án khác,C,Địa lý 6,True
