Question,First_half,Label
"Giả định lãi suất là 8%. Nếu phải lựa chọn giữa 100$  [MASKED]
A: 100$ ngày hôm nay 
B: 116$ ngày này 2 năm sau
C: Không có gì khác biệt giữa hai phương án trên 
D: Không chọn phương án nào
",Giả định lãi suất là 8%. Nếu phải lựa chọn giữa 100$ ,"ngày hôm nay và 116$ ngày này hai năm sau, bạn sẽ chọn:"
"Khoản mục nào sau đây không được tính  [MASKED]
A: Một chiếc xe Honda sản xuất năm 1989 ở Tennessee 
B: Dịch vụ cắt tóc
C: Dịch vụ của nhà môi giới bất động sản 
D: nan
",Khoản mục nào sau đây không được tính ,vào GDP của năm 1989? Doanh thu của:
"Nếu một người thợ giày mua một miếng da trị giá 100$, một cuộn chỉ trị giá 50$, và sử dụng chúng  [MASKED]
A: 50$ 
B: 100$
C: 500$ 
D: nan
","Nếu một người thợ giày mua một miếng da trị giá 100$, một cuộn chỉ trị giá 50$, và sử dụng chúng ","để sản xuất và bán những đôi giày trị giá 500$ cho người tiêu dùng, giá trị đóng góp vào GDP là:"
"Nếu GDP lớn hơn  [MASKED]
A: Người nước ngoài đang sản xuất ở Việt Nam nhiều hơn so với người Việt Nam đang sản xuất ở nước ngoài 
B: Người VN đang sản xuất ở nước ngoài nhiều hơn so với người nước ngoài đang sản xuất ở VN
C: GDP thực tế lớn hơn GDP danh nghĩa 
D: nan
",Nếu GDP lớn hơn ,GNP của Việt Nam thì:
"Khoản chi tiêu 40.000$ mua một chiếc xe BMW được sản xuất  [MASKED]
A: Đầu tư tăng 40.000$ và xuất khẩu ròng tăng 40.000$ 
B: Tiêu dùng tăng 40.000$ và xuất khẩu ròng giảm 40.000$
C: Xuất khẩu ròng giảm 40.000$ 
D: nan
",Khoản chi tiêu 40.000$ mua một chiếc xe BMW được sản xuất ,tại Đức của bạn được tính vào GDP của Mỹ như thế nào:
"Lạm phát có thể được đo lường bằng  [MASKED]
A: Chỉ số điều chỉnh GDP 
B: Chỉ số giá tiêu dùng
C: Chỉ số giá sản xuất 
D: nan
",Lạm phát có thể được đo lường bằng ,tất cả các chỉ số sau đây trừ:
"CPI sẽ bị ảnh hưởng nhiều nhất bởi sự gia tăng  [MASKED]
A: Nhà ở 
B: Giao thông
C: Thực phẩm và đồ uống 
D: nan
",CPI sẽ bị ảnh hưởng nhiều nhất bởi sự gia tăng ,10% giá cả của mặt hàng tiêu dùng nào sau đây:
"“Giỏ hàng hóa” được sử  [MASKED]
A: Nguyên vật liệu thô được mua bởi các doanh nghiệp 
B: Tất cả các sản phẩm hiện hành
C: Các sản phẩm được mua bởi người tiêu dùng điển hình 
D: nan
",“Giỏ hàng hóa” được sử ,dụng để tính CPI bao gồm:
"Để thúc đẩy tăng trưởng, chính  [MASKED]
A: Thúc đẩy thương mại tự do 
B: Khuyến khích tiết kiệm và đầu tư
C: Kiểm soát sự gia tăng dân số 
D: nan
","Để thúc đẩy tăng trưởng, chính ",phủ không nên làm gì sau đây:
"Thước đo hợp lý đối với  [MASKED]
A: GDP thực bình quân đầu người 
B: GDP thực
C: GDP danh nghĩa bình quân đầu người 
D: nan
",Thước đo hợp lý đối với ,mức sống của một nước là:
"Nhiều nước Đông Á đang  [MASKED]
A: Họ có nguồn tài nguyên dồi dào 
B: Họ là các nước đế quốc và đã vơ vét được của cải từ chiến thắng trước đây trong chiến tranh
C: Họ đã dành một tỷ lệ rất lớn của GDP cho tiết kiệm và đầu tư 
D: nan
",Nhiều nước Đông Á đang ,tăng trưởng rất nhanh vì:
"Khi một nước có  [MASKED]
A: Nước này phải chịu số mệnh nghèo mãi mãi 
B: Nước này chắc hẳn là một nước nhỏ
C: Nước này có tiềm năng tăng trưởng tương đối nhanh nhờ “hiệu ứng bắt kịp” 
D: nan
",Khi một nước có ,GDP bình quân rất nhỏ:
"Nếu hai nước cùng khởi đầu với mức GDP bình quân đầu người như nhau,  [MASKED]
A: GDP bình quân của một nước sẽ luôn lớn hơn GDP bình quân của nước còn lại 2% 
B: Mức sống của nước có tốc độ tăng trưởng 4% sẽ tăng dần khoảng cách với mức sống của nước tăng trưởng chậm hơn do tăng trưởng kép
C: Mức sống của hai nước sẽ gặp nhau do quy luật lợi suất giảm dần đối với tư bản 
D: Năm sau, kinh tế của nước tăng trưởng 4% sẽ lớn gấp hai lần nước tăng trưởng 2%
","Nếu hai nước cùng khởi đầu với mức GDP bình quân đầu người như nhau, ",và một nước tăng trưởng với tốc độ 2%/năm còn một nước tăng trưởng 4%/năm
"Sự gia tăng nhân tố nào sau đây  [MASKED]
A: Vốn nhân lực/ công nhân 
B: Tư bản vật chất/ công nhân
C: Tài nguyên thiên nhiên/ công nhân 
D: nan
",Sự gia tăng nhân tố nào sau đây ,không làm tăng năng suất của một quốc gia
"Câu nhận định nào trong  [MASKED]
A: Các nước có thể có mức GDP bình quân khác nhau nhưng đều tăng trưởng với tỷ lệ như nhau 
B: Các nước có thể có tỷ lệ tăng trưởng khác nhau nhưng mức GDP bình quân của mỗi nước là như nhau
C: Các nước đều có tốc độ tăng trưởng và mức sản lượng như nhau vì mỗi nước đều có được các nhân tố sản xuất giống nhau 
D: Mức GDP bình quân cũng như tốc độ tăng trưởng của các nước có sự khác nhau lớn, và theo thời gian, các nước nghèo có thể trở nên giàu một cách tương đối
",Câu nhận định nào trong ,số các câu sau là đúng?
"Một giám đốc bị mất việc do công ty làm ăn thua lỗ. Ông ta nhận được khoản trợ cấp thôi việc 50 triệu đồng thay vì tiền lương 100 triệu Đ/năm trước đây. Vợ ông ta bắt đầu đi làm với mức  [MASKED]
A: 50 triệu Đ 
B: 65 triệu Đ
C: 75 triệu Đ 
D: nan
",Một giám đốc bị mất việc do công ty làm ăn thua lỗ. Ông ta nhận được khoản trợ cấp thôi việc 50 triệu đồng thay vì tiền lương 100 triệu Đ/năm trước đây. Vợ ông ta bắt đầu đi làm với mức ,"lương 10 triệu Đ/năm. Con gái ông ta vẫn làm công việc như cũ, nhưng tăng thêm khoản đóng góp cho bố mẹ 5 triệu Đ/Năm. Phần đóng góp của gia đình này vào tổng thu nhập quốc dân trong năm sẽ giảm đi:"
"Điều nào sau đây sẽ khiến cho CPI tăng  [MASKED]
A: Tăng giá xe đạp Thống Nhất 
B: Tăng giá xe tăng do Bộ Quốc Phòng mua
C: Tăng giá máy bay chiến đấu sản xuất trong nước và được bán cho Lào 
D: nan
",Điều nào sau đây sẽ khiến cho CPI tăng ,nhiều hơn so với chỉ số điều chỉnh GDP?
"Nếu CPI của năm 1995 là 136,5 và tỉ lệ lạm  [MASKED]
A: 135 
B: 125
C: 131,5 
D: nan
","Nếu CPI của năm 1995 là 136,5 và tỉ lệ lạm ",phát của năm 1995 là 5% thì CPI của năm 1994 là:
"Giả sử thu nhập của bạn tăng từ 19 triệu lên 31 triệu Đ. Trong  [MASKED]
A: Giảm 
B: Tăng
C: Không đổi 
D: Không thể kết luận vì không biết năm cơ sở
",Giả sử thu nhập của bạn tăng từ 19 triệu lên 31 triệu Đ. Trong ,giai đoạn đó CPI tăng từ 122 lên 169. Nhìn chung mức sống của bạn đã:
"Giả sử đầu tư hoàn toàn không  [MASKED]
A: Lãi suất không thể giảm bởi sự tác động của chính sách tài khoá và chính sách tiền tệ 
B: Nền kinh tế không thể bị tác động bởi chính sách tài khoá hoặc chính sách tiền tệ
C: Chính sách tài khoá sẽ rất hiệu quả trong việc kiểm soát tổng cầu 
D: Chính sách tài khoá hoàn toàn không có hiệu quả trong việc kiểm soát tổng cầu
",Giả sử đầu tư hoàn toàn không ,nhạy cảm với lãi suất khi đó:
"Khi mức giá giảm, đường  [MASKED]
A: Bên phải làm cho lãi suất giảm xuống 
B: Bên phải làm cho lãi suất tăng lên
C: Bên trái làm cho lãi suất tăng lên 
D: Bên trái làm cho lãi suất giảm xuống
","Khi mức giá giảm, đường ",cầu tiền sẽ chuyển dịch về
"Chính sách tài khoá và tiền  [MASKED]
A: Đường tổng cung dịch chuyển sang trái 
B: Đường tổng cầu dịch chuyển sang phải
C: Người tiêu dùng và doanh nghiệp chi tiêu ít hơn 
D: Sản lượng được sản xuất ra có xu hướng giảm
",Chính sách tài khoá và tiền ,tệ mở rộng sẽ làm cho:
"Giả sử chính phủ muốn kích thích đầu tư nhưng hầu như không  [MASKED]
A: Giảm chi tiêu của chính phủ kèm với chính sách tiền tệ mở rộng 
B: Giảm thuế đi kèm với chính sách tiền tệ thắt chặt
C: Trợ cấp cho đầu tư đi kèm với chính sách tiền tệ mở rộng 
D: Giảm thuế thu nhập đi kèm với chính sách tài khoá mở rộng
",Giả sử chính phủ muốn kích thích đầu tư nhưng hầu như không ,"thay đổi thu nhập, theo bạn chính phủ cần sử dụng chính sách nào?"
"Một lý do làm cho đường  [MASKED]
A: Nhu cầu của các tác nhân trong nền kinh tế tăng khi mặt bằng giá cả tăng 
B: Các doanh nghiệp sẽ bán được nhiều sản phẩm hơn khi giá cả tăng
C: Lợi nhuận của các doanh nghiệp tăng thúc đẩy các doanh nghiệp sản xuất nhiều hơn 
D: Các hãng kinh doanh sẽ có xu hướng tăng sản lượng khi giá cả tăng
",Một lý do làm cho đường ,tổng cung có độ dốc dương là:
"Khi sản lượng giảm xuống trong điều  [MASKED]
A: Mức cầu về tiền tăng lên 
B: Lãi suất cân bằng tăng lên
C: Lãi suất cân bằng giảm xuống 
D: Lãi suất cân bằng không đổi
",Khi sản lượng giảm xuống trong điều ,kiện lượng cung tiền không thay đổi thì
"Trong mô hình tổng cung tổng cầu, đường  [MASKED]
A: Chính phủ tăng thuế 
B: Gia các yếu tố sản xuất tăng lên
C: Năng lực sản xuất của quốc gia tăng lên 
D: Các câu trên đều sai
","Trong mô hình tổng cung tổng cầu, đường ",tổng cung dịch chuyển sang trái là do:
"Giá trị sản lượng của một hãng trừ đi chi  [MASKED]
A: Sản xuất gián tiếp 
B: Lợi nhuận ròng
C: Xuất khẩu ròng 
D: Giá trị gia tăng
",Giá trị sản lượng của một hãng trừ đi chi ,phí về các sản phẩm trung gian được gọi là:
"Đường thể hiện sự phối hợp sản lượng thực tế và lãi suất mà tại  [MASKED]
A: Đường LM 
B: Đường cầu về đầu tư
C: Đường IS 
D: Đường tổng cầu
",Đường thể hiện sự phối hợp sản lượng thực tế và lãi suất mà tại ,đó tổng chi tiêu dự kiến bằng sản lượng thực tế được gọi là :
"Giả sử rằng GDP là 4800, tiêu dùng là 3400, xuất khẩu ròng là 120,  [MASKED]
A: Đầu tư là 80 
B: Thu nhập có thể sử dụng là 3800
C: Thu nhập khả dụng sẽ là 3800, đầu tư là 80, thâm hụt ngân sách là 200 
D: Thâm hụt ngân sách là 200
","Giả sử rằng GDP là 4800, tiêu dùng là 3400, xuất khẩu ròng là 120, ","tiết kiệm là 400 và mua hàng hoá của chính phủ là 1200, khi đó:"
"Tại các điểm nằm phía trên và bên phải  [MASKED]
A: Sản lượng thực tế lớn hơn tổng cầu, do đó có sự dư cung về hàng hoá 
B: Sản lượng thực tế lớn hơn tổng cầu, do đó có sự dư cầu về hàng hoá
C: Tổng cầu lớn hơn sản lượng thực tế, do đó có sự dư cung về hàng hoá 
D: Tổng cầu lớn hơn sản lượng thực tế do đó có sự dư cầu về hàng hoá
",Tại các điểm nằm phía trên và bên phải ,"của đường IS, điều nào dưới đây là đúng:"
"Trong mô hình IS – LM, khi chính phủ áp dụng đồng thời  [MASKED]
A: Sản lượng chắc chắn tăng 
B: Lãi suất chắc chắn tăng
C: Cả (a) và (b) đúng 
D: Câu (a) và (b) sai
","Trong mô hình IS – LM, khi chính phủ áp dụng đồng thời ",chính sách tài khóa mở rộng và chính sách tiền tệ thắt chặt thì:
"Nếu GDP thực tế không  [MASKED]
A: Lạm phát sẽ quá lớn trong nền kinh tế 
B: GDP thực tế luôn có xu hướng thay đổi cho tới khi cân bằng với tổng chi tiêu dự kiến
C: Thất nghiệp sẽ quá cao trong nền kinh tế 
D: GDP thực tế sẽ thay đổi cho tới khi đạt được trạng thái cân bằng dài hạn của nền kinh tế
",Nếu GDP thực tế không ,ở trạng thái cân bằng:
"Đường IS dốc xuống về  [MASKED]
A: Sản lượng giảm dẫn đến lãi suất cân bằng tăng 
B: Sản lượng tăng dẫn đến lãi suất cân bằng giảm
C: Lãi suất giảm dẫn đến sản lượng cân bằng tăng 
D: Câu (b) và (c) đúng
",Đường IS dốc xuống về ,phía phải phản ánh quan hệ:
"Đồng nhất thức nào sau  [MASKED]
A: S – T = I – G 
B: S + I = G - T
C: S + I = G + T 
D: S + T = I + G
",Đồng nhất thức nào sau ,đây thể hiện sự cân bằng
"Trong mô hình IS - LM, chính sách  [MASKED]
A: Sự dịch chuyển sang trái của đường LM 
B: Sự dịch chuyển sang phải của đường IS
C: Sự dịch chuyển sang phải của LM 
D: Sự dịch chuyển sang trái của đường IS
","Trong mô hình IS - LM, chính sách ",tiền tệ thắt chặt được thể hiện bằng:
"Vì đường tổng cung trong dài hạn  [MASKED]
A: Thu nhập quốc dân thực tế và mức giá được quyết định bởi tổng cầu 
B: Thu nhập quốc dân thực tế và mức giá được quyết định bởi tổng cung dài hạn
C: Thu nhập quốc dân thực tế được quy định bởi tổng cung, còn mức giá được quy định bởi tổng cầu 
D: Thu nhập quốc dân thực tế được quy định bởi tổng cầu, còn mức giá được quyết định bởi tổng cung
",Vì đường tổng cung trong dài hạn ,"là thẳng đứng, do đó trong dài hạn:"
"Giả sử nền kinh tế đang ở trạng thái toàn dụng nhân công với đường tổng cung  [MASKED]
A: Tỷ lệ thất nghiệp và sản lượng 
B: Tỷ lệ thất nghiệp, mức giá và sản lượng
C: Sản lượng và giá cả 
D: Tỷ lệ thất nghiệp và mức giá
",Giả sử nền kinh tế đang ở trạng thái toàn dụng nhân công với đường tổng cung ,"ngắn hạn có độ dốc dương, sự dịch chuyển sang phải của đường tổng cầu sẽ làm tăng:"
"Tổng cầu hàng hoá và dịch vụ của một  [MASKED]
A: Chính phủ và các hãng sản xuất 
B: Các nhà cung ứng hàng hoá và dịch vụ
C: Các hộ gia đình 
D: Người nước ngoài
",Tổng cầu hàng hoá và dịch vụ của một ,nước không phụ thuộc vào các quyết định của:
"Với đường tổng cung theo quan điểm của Keynes và khi cầu tiền rất  [MASKED]
A: Làm tăng thu nhập nhưng không ảnh hưởng đến giá cả và lãi suất 
B: Không ảnh hưởng đến thu nhập, giá cả và lãi suất
C: Làm tăng thu nhập, giảm lãi suất nhưng không ảnh hưởng đến giá cả 
D: Làm tăng lãi suất và giá cả, nhưng không ảnh hưởng đến thu nhập
",Với đường tổng cung theo quan điểm của Keynes và khi cầu tiền rất ,"nhạy cảm với lãi suất, việc sử dụng chính sách tài khoá mở rộng sẽ:"
"Nếu thu nhập quốc dân không đổi, thu nhập  [MASKED]
A: Tiêu dùng giảm 
B: Tiết kiệm tăng
C: Thuế thu nhập giảm 
D: Tiêu dùng tăng
","Nếu thu nhập quốc dân không đổi, thu nhập ",có thể sử dụng (thu nhập khả dụng) tăng khi:
"Biện pháp nào dưới đây hiệu quả trong  [MASKED]
A: Tăng tiền lương tối thiểu 
B: Trợ cấp cho các chương trình đào tạo lại và trợ cấp cho công nhân đến làm việc ở các vùng sâu vùng xa
C: Tăng trợ cấp thất nghiệp 
D: Thực hiện chính sách tài khoá mở rộng
",Biện pháp nào dưới đây hiệu quả trong ,việc giảm tỷ lệ thất nghiệp tự nhiên:
"Khi chính phủ thay đổi một lượng thuế hoặc trợ cấp cho  [MASKED]
A: Bằng lượng thuế hoặc trợ cấp thay đổi 
B: Nhỏ hơn lượng thuế hoặc trợ cấp thay đổi
C: Lớn hơn lượng thuế hoặc trợ cấp thay đổi 
D: Có thể xảy ra cả 3 khả năng trên
",Khi chính phủ thay đổi một lượng thuế hoặc trợ cấp cho ,các hộ gia đình thì sản lượng sẽ thay đổi một lượng:
"Ai trong số những người sau đây  [MASKED]
A: Một công nhân ngành thép bỏ việc và đang đi tìm một công việc tốt hơn 
B: Một công nhân ngành thép quyết định ngừng làm việc để trở thành sinh viên đại học
C: Một công nhân ngành thép về hưu nghỉ chế độ 
D: Một công nhân ngành thép mất việc do thay đổi về công nghệ
",Ai trong số những người sau đây ,được coi là thất nghiệp tạm thời:
"Yếu tố nào dưới đây được coi là nhân  [MASKED]
A: Xuất khẩu 
B: Thuế thu nhập lũy tiến và trợ cấp
C: Đầu tư 
D: Thuế thu nhập tích luỹ
",Yếu tố nào dưới đây được coi là nhân ,tố ổn định tự động của nền kinh tế:
"Trong mô hình kinh tế của KEYNES, các chính sách  [MASKED]
A: Tổng cầu 
B: Tổng cung
C: Giá cả 
D: Các câu trên đều sai
","Trong mô hình kinh tế của KEYNES, các chính sách ",kinh tế vĩ mô của chính phủ sẽ làm thay đổi:
"Giả sử trong tiến trình hội nhập, xuất khẩu của Việt Nam tăng nhiều hơn nhập  [MASKED]
A: Cả đường cung và đường cầu ngoại tệ đều dịch chuyển sang phải, làm đồng nội tệ tăng giá 
B: Đường cầu ngoại tệ dịch chuyển sang phải
C: Cả đường cung và đường cầu ngoại tệ đều dịch chuyển sang phải, làm đồng nội tệ giảm giá 
D: Đường cung ngoại tệ dịch sang phải
","Giả sử trong tiến trình hội nhập, xuất khẩu của Việt Nam tăng nhiều hơn nhập ","khẩu của Việt Nam, thì trên thị trường ngoại hối chúng ta có thể dự tính rằng:"
"Yếu tố nào dưới đây không  [MASKED]
A: Tính theo giá hiện hành 
B: Đo lường toàn bộ sản lượng cuối cùng
C: Thường tính cho một năm 
D: Không tính giá trị sản phẩm trung gian
",Yếu tố nào dưới đây không ,phải là tính chất của GDP thực:
"Giả sử Ngân Hàng NN mua 600 tỉ đồng công trái chính phủ từ các trung gian tài chính và giả sử những tổ chức  [MASKED]
A: Có thêm 120 tỉ dự trữ 
B: Có thêm 120 tỉ vượt mức dự trữ
C: Có thêm 480 tỉ tổng dự trữ 
D: 480 tỉ tăng thêm trong dự trữ bắt buộc
",Giả sử Ngân Hàng NN mua 600 tỉ đồng công trái chính phủ từ các trung gian tài chính và giả sử những tổ chức ,"này chuyển toàn bộ tiền bán vào ngân hàng. Nếu yêu cầu dự trữ là 20%, tác động tức thời trên hệ thống ngân hàng là"
"Biến động của yếu tố nào sau đây chỉ tác động đến  [MASKED]
A: Lực lượng lao động 
B: Tiền lương danh nghĩa
C: Công nghệ, kỹ thuật 
D: Giá dầu nhập khẩu
",Biến động của yếu tố nào sau đây chỉ tác động đến ,tổng cung ngắn hạn và không tác động đến tổng cung dài hạn?
"Trong mô hình tổng cầu – tổng cung,  [MASKED]
A: Giá tăng, sản lượng tăng 
B: Giá tăng, sản lượng không đổi
C: Giá tăng, tỷ lệ thất nghiệp giảm 
D: Giá tăng, tỷ lệ thất nghiệp tăng
","Trong mô hình tổng cầu – tổng cung, ","trong dài hạn, việc tăng cung tiền dẫn tới:"
"Trong một nền kinh tế mở có các số liệu như sau: tiêu dùng tự định: 60, đầu tư tự định: 600, chi tiêu của chính phủ về hàng hóa  [MASKED]
A: Thu hẹp sản xuất 
B: Giữ nguyên sản lượng
C: Mở rộng sản xuất 
D: Các câu trên đều saI
","Trong một nền kinh tế mở có các số liệu như sau: tiêu dùng tự định: 60, đầu tư tự định: 600, chi tiêu của chính phủ về hàng hóa ","và dịch vụ: 3260, xuất khẩu: 2000, tiêu dùng biên: 0,75, thuế suất biên: 0,4, nhập khẩu biên: 0,25.ở mức sản lượng(thu nhập) thực tế là 7200, các xí nghiệp nên:"
"Giả sử không có Chính phủ và ngoại thương nếu tiêu dùng tự định  [MASKED]
A: Khoảng 77 
B: 430
C: 700 
D: 400
",Giả sử không có Chính phủ và ngoại thương nếu tiêu dùng tự định ,"là 30, đầu tư là 40, MPS = 0,1. Mức sản lượng cân bằng là:"
"Nếu có một sự giảm sút trong đầu tư của  [MASKED]
A: Giảm xuống 40 tỷ 
B: Tăng 40 tỷ
C: Giảm Xuống 13,33 tỷ 
D: Tăng lên 13,33 tỷ
",Nếu có một sự giảm sút trong đầu tư của ,"tư nhân 10 tỷ MPC = 0,75 mức sản lượng sẽ:"
"Khi nền kinh tế đạt được mức  [MASKED]
A: Không còn lạm phát 
B: Không còn thất nghiệp
C: Vẫn còn tồn tại một tỷ lệ lạm phát và thất nghiệp 
D: Các lựa chọn đều sai
",Khi nền kinh tế đạt được mức ,"toàn dụng, điều đó có nghĩa là:"
"Cho biết: K=1/(1-MPC) .  [MASKED]
A: Nền kinh tế đóng, không có Chính phủ 
B: Nền kinh tế đóng, có Chính phủ
C: Nền kinh tế mở 
D: Các lựa chọn đều có thể đúng
",Cho biết: K=1/(1-MPC) . ,Đây là số nhân trong:
"Khi cung tiền và cầu tiền được biểu diễn bằng một đồ thị với  [MASKED]
A: Làm dịch chuyển đường cầu tiền sang phải và làm tăng lãi suất cân bằng 
B: Làm dịch chuyển đường cầu tiền sang trái và làm tăng lãi suất cân bằng
C: Làm dịch chuyển đường cầu tiền sang phải và làm giảm lãi suất cân bằng 
D: Làm dịch chuyển đường cầu tiền sang trái và làm giảm lãi suất cân bằng
",Khi cung tiền và cầu tiền được biểu diễn bằng một đồ thị với ,"trục tung là lãi suất và trục hoành là lượng tiền, mức giá tăng:"
"Khi cung tiền và cầu tiền được biểu diễn bằng một đồ thị với trục  [MASKED]
A: Dịch chuyển đường cầu tiền sang phải và làm tăng lãi suất cân bằng 
B: Dịch chuyển đường cầu tiền sang trái và làm tăng lãi suất cân bằng
C: Dịch chuyển đường cầu tiền sang phải và làm giảm lãi suất cân bằng 
D: Dịch chuyển đường cầu tiền sang trái và làm giảm lãi suất cân bằng
",Khi cung tiền và cầu tiền được biểu diễn bằng một đồ thị với trục ,"tung là lãi suất và trục hoành là lượng tiền, sự cắt giảm thu nhập làm:"
"Yếu tố nào trong các yếu tố sau đây ít có  [MASKED]
A: Lãi suất giảm 
B: Chi tiêu cho tiêu dùng tăng
C: Cạn kiệt hàng tồn kho 
D: nan
",Yếu tố nào trong các yếu tố sau đây ít có ,khả năng nhất trong việc kích thích sự gia tăng đầu tư:
"Theo lý thuyết của Keynes kết hợp chính sách nào trong các chính sách  [MASKED]
A: Cắt giảm thuế & tăng chi tiêu của Chính phủ 
B: Phá giá, tăng thuế & cắt giảm chi tiêu của Chính phủ
C: Tăng thuế thu nhập & tăng chi tiêu của Chính phủ 
D: Phá giá, giảm thuế & giảm chi tiêu của Chính phủ
",Theo lý thuyết của Keynes kết hợp chính sách nào trong các chính sách ,sau đây thích hợp nhất đối với một Chính phủ đang cắt giảm thất nghiệp:
"Một sự gia tăng trong  [MASKED]
A: Dịch chuyển đường LM sang phải 
B: Dịch chuyển đường IS sang phải
C: Dịch chuyển đường IS sang trái 
D: Không ảnh hưởng đến đường IS
",Một sự gia tăng trong ,nhập khẩu tự định sẽ:
