Question,First_half,Label
"Tình cảm gắn bó giữa hai hoặc nhiều người trên cơ sở  [MASKED]
A: Tình yêu. 
B: Tình bạn.
C: Tình đồng chí. 
D: Tình anh em.
",Tình cảm gắn bó giữa hai hoặc nhiều người trên cơ sở ,"hợp nhau về tính tình, sở thích, lí tưởng được gọi là?"
"Đặc điểm của tình bạn  [MASKED]
A: Bình đẳng và tôn trọng lẫn nhau. 
B: Phù hợp với nhau về quan niệm sống.
C: Thông cảm, đồng cảm sâu sắc với nhau. 
D: Cả A, B, C.
",Đặc điểm của tình bạn ,"trong sáng, lành mạnh là?"
"Em không tán thành ý kiến  [MASKED]
A: Tình bạn trong sáng, lành mạnh không thể có từ một phía 
B: Bạn bè phải biết bảo vệ nhau trong mọi trường hợp.
C: Biết phê bình nhau trong mọi trường hợp. 
D: Có thể có tình bạn trong sáng, lành mạnh giữa hai người khác giới.
",Em không tán thành ý kiến ,nào sau đây về tình bạn?
"D là bạn thân của E, trong giờ kiểm tra 15 phút E không học bài  [MASKED]
A: Nhắc nhở bạn, khuyên bạn không được làm như vậy vì vi phạm kỉ luật. 
B: Nhờ bạn D cho xem tài liệu cùng.
C: Mặc kệ vì không liên quan đến mình. 
D: Nói với cô giáo để bạn bị phạt.
","D là bạn thân của E, trong giờ kiểm tra 15 phút E không học bài ",cũ nên lén thầy cô giở sách ra chép. Nếu là D em sẽ làm gì?
"Vào các dịp ngày lễ lớn trong năm thôn X thường tổ chức các hoạt động giao lưu văn hóa, văn nghệ, thể dục, thể thao  [MASKED]
A: Gia đình bà E không tích cực tham gia các hoạt động chính trị - xã hội. 
B: Gia đình bà E tích cực tham gia các hoạt động chính trị - xã hội.
C: Gia đình bà E sống ích kỉ. 
D: Gia đình bà E sống vô cảm.
","Vào các dịp ngày lễ lớn trong năm thôn X thường tổ chức các hoạt động giao lưu văn hóa, văn nghệ, thể dục, thể thao ",để chào mừng; gia đình bà E thường không tham gia vì cho rằng mất thời gian. Em có nhận xét gì về gia đình bà E?
"Các tổ chức chính trị do  [MASKED]
A: Nhà nước. 
B: Đảng Cộng sản Việt Nam.
C: Không do cơ quan, tổ chức nào quản lí, hoạt động tự do. 
D: Cả A và B.
",Các tổ chức chính trị do ,"cơ quan, tổ chức nào quản lí?"
"Tệ nạn xã hội là là hiện tượng xã hội bao gồm những hành vi sai lệch chuẩn mực xã hội, vi  [MASKED]
A: Tệ nạn xã hội. 
B: Vi phạm pháp luật.
C: Vi phạm đạo đức. 
D: Vi phạm quy chế.
","Tệ nạn xã hội là là hiện tượng xã hội bao gồm những hành vi sai lệch chuẩn mực xã hội, vi ","phạm đạo đức và pháp luật, gây hậu quả nghiêm trọng về mọi mặt đối với đời sống xã hội được gọi là?"
"Hình thức cao nhất xử  [MASKED]
A: Tử hình. 
B: Chung thân.
C: Phạt tù. 
D: Cảnh cáo.
",Hình thức cao nhất xử ,phạt vi phạm pháp luật là?
"Trẻ dưới 14 tuổi khi vi phạm  [MASKED]
A: Đưa vào trường giáo dưỡng 1 năm kể từ ngày vi phạm. 
B: Cảnh cáo.
C: Phạt tù. 
D: Khuyên răn.
",Trẻ dưới 14 tuổi khi vi phạm ,pháp luật áp dụng hình thức nào?
"Thời gian dự phòng lây nhiễm HIV/AIDS  [MASKED]
A: 1 tiếng. 
B: 1 tuần.
C: Ngay sau 2-3 giờ đầu. 
D: 1 tháng.
",Thời gian dự phòng lây nhiễm HIV/AIDS ,tốt nhất là trong thời gian nào?
"Tên gọi của 1 loại vi rút  [MASKED]
A: HIV. 
B: AIDS.
C: Ebola. 
D: Cúm gà.
",Tên gọi của 1 loại vi rút ,gây suy giảm miễn dịch ở người là?
"Dấu hiệu lâm sàng  [MASKED]
A: Sút cân trên 10% trọng lượng cơ thể. 
B: Sốt kéo dài trên 1 tháng.
C: Ỉa chảy kéo dài trên 1 tháng. 
D: Cả A, B, C.
",Dấu hiệu lâm sàng ,chính khi mắc HIV/AIDS là?
"Cơ quan, tổ chức nào được nghiên cứu, chế tạo, sản  [MASKED]
A: Tổ chức, doanh nghiệp thuộc Bộ Quốc Phòng và Bộ Công an. 
B: Cá nhân.
C: Công ty tư nhân. 
D: Tổ chức phản động.
","Cơ quan, tổ chức nào được nghiên cứu, chế tạo, sản ","xuất, kinh doanh, xuất khẩu, nhập khẩu, sửa chữa vũ khí?"
"Hành động nào sau đây không thực hiện đúng quy định về phòng  [MASKED]
A: Sử dụng súng tự chế. 
B: Cưa mìn để lấy thuốc nổ.
C: Dùng dao để đánh nhau. 
D: Cả A, B, C.
",Hành động nào sau đây không thực hiện đúng quy định về phòng ,"ngừa tai nạn về vũ khí, cháy, nổ và các chất độc hại?"
"Các trường hợp nổ súng quân dụng khi thực  [MASKED]
A: Đối tượng đang sử dụng vũ khí, vật liệu nổ, vũ lực hoặc công cụ, phương tiện khác tấn công hoặc chống trả đe dọa tính mạng, sức khỏe của người thi hành công vụ hoặc người khác. 
B: Đối tượng đang sử dụng vũ khí, vật liệu nổ, vũ lực hoặc công cụ, phương tiện khác gây rối trật tự công cộng đe dọa tính mạng, sức khỏe, tài sản của người khác.
C: Khi biết rõ đối tượng đang thực hiện hành vi phạm tội nghiêm trọng, phạm tội rất nghiêm trọng, phạm tội đặc biệt nghiêm trọng. 
D: Cả A, B, C.
",Các trường hợp nổ súng quân dụng khi thực ,"hiện nhiệm vụ bảo đảm an ninh, trật tự là?"
"Chiếm đoạt tài sản có giá trị từ hai trăm triệu đồng  [MASKED]
A: Từ 7 năm đến 15 năm. 
B: Từ 5 năm đến 15 năm.
C: Từ 5 năm đến 10 năm. 
D: Từ 1 năm đến 5 năm.
",Chiếm đoạt tài sản có giá trị từ hai trăm triệu đồng ,đến dưới năm trăm triệu đồng bị phạt tù bao nhiêu năm?
"Việc ông A cho con gái thừa kế 1 mảnh  [MASKED]
A: Quyền sử dụng. 
B: Quyền định đoạt.
C: Quyền chiếm hữu. 
D: Quyền tranh chấp.
",Việc ông A cho con gái thừa kế 1 mảnh ,đất đứng tên mình là ông thực hiện quyền nào?
"Nhà nước … quyền sở hữu hợp pháp  [MASKED]
A: Công nhận và chịu trách nhiệm. 
B: Bảo hộ và chịu trách nhiệm.
C: Công nhận và đảm bảo. 
D: Công nhận và bảo hộ.
",Nhà nước … quyền sở hữu hợp pháp ,của công dân. Trong dấu “…” đó là?
"Sản xuất của cải  [MASKED]
A: Tạo ra của cải vật chất. 
B: Sản xuất xã hội.
C: Con người tác động vào tự nhiên để tạo ra các sản phẩm phù hợp với như cầu của mình. 
D: Tạo ra cơm ăn, áo mặc, tạo ra tư liệu sản xuất.
",Sản xuất của cải ,vật chất là quá trình
"Một trong những vai trò của  [MASKED]
A: Cơ sở tồn tại của xã hội. 
B: Tạo ra các giá trị vật chất và tinh thần
C: Giúp con người có việc làm. 
D: Thúc đẩy tăng trưởng kinh tế.
",Một trong những vai trò của ,sản xuất của cải vật chất là
"sản xuất của cải vật  [MASKED]
A: Mọi hoạt động của xã hội. 
B: Số lượng hang hóa trong xã hội
C: Thu nhập của người lao động. 
D: Việc làm của người lao động.
",sản xuất của cải vật ,chất có vai trò quyết định
"Trong các yếu tố cấu thành tư liệu lao  [MASKED]
A: Kết cấu hạ tầng của sản xuất. 
B: Công cụ lao động.
C: Hệ thống bình chứa của sản xuất. 
D: Cơ sở vật chất.
",Trong các yếu tố cấu thành tư liệu lao ,"động, yếu tố nào dưới đây quan trọng nhất?"
"Yếu tố nào dưới đây giữ vai trò quan  [MASKED]
A: Đối tượng lao động. 
B: Sức lao động.
C: Tư liệu lao động. 
D: Máy móc hiện đại.
",Yếu tố nào dưới đây giữ vai trò quan ,trọng và quyết định nhất trong quá trình sản xuất?
"Một sản phẩm trở thành hang  [MASKED]
A: Hai điều kiện 
B: Bốn điều kiện
C: Ba điều kiện 
D: Một điều kiện
",Một sản phẩm trở thành hang ,hóa cần có mấy điều kiện?
"Giá trị của hàng  [MASKED]
A: Người sản xuất cung ứng hàng hóa phù hợp với nhu cầu nhu cầu của người tiêu dùng 
B: Người sản xuất mang hàng hóa ra thị trường bán
C: Người sản xuất mang hàng hóa ra thị trường bán và bán được 
D: Người sản xuất cung ứng được hàng hóa có nhiều giá trị sử dụng
",Giá trị của hàng ,hóa được thực hiện khi
"Vật phẩm nào dưới đây  [MASKED]
A: Điện 
B: Nước máy
C: Không khí 
D: Rau trồng để bán
",Vật phẩm nào dưới đây ,không phải là hàng hóa
"Công bằng, không thiên vị, giải quyết công việc theo lẽ phải, đặt lợi  [MASKED]
A: Chí công vô tư 
B: Khoan dung
C: Tự giác, sáng tạo 
D: Tự chủ
","Công bằng, không thiên vị, giải quyết công việc theo lẽ phải, đặt lợi ",ích chung lên trên lợi ích cá nhân là biểu hiện của phẩm chất
"Biểu hiện không phải là  [MASKED]
A: Trong công việc, ưu ái người nhà hơn người ngoài. 
B: Giao công việc cho nam nhiều hơn nữ.
C: Chỉ phạt những học sinh vi phạm, không phạt học sinh là cháu của giáo viên. 
D: Cả A,B,C.
",Biểu hiện không phải là ,chí công vô tư là ?
"Người chí công vô  [MASKED]
A: ích kỉ, hẹp hòi. 
B: mánh khoé, vụ lợi.
C: gió chiều nào, xoay chiều nấy. 
D: công bằng, chính trực.
",Người chí công vô ,tư là người luôn sống
"Không thiên vị, giải quyết công việc theo lẽ phải, xuất phát từ lợi ích  [MASKED]
A: Đức tính khiêm nhường 
B: Đức tính tiết kiệm
C: Đức tính trung thực 
D: Đức tính chí công vô tư
","Không thiên vị, giải quyết công việc theo lẽ phải, xuất phát từ lợi ích ","chung, đặt lợi ích chung lên trên lợi ích cá nhân được gọi là ?"
"Ý kiến nào dưới đây  [MASKED]
A: Luôn nhận định theo số đông là chí công vô tư. 
B: Cán bộ lớp đương nhiên là người chí công vô tư.
C: Cần thẳng thắn phê bình lỗi sai của người khác để họ sửa chữa. 
D: Đừng bao giờ nêu khuyết điểm của người khác trước tập thể.
",Ý kiến nào dưới đây ,thể hiện chí công vô tư?
"Ngoài giờ đi học, E tranh thủ thời gian ra đồng đi bắt  [MASKED]
A: E là người tự chủ. 
B: E là người trung thực.
C: E là người thật thà. 
D: E là người khiêm nhường.
","Ngoài giờ đi học, E tranh thủ thời gian ra đồng đi bắt ",cua để lấy tiền đóng học thêm. Việc làm đó thể hiện điều gì?
"Biểu hiện nào dưới đây  [MASKED]
A: Ôn tồn, mềm mỏng, lịch sự khi giải quyết công việc. 
B: Bình tĩnh, sáng suốt đưa ra những quyết định đúng đắn.
C: Hay nồi nóng, cãi vã, gây gỗ với mọi người xung quanh. 
D: Không chán nản, tuyệt vọng khi gặp khó khăn.
",Biểu hiện nào dưới đây ,thể hiện sự thiếu tự chủ?
"Một bạn trong lớp đùa nghịch làm hỏng món đồ rất  [MASKED]
A: Báo cáo cô giáo. 
B: Bình tĩnh nói chuyện với bạn.
C: Yêu cầu bạn mua đền món đồ. 
D: Nghĩ cách trả thù lại bạn.
",Một bạn trong lớp đùa nghịch làm hỏng món đồ rất ,"có y nghĩa của em. Là người tự chủ, em sẽ"
"Trên đường đi học về, N gặp 1 vụ tai nạn giao thông thảm khốc, trên đường có cảnh người bị chảy máu rất nhiều, em nhỏ bị gãy chân, trước  [MASKED]
A: N là người tự chủ. 
B: N là người trung thực.
C: N người thật thà. 
D: N là người tôn trọng người khác.
","Trên đường đi học về, N gặp 1 vụ tai nạn giao thông thảm khốc, trên đường có cảnh người bị chảy máu rất nhiều, em nhỏ bị gãy chân, trước ",tình huống đó N cùng mọi người giúp đỡ đưa họ vào bệnh viện và gọi điện thoại báo tin cho gia đình họ. Việc làm đó thể hiện điều gì?
"Câu ca dao tục ngữ  [MASKED]
A: Học thầy không tày học bạn. 
B: Kiến tha lâu ngày cũng đầy tổ.
C: Tích tiểu thành đại. 
D: Dù ai nói ngả nói nghiêng/ Lòng ta vẫn vững như kiềng ba chân.
",Câu ca dao tục ngữ ,nào thể hiện tự chủ?
"Câu “Gió chiều nào che chiều  [MASKED]
A: Tự chủ 
B: Sáng tạo
C: Năng động 
D: Cần cù
",Câu “Gió chiều nào che chiều ,ấy” nói về người không có tính
"Thầy giao bài tập về nhà môn Toán, B đọc và suy nghĩ mãi không làm được nên B lên mạng  [MASKED]
A: B là người không thật thà. 
B: B là người không thẳng thắn.
C: B là người không tự chủ. 
D: B là người không tự tin.
","Thầy giao bài tập về nhà môn Toán, B đọc và suy nghĩ mãi không làm được nên B lên mạng ",tìm lời giải và chép lời giải coi như làm xong bài tập về nhà. B là người như thế nào?
"Hành vi nào dưới đây vi  [MASKED]
A: Đi học đúng giờ 
B: Nghỉ học không xin phép.
C: Tự ý bỏ việc không báo trước. 
D: Phát biểu trong các cuộc họp lớp.
",Hành vi nào dưới đây vi ,phạm kỉ luật của học sinh?
"Mọi người được làm chủ công việc của tập thể của xã hội, được tham  [MASKED]
A: Khiêm nhường 
B: Dân chủ
C: Trung thực 
D: Kỉ luật.
","Mọi người được làm chủ công việc của tập thể của xã hội, được tham ","gia đóng góp ý kiến, giám sát những công việc chung được gọi là ?"
"Trong buôi thảo luận để xây dựng kế hoạch hoạt động ngoại khoá cho lớp, việc  [MASKED]
A: Để cán bộ lớp quyết định. 
B: Sôi nổi đề xuất ý kiến
C: Tôn trọng ý kiến của tập thể 
D: Tích cực tham gia các hoạt động của lớp.
","Trong buôi thảo luận để xây dựng kế hoạch hoạt động ngoại khoá cho lớp, việc ",làm nào dưới đây chưa phát huy được tính dân chủ và kỉ luật của học sinh?
"Trong các hoạt động của lớp, bạn lớp trưởng luôn đưa ra quyết định và yêu cầu các bạn thực hiện  [MASKED]
A: Không tham gia các hoạt động của lớp. 
B: Nghe theo mọi quyết định của lớp trưởng.
C: Cãi nhau để phản đối ý kiến của lớp trưởng. 
D: Thẳng thắn góp ý để bạn lớp trưởng rút kinh nghiệm.
","Trong các hoạt động của lớp, bạn lớp trưởng luôn đưa ra quyết định và yêu cầu các bạn thực hiện ","theo. Nếu là một thành viên trong lớp đó, em sẽ làm gì để phát huy tính dân chủ và kỉ luật?"
"Việc làm nào dưới đây góp phân  [MASKED]
A: Kích động, chia rẽ giữa các dân tộc, tôn giáo 
B: Gây chiến tranh, khủng bố ở nhiều nơi trên thế giới
C: Thiết lập quan hệ hợp tác, hữu nghị giữa các dân tộc 
D: Hạn chế quan hệ với các nước khác để tránh xảy ra xung đột
",Việc làm nào dưới đây góp phân ,bảo vệ hoà bình cho nhân loại?
"Gìn giữ cuộc sống xã hội bình yên, dùng thương lượng, đàm phán để giải quyết  [MASKED]
A: Bảo vệ đất nước 
B: Hoạt động chính trị
C: Bảo vệ hòa bình 
D: Hoạt động ngoại giao
","Gìn giữ cuộc sống xã hội bình yên, dùng thương lượng, đàm phán để giải quyết ","mọi mâu thuẫn, xung đột giữa các dân tộc, tôn giáo và quốc gia được gọi là"
"Sự kiện đánh dấu sự chấm  [MASKED]
A: 30/4/1975. 
B: 01/5/1975.
C: 02/9/1945. 
D: 30/4/1954.
",Sự kiện đánh dấu sự chấm ,dứt chiến tranh Việt Nam là?
"Làm việc có năng suất, chất lượng,  [MASKED]
A: kém chất lượng. 
B: trong một thời gian nhất định.
C: có giá trị cao trong một thời gian nhất định. 
D: có chất lượng nhưng mất nhiều thời gian.
","Làm việc có năng suất, chất lượng, ",hiệu quả là tạo ra nhiều sản phẩm
"Biểu hiện của việc làm việc không  [MASKED]
A: Làm việc riêng trong giờ. 
B: Vừa xem ti vi vừa ăn cơm.
C: Vừa học vừa xem ti vi. 
D: Cả A,B,C.
",Biểu hiện của việc làm việc không ,"năng suất, chất lượng, hiệu quả là?"
"Làm việc có năng suất, chất lượng, hiệu quả là ...đối  [MASKED]
A: Yêu cầu. 
B: Điều kiện.
C: Tiền đề. 
D: Động lực.
","Làm việc có năng suất, chất lượng, hiệu quả là ...đối ",với mỗi người trong thời đại ngày nay. Trong dấu “...” là?
"Ý kiến nào dưới đây không phải ý nghĩa  [MASKED]
A: Giúp mỗi người đạt được mọi mục đích đã đề ra. 
B: Góp phân nâng cao chất lượng cuộc sống của mỗi cá nhân.
C: Là yêu cầu của người lao động trong xã hội hiện đại. 
D: Thúc đẩy sự phát triển của đất nước trong thời kì hội nhập.
",Ý kiến nào dưới đây không phải ý nghĩa ,"của làm việc có năng suất, chất lượng, hiệu quả?"
"Quan điểm nào dưới đây đúng về làm  [MASKED]
A: Trong sản xuất chỉ cần chú ý đến chất lượng sản phẩm. 
B: Trong sản xuất chỉ cần chú ý đến chất lượng sản phẩm.
C: Làm việc năng suất, chất lượng sẽ đem lại hiệu quả trong lao động. 
D: Làm việc năng suất, chất lượng sẽ đem lại hiệu quả trong lao động.
",Quan điểm nào dưới đây đúng về làm ,"việc có năng suất, chất lượng, hiệu quả?"
"Để đạt hiệu quả trong  [MASKED]
A: học ít, chơi nhiều. 
B: thức khuya để học bài.
C: chép bài của bạn. 
D: chép bài của bạn.
",Để đạt hiệu quả trong ,"học tập, học sinh cần"
"Tạo ra được nhiêu sản phẩm có giá trị cao về cả nội  [MASKED]
A: tự chủ trong công việc. 
B: hợp tác cùng phát triển.
C: năng động, sáng tạo trong công việc 
D: làm việc có năng suất, chất lượng, hiệu quả.
",Tạo ra được nhiêu sản phẩm có giá trị cao về cả nội ,dung và hình thức trong một thời gian nhất định là biểu hiện của
"Hôn nhân hạnh phúc phải được xây dựng  [MASKED]
A: Hoàn cảnh gia đình tương xứng 
B: Hợp nhau về gu thời trang.
C: Tình yêu chân chính 
D: Có việc làm ổn định.
",Hôn nhân hạnh phúc phải được xây dựng ,trên cơ sở quan trọng nào dưới đây?
"Pháp luật Việt Nam quy định độ  [MASKED]
A: Nam, nữ từ đủ 18 tuổi trở lên. 
B: Nam, nữ từ đủ 20 tuổi trở lên.
C: Nam từ 20 tuổi trở lên, nữ từ 18 tuổi trở lên 
D: Nam từ đủ 20 tuổi trở lên, nữ từ đủ 18 tuổi trở lên.
",Pháp luật Việt Nam quy định độ ,tuổi nào dưới đây được phép kết hôn?
"Em không đồng ý với ý kiến  [MASKED]
A: Hôn nhân phải được Nhà nước thừa nhận. 
B: Mục đích chính của hôn nhân là để duy trì và phát triển kinh tế.
C: Hôn nhân nhằm mục đích chung sống lâu dài và xây dựng gia đình hoà thuận, hạnh phúc. 
D: Hôn nhân là sự liên kết đặc biệt giữa một nam và một nữ trên nguyên tắc bình đẳng, tự nguyện.
",Em không đồng ý với ý kiến ,nào dưới đây khi nói về hôn nhân?
"Hậu quả nào dưới đây  [MASKED]
A: Không thể gặp lại người thân. 
B: Làm giảm chất lượng dân số.
C: Ảnh hưởng xấu đến sức khoẻ của cả mẹ và con. 
D: Mâu thuẫn trong gia đình do vợ chồng còn quá trẻ.
",Hậu quả nào dưới đây ,không phải của nạn tảo hôn?
"Ý nào dưới đây vi phạm nguyên tắc cơ  [MASKED]
A: Hôn nhân tiến bộ, một vợ một chồng, vợ chồng bình đẳng. 
B: Hôn nhân tự nguyện, tiến bộ, không ai có quyền can thiệp.
C: Hôn nhân giữa người theo tôn giáo với người không theo tôn giáo. 
D: Hôn nhân cùng lúc giữa một công dân Việt Nam với hai người nước ngoài.
",Ý nào dưới đây vi phạm nguyên tắc cơ ,bản của chế độ hôn nhân ở Việt Nam?
"Dựa vào kiến thức bài quyền và nghĩa vụ của công dân  [MASKED]
A: Ép dầu ép mỡ, ai nỡ ép duyên. 
B: Con hư tại mẹ cháu hư tại bà.
C: Thuận vợ thuận chồng tát biển Đông cũng cạn. 
D: Chồng em áo rách em thương/ Chồng người áo gấm sông hương mặc người.
",Dựa vào kiến thức bài quyền và nghĩa vụ của công dân ,"trong hôn nhân, em không đồng ý với quan điểm nào dưới đây?"
"Hoạt động lao động tạo ra thu nhập  [MASKED]
A: học nghề 
B: việc làm
C: cải tạo 
D: hướng nghiệp.
",Hoạt động lao động tạo ra thu nhập ,mà không bị pháp luật cắm được gọi là
"Những hành vi nào dưới đây  [MASKED]
A: Bắt trẻ dưới 15 tuổi vào làm việc. 
B: Công dân đủ 16 tuổi được nhận vào các công ty để làm việc.
C: Được nghỉ tất cả các ngày lễ tết theo quy định của nhà nước. 
D: Được tham hỏi những lúc ốm đau, bệnh tật.
",Những hành vi nào dưới đây ,là không đúng với luật lao động
"Một trong những nội dung về bình đẳng trong thực hiện  [MASKED]
A: việc làm theo sở thích của mình. 
B: việc làm phù hợp với khả năng của mình mà không bị phân biệt đối xử.
C: điều kiện làm việc theo nhu cầu của mình. 
D: thời gian làm việc theo ý muốn chủ quan của mình.
",Một trong những nội dung về bình đẳng trong thực hiện ,quyền lao động là mọi người đều có quyền lựa chọn ?
"Theo quy định của pháp luật, thời gian làm việc của lao  [MASKED]
A: 5 giờ/ngày và 25 giờ/tuần 
B: 6 giờ/ngày và 30 giờ/tuần.
C: 7 giờ/ngày và 35 giờ/tuần 
D: 8 giờ/ngày và 40 giờ/tuần.
","Theo quy định của pháp luật, thời gian làm việc của lao ",động từ đủ 15 tuổi đến dưới 18 tuổi là không quá
"Vi phạm pháp luật dân sự là hành  [MASKED]
A: các quan hệ công vụ và nhân thân 
B: các quy tắc quản lí nhà nước.
C: các quy tắc quản lí nhà nước. 
D: các quan hệ lao động, công vụ nhà nước.
",Vi phạm pháp luật dân sự là hành ,"vi vi phạm pháp luật, xâm phạm tới"
"Nhà nước đưa ra trách  [MASKED]
A: Phạt tiền người vi phạm. 
B: Buộc chủ thể vi phạm chấm dứt hành vi trái pháp luật, phải chịu những thiệt hại nhất định; giáo dục răn đe những người khác.
C: Lập lại trật tự xã hội. 
D: Ngăn chặn người vi phạm có thể có vi phạm mới.
",Nhà nước đưa ra trách ,nhiệm pháp lý là nhằm :
"Nghĩa vụ mà các cá nhân, cơ quan, tô chức vi phạm pháp luật phải  [MASKED]
A: trách nhiệm pháp lí 
B: vi phạm pháp luật.
C: trách nhiệm gia đình 
D: vi phạm đạo đức.
","Nghĩa vụ mà các cá nhân, cơ quan, tô chức vi phạm pháp luật phải ",chấp hành những biện pháp bắt buộc do Nhà nước quy định được gọi là
"“tội phạm” là người  [MASKED]
A: pháp luật dân sự 
B: pháp luật hành chính.
C: pháp luật hình sự 
D: kỉ luật.
",“tội phạm” là người ,có hành vi vi phạm
"Nhà bạn B rất nghèo nhưng bạn B luôn ăn chơi đua đòi và đòi mẹ phải mua  [MASKED]
A: Bạn B là người sống xa hoa, lãng phí. 
B: Bạn B là người vô tâm.
C: Bạn B là người tiết kiệm. 
D: Bạn B là người vô ý thức.
",Nhà bạn B rất nghèo nhưng bạn B luôn ăn chơi đua đòi và đòi mẹ phải mua ,cho chiếc điện thoại Iphone thì mới chịu đi học. Em có nhận xét gì về bạn B?
"Sống giản dị có ý nghĩa như  [MASKED]
A: Được mọi người yêu mến, cảm thông và giúp đỡ. 
B: Được mọi người chia sẻ khó khăn.
C: Được mọi người yêu mến. 
D: Được mọi người giúp đỡ.
",Sống giản dị có ý nghĩa như ,thế nào đối với mỗi người ?
