Question,A,B,C,D
"Nếu hai nước cùng khởi đầu với mức GDP bình quân đầu người như nhau, và một nước tăng trưởng với tốc độ 2%/năm  còn một nước tăng trưởng 4%/năm",GDP bình quân của một nước sẽ luôn lớn hơn GDP bình quân của nước còn lại 2%,Mức sống của nước có tốc độ tăng trưởng 4% sẽ tăng dần khoảng cách với mức sống của nước tăng trưởng chậm hơn do tăng trưởng kép,Mức sống của hai nước sẽ gặp nhau do quy luật lợi suất giảm dần đối với tư bản,"Năm sau, kinh tế của nước tăng trưởng 4% sẽ lớn gấp hai lần nước tăng trưởng 2%"
Chi phí cơ hội của tăng trưởng là:,Sự giảm sút về đầu tư hiện tại,Sự giảm sút về tiết kiệm hiện tại,Sự giảm sút về tiêu dùng hiện tại,Sự giảm sút về thuế
Sự gia tăng nhân tố nào sau đây không làm tăng năng suất của một quốc gia,Vốn nhân lực/ công nhân,Tư bản vật chất/ công nhân,Tài nguyên thiên nhiên/ công nhân,
Câu nhận định nào trong số các câu sau là đúng?,Các nước có thể có mức GDP bình quân khác nhau nhưng đều tăng trưởng với tỷ lệ như nhau,Các nước có thể có tỷ lệ tăng trưởng khác nhau nhưng mức GDP bình quân của mỗi nước là như nhau,Các nước đều có tốc độ tăng trưởng và mức sản lượng như nhau vì mỗi nước đều có được các nhân tố sản xuất giống nhau,"Mức GDP bình quân cũng như tốc độ tăng trưởng của các nước có sự khác nhau lớn, và theo thời gian, các nước nghèo có thể trở nên giàu một cách tương đối"
"Một giám đốc bị mất việc do công ty làm ăn thua lỗ. Ông ta nhận được khoản trợ cấp thôi việc 50 triệu đồng thay vì tiền lương 100 triệu Đ/năm trước đây. Vợ ông ta bắt đầu đi làm với mức lương 10 triệu Đ/năm. Con gái ông ta vẫn làm công việc như cũ, nhưng tăng thêm khoản đóng góp cho bố mẹ 5 triệu Đ/Năm. Phần đóng góp của gia đình này vào tổng thu nhập quốc dân trong năm sẽ giảm đi:",50 triệu Đ,65 triệu Đ,75 triệu Đ,
Điều nào sau đây sẽ khiến cho CPI tăng nhiều hơn so với chỉ số điều chỉnh GDP?,Tăng giá xe đạp Thống Nhất,Tăng giá xe tăng do Bộ Quốc Phòng mua,Tăng giá máy bay chiến đấu sản xuất trong nước và được bán cho Lào,
"Nếu CPI của năm 1995 là 136,5 và tỉ lệ lạm phát của năm 1995 là 5% thì CPI của năm 1994 là:",135,125,"131,5",
Giả sử thu nhập của bạn tăng từ 19 triệu lên 31 triệu Đ. Trong giai đoạn đó CPI tăng từ 122 lên 169. Nhìn chung mức sống của bạn đã:,Giảm,Tăng,Không đổi,Không thể kết luận vì không biết năm cơ sở
Giả sử đầu tư hoàn toàn không nhạy cảm với lãi suất khi đó:,Lãi suất không thể giảm bởi sự tác động của chính sách tài khoá và chính sách tiền tệ,Nền kinh tế không thể bị tác động bởi chính sách tài khoá hoặc chính sách tiền tệ,Chính sách tài khoá sẽ rất hiệu quả trong việc kiểm soát tổng cầu,Chính sách tài khoá hoàn toàn không có hiệu quả trong việc kiểm soát tổng cầu
"Khi mức giá giảm, đường cầu tiền sẽ chuyển dịch về",Bên phải làm cho lãi suất giảm xuống,Bên phải làm cho lãi suất tăng lên,Bên trái làm cho lãi suất tăng lên,Bên trái làm cho lãi suất giảm xuống
Chính sách tài khoá và tiền tệ mở rộng sẽ làm cho:,Đường tổng cung dịch chuyển sang trái,Đường tổng cầu dịch chuyển sang phải,Người tiêu dùng và doanh nghiệp chi tiêu ít hơn,Sản lượng được sản xuất ra có xu hướng giảm
"Giả sử chính phủ muốn kích thích đầu tư nhưng hầu như không thay đổi thu nhập, theo bạn chính phủ cần sử dụng chính sách nào?",Giảm chi tiêu của chính phủ kèm với chính sách tiền tệ mở rộng,Giảm thuế đi kèm với chính sách tiền tệ thắt chặt,Trợ cấp cho đầu tư đi kèm với chính sách tiền tệ mở rộng,Giảm thuế thu nhập đi kèm với chính sách tài khoá mở rộng
Một lý do làm cho đường tổng cung có độ dốc dương là:,Nhu cầu của các tác nhân trong nền kinh tế tăng khi mặt bằng giá cả tăng,Các doanh nghiệp sẽ bán được nhiều sản phẩm hơn khi giá cả tăng,Lợi nhuận của các doanh nghiệp tăng thúc đẩy các doanh nghiệp sản xuất nhiều hơn,Các hãng kinh doanh sẽ có xu hướng tăng sản lượng khi giá cả tăng
Khi sản lượng giảm xuống trong điều kiện lượng cung tiền không thay đổi thì,Mức cầu về tiền tăng lên,Lãi suất cân bằng tăng lên,Lãi suất cân bằng giảm xuống,Lãi suất cân bằng không đổi
"Trong mô hình tổng cung tổng cầu, đường tổng cung dịch chuyển sang trái là do:",Chính phủ tăng thuế,Gia các yếu tố sản xuất tăng lên,Năng lực sản xuất của quốc gia tăng lên,Các câu trên đều sai
Số nhân tiền tổng hợp phản ánh:,Lượng tiền giao dịch của nền kinh tế có được từ 1 đơn vị tiền cơ sở,Lượng tiền giao dịch của nền kinh tế có được từ 1 đơn vị tiền ký gởi,Cả (a) và (b) đều đúng,Cả (a) và (b) đều sai
Giá trị sản lượng của một hãng trừ đi chi phí về các sản phẩm trung gian được gọi là:,Sản xuất gián tiếp,Lợi nhuận ròng,Xuất khẩu ròng,Giá trị gia tăng
Đường thể hiện sự phối hợp sản lượng thực tế và lãi suất mà tại đó tổng chi tiêu dự kiến bằng sản lượng thực tế được gọi là :,Đường LM,Đường cầu về đầu tư,Đường IS,Đường tổng cầu
"Giả sử rằng GDP là 4800, tiêu dùng là 3400, xuất khẩu ròng là 120, tiết kiệm là 400 và mua hàng hoá của chính phủ là 1200, khi đó:",Đầu tư là 80,Thu nhập có thể sử dụng là 3800,"Thu nhập khả dụng sẽ là 3800, đầu tư là 80, thâm hụt ngân sách là 200",Thâm hụt ngân sách là 200
"Tại các điểm nằm phía trên và bên phải của đường IS, điều nào dưới đây là đúng:","Sản lượng thực tế lớn hơn tổng cầu, do đó có sự dư cung về hàng hoá","Sản lượng thực tế lớn hơn tổng cầu, do đó có sự dư cầu về hàng hoá","Tổng cầu lớn hơn sản lượng thực tế, do đó có sự dư cung về hàng hoá",Tổng cầu lớn hơn sản lượng thực tế do đó có sự dư cầu về hàng hoá
"Trong mô hình IS – LM, khi chính phủ áp dụng đồng thời chính sách tài khóa mở rộng và chính sách tiền tệ thắt chặt thì:",Sản lượng chắc chắn tăng,Lãi suất chắc chắn tăng,Cả (a) và (b) đúng,Câu (a) và (b) sai
Xu hướng tiết kiệm cận biên cộng với:,Xu hướng tiêu dùng cận biên bằng 0,Xu hướng tiêu dùng cận biên bằng 1,Xu hướng tiêu dùng bình quân bằng 1,Xu hướng tiêu dùng bình quân bằng 0
Nếu đường LM nằm ngang thì:,Chính sách tài khóa không làm thay đổi lãi suất,Chính sách tài khóa tác động mạnh đến sản lượng,Chính sách tiền tệ không tác động đến sản lượng,Câu (a) và (b) đúng
Nếu GDP thực tế không ở trạng thái cân bằng:,Lạm phát sẽ quá lớn trong nền kinh tế,GDP thực tế luôn có xu hướng thay đổi cho tới khi cân bằng với tổng chi tiêu dự kiến,Thất nghiệp sẽ quá cao trong nền kinh tế,GDP thực tế sẽ thay đổi cho tới khi đạt được trạng thái cân bằng dài hạn của nền kinh tế
Đường IS dốc xuống về phía phải phản ánh quan hệ:,Sản lượng giảm dẫn đến lãi suất cân bằng tăng,Sản lượng tăng dẫn đến lãi suất cân bằng giảm,Lãi suất giảm dẫn đến sản lượng cân bằng tăng,Câu (b) và (c) đúng
Đồng nhất thức nào sau đây thể hiện sự cân bằng,S – T = I – G,S + I = G - T,S + I = G + T,S + T = I + G
"Trong mô hình IS - LM, chính sách tiền tệ thắt chặt được thể hiện bằng:",Sự dịch chuyển sang trái của đường LM,Sự dịch chuyển sang phải của đường IS,Sự dịch chuyển sang phải của LM,Sự dịch chuyển sang trái của đường IS
"Vì đường tổng cung trong dài hạn là thẳng đứng, do đó trong dài hạn:",Thu nhập quốc dân thực tế và mức giá được quyết định bởi tổng cầu,Thu nhập quốc dân thực tế và mức giá được quyết định bởi tổng cung dài hạn,"Thu nhập quốc dân thực tế được quy định bởi tổng cung, còn mức giá được quy định bởi tổng cầu","Thu nhập quốc dân thực tế được quy định bởi tổng cầu, còn mức giá được quyết định bởi tổng cung"
"Giả sử nền kinh tế đang ở trạng thái toàn dụng nhân công với đường tổng cung ngắn hạn có độ dốc dương, sự dịch chuyển sang phải của đường tổng cầu sẽ làm tăng:",Tỷ lệ thất nghiệp và sản lượng,"Tỷ lệ thất nghiệp, mức giá và sản lượng",Sản lượng và giá cả,Tỷ lệ thất nghiệp và mức giá
Tổng cầu hàng hoá và dịch vụ của một nước không phụ thuộc vào các quyết định của:,Chính phủ và các hãng sản xuất,Các nhà cung ứng hàng hoá và dịch vụ,Các hộ gia đình,Người nước ngoài
"Với đường tổng cung theo quan điểm của Keynes và khi cầu tiền rất nhạy cảm với lãi suất, việc sử dụng chính sách tài khoá mở rộng sẽ:",Làm tăng thu nhập nhưng không ảnh hưởng đến giá cả và lãi suất,"Không ảnh hưởng đến thu nhập, giá cả và lãi suất","Làm tăng thu nhập, giảm lãi suất nhưng không ảnh hưởng đến giá cả","Làm tăng lãi suất và giá cả, nhưng không ảnh hưởng đến thu nhập"
"Nếu thu nhập quốc dân không đổi, thu nhập có thể sử dụng (thu nhập khả dụng) tăng khi:",Tiêu dùng giảm,Tiết kiệm tăng,Thuế thu nhập giảm,Tiêu dùng tăng
Biện pháp nào dưới đây hiệu quả trong việc giảm tỷ lệ thất nghiệp tự nhiên:,Tăng tiền lương tối thiểu,Trợ cấp cho các chương trình đào tạo lại và trợ cấp cho công nhân đến làm việc ở các vùng sâu vùng xa,Tăng trợ cấp thất nghiệp,Thực hiện chính sách tài khoá mở rộng
Khi chính phủ thay đổi một lượng thuế hoặc trợ cấp cho các hộ gia đình thì sản lượng sẽ thay đổi một lượng:,Bằng lượng thuế hoặc trợ cấp thay đổi,Nhỏ hơn lượng thuế hoặc trợ cấp thay đổi,Lớn hơn lượng thuế hoặc trợ cấp thay đổi,Có thể xảy ra cả 3 khả năng trên
Ai trong số những người sau đây được coi là thất nghiệp tạm thời:,Một công nhân ngành thép bỏ việc và đang đi tìm một công việc tốt hơn,Một công nhân ngành thép quyết định ngừng làm việc để trở thành sinh viên đại học,Một công nhân ngành thép về hưu nghỉ chế độ,Một công nhân ngành thép mất việc do thay đổi về công nghệ
Yếu tố nào dưới đây được coi là nhân tố ổn định tự động của nền kinh tế:,Xuất khẩu,Thuế thu nhập lũy tiến và trợ cấp,Đầu tư,Thuế thu nhập tích luỹ
Lạm phát có thể do các nguyên nhân:,Tăng cung tiền,Tăng chi tiêu của chính phủ,Tăng lương và giá yếu tố sản xuất,Cả ba câu trên đều đúng
"Trong mô hình kinh tế của KEYNES, các chính sách kinh tế vĩ mô của chính phủ sẽ làm thay đổi:",Tổng cầu,Tổng cung,Giá cả,Các câu trên đều sai
"Giả sử trong tiến trình hội nhập, xuất khẩu của Việt Nam tăng nhiều hơn nhập khẩu của Việt Nam, thì trên thị trường ngoại hối chúng ta có thể dự tính rằng:","Cả đường cung và đường cầu ngoại tệ đều dịch chuyển sang phải, làm đồng nội tệ tăng giá",Đường cầu ngoại tệ dịch chuyển sang phải,"Cả đường cung và đường cầu ngoại tệ đều dịch chuyển sang phải, làm đồng nội tệ giảm giá",Đường cung ngoại tệ dịch sang phải
Yếu tố nào dưới đây không phải là tính chất của GDP thực:,Tính theo giá hiện hành,Đo lường toàn bộ sản lượng cuối cùng,Thường tính cho một năm,Không tính giá trị sản phẩm trung gian
Quota nhập khẩu là,Thuế đánh trên hàng nhập,Thuế nhập ở mức cao để ngăn cản hàng hóa nước ngoài bán ở trong nước,Một thỏa hiệp tự nguyện của một nước khác giới hạn bớt xuất khẩu,Một hạn mức tối đa áp dụng trên lượng hàng hóa có thể nhập vào một nước
"Giả sử Ngân Hàng NN mua 600 tỉ đồng công trái chính phủ từ các trung gian tài chính và giả sử những tổ chức này chuyển toàn bộ tiền bán vào ngân hàng. Nếu yêu cầu dự trữ là 20%, tác động tức thời trên hệ thống ngân hàng là",Có thêm 120 tỉ dự trữ,Có thêm 120 tỉ vượt mức dự trữ,Có thêm 480 tỉ tổng dự trữ,480 tỉ tăng thêm trong dự trữ bắt buộc
Biến động của yếu tố nào sau đây chỉ tác động đến tổng cung ngắn hạn và không tác động đến tổng cung dài hạn?,Lực lượng lao động,Tiền lương danh nghĩa,"Công nghệ, kỹ thuật",Giá dầu nhập khẩu
Sản lượng cân bằng đạt được khi:,Sản lượng thực tế bằng với tiêu dùng dự kiến,Sản lượng thực tế bằng với sản lượng tiềm năng,Tiêu dùng bằng với tiết kiệm,Cán cân ngân sách cân bằng
"Trong mô hình tổng cầu – tổng cung, trong dài hạn, việc tăng cung tiền dẫn tới:","Giá tăng, sản lượng tăng","Giá tăng, sản lượng không đổi","Giá tăng, tỷ lệ thất nghiệp giảm","Giá tăng, tỷ lệ thất nghiệp tăng"
Tổng sản phẩm quốc nội ( GDP) là:,Giá trị hàng hoá và dịch vụ được sản xuất ra trong một thời kỳ nhất định,Tổng giá trị hàng hoá và dịch vụ cuối cùng được tạo ra trong lãnh thổ kinh tế của một nước trong một thời kỳ nhất định,Tổng giá trị hàng hoá và dịch vụ cuối cùng do công dân nước đó tạo ra trong một thời kỳ nhất định,Tổng giá trị hàng hoá và dịch vụ tạo ra trên lãnh thổ của một nước trong một thời kỳ nhất định
"Trong một nền kinh tế mở có các số liệu như sau: tiêu dùng tự định: 60, đầu tư tự định: 600, chi tiêu của chính phủ về hàng hóa và dịch vụ: 3260, xuất khẩu: 2000, tiêu dùng biên: 0,75, thuế suất biên: 0,4, nhập khẩu biên: 0,25.ở mức sản lượng(thu nhập) thực tế là 7200, các xí nghiệp nên:",Thu hẹp sản xuất,Giữ nguyên sản lượng,Mở rộng sản xuất,Các câu trên đều saI
"Giả sử không có Chính phủ và ngoại thương nếu tiêu dùng tự định là 30, đầu tư là 40, MPS = 0,1. Mức sản lượng cân bằng là:",Khoảng 77,430,700,400
"Nếu có một sự giảm sút trong đầu tư của tư nhân 10 tỷ MPC = 0,75 mức sản lượng sẽ:",Giảm xuống 40 tỷ,Tăng 40 tỷ,"Giảm Xuống 13,33 tỷ","Tăng lên 13,33 tỷ"
"Khi nền kinh tế đạt được mức toàn dụng,  điều đó có nghĩa là:",Không còn lạm phát,Không còn thất nghiệp,Vẫn còn tồn tại một tỷ lệ lạm phát và thất nghiệp,Các lựa chọn đều sai
Cho biết: K=1/(1-MPC) . Đây là số nhân trong:,"Nền kinh tế đóng, không có Chính phủ","Nền kinh tế đóng, có Chính phủ",Nền kinh tế mở,Các lựa chọn đều có thể đúng
"Khi cung tiền và cầu tiền được biểu diễn bằng một đồ thị với trục tung là lãi suất và trục hoành là lượng tiền, mức giá tăng:",Làm dịch chuyển đường cầu tiền sang phải và làm tăng lãi suất cân bằng,Làm dịch chuyển đường cầu tiền sang trái và làm tăng lãi suất cân bằng,Làm dịch chuyển đường cầu tiền sang phải và làm giảm lãi suất cân bằng,Làm dịch chuyển đường cầu tiền sang trái và làm giảm lãi suất cân bằng
"Khi cung tiền và cầu tiền được biểu diễn bằng một đồ thị với trục tung là lãi suất và trục hoành là lượng tiền, sự cắt giảm thu nhập  làm:",Dịch chuyển đường cầu tiền sang phải và làm tăng lãi suất cân bằng,Dịch chuyển đường cầu tiền sang trái và làm tăng lãi suất cân bằng,Dịch chuyển đường cầu tiền sang phải và làm giảm lãi suất cân bằng,Dịch chuyển đường cầu tiền sang trái và làm giảm lãi suất cân bằng
Yếu tố nào trong các yếu tố sau đây ít có khả năng nhất trong việc kích thích sự gia tăng đầu tư:,Lãi suất giảm,Chi tiêu cho tiêu dùng tăng,Cạn kiệt hàng tồn kho,
Theo lý thuyết của Keynes kết hợp chính sách nào trong các chính sách sau đây thích hợp nhất đối với một Chính  phủ đang cắt giảm thất nghiệp:,Cắt giảm thuế & tăng chi tiêu của Chính phủ,"Phá giá, tăng thuế & cắt giảm chi tiêu của Chính phủ",Tăng thuế thu nhập & tăng chi tiêu của Chính phủ,"Phá giá, giảm thuế & giảm chi tiêu của Chính phủ"
Một sự gia tăng trong nhập khẩu tự định sẽ:,Dịch chuyển đường LM sang phải,Dịch chuyển đường IS sang phải,Dịch chuyển đường IS sang trái,Không ảnh hưởng đến đường IS
"Trên đồ thị, điểm cân bằng chung là giao điểm của đường IS  và đường LM,  biết rằng đầu tư hoàn toàn không co giãn theo lãi suất, chính sách tài khóa sẽ:",Ảnh hưởng nhiều hơn nếu áp dụng riêng rẽ,Không ảnh hưởng,Ảnh hưởng nhiều hơn nếu nó được kết hợp với chính sách mở rộng tiền tệ,Không có câu nào đúng
Mô hình tăng trưởng Solow:,"Mô tả quá trình sản xuất, phân phối và phân bổ sản lượng của nền kinh tế tại một thời điểm nhất định",Chỉ ra rằng tỷ lệ tiết kiệm là yếu tố then chốt quyết định khối lượng tư bản ở trạng thái dừng,Giả định lao động và công nghệ không thay đổi,
"Trong trạng thái dừng, đầu  tư bằng khấu  hao. Vậy,  tiêu dùng ở trạng thái dừng sẽ bằng:",Sản lượng trừ khấu hao,Sản lượng trừ tiết kiệm,Tiết kiệm cộng khấu hao,
Hạng mục nào dưới đây không nằm trong cách tính GNP,Lương giáo viên phổ thông,Chi tiêu trợ cấp xã hội,Công việc nội trợ được chi trả trong nước,
Định nghĩa nào dưới đây miêu tả chính xác nhất nợ quốc gia?,Chênh lệch hàng năm giữa chi tiêu Chính phủ với mức thuế thu được,Số lượng tiền VNĐ nợ IMF,Phần tích lũy thâm hụt cán cân thanh toán thực tế của Việt Nam,
"Trong một nền kinh tế mở có sự can thiệp của Chính phủ, điều kiện nào sau đây sẽ đảm bảo toàn dụng nhân  công?",Tiết kiệm bằng đầu tư,Thuế bằng chi tiêu chính phủ,Tiết kiệm + thuế + nhập khẩu = Đầu tư + Chi tiêu chính phủ + xuất khẩu,Không có lựa chọn nào đúng
Lý thuyết tiền lương hiệu quả cho rằng,Trên thị trường lao động đang có dư cầu về lao động,Doanh nghiệp cảm thấy có lợi hơn khi giữ cho tiền lương ở mức cao hơn mức làm cân bằng thị trường lao động ngay cả khi có tình trạng dư cung về lao động,Tiền lương mà người công nhân nhận được cao hơn mức công đoàn thương lượng với doanh nghiệp,
Những người lao động thất vọng,Được tính vào lực lượng lao động và góp phần làm tăng tỷ lệ thất nghiệp tự nhiên,Được tính vào lực lượng lao động và góp phần làm tăng tỷ lệ thất nghiệp không tự nguyện,Nằm ngoài lực lượng lao động và không được phản ánh trong con số thống kê thất nghiệp,Nằm ngoài lực lượng lao động và được tính vào tỷ lệ thất nghiệp tự nguyện
Điểm nào dưới đây sẽ được  xem là tài sản cho  một khách  hàng của một  ngân  hàng thương mại?,Tiền gửi Ngân hàng ở tài khoản vãng lai,Tín phiếu thương mại do ngân hàng giữ làm tài sản dự trữ,Số tiền rút quá mức tài khoản cá nhân cho phép,Tiền cho vay ứng trước của ngân hàng thương mại này bằng USD
Khi chính phủ giảm thuế đánh vào các đầu vào nhập  khẩu:,Đường tổng cầu dịch chuyển sang phải,Đường tổng cầu dịch chuyển sang trái,Đường tổng cung dịch chuyển sang phải,
"Sự  kiện  nào sau đây sẽ làm dịch chuyển  đường tổng cung ngắn  hạn,  nhưng  không làm  dịch chuyển đường  tổng cung dài hạn:",Sự thay đổi khối lượng tư bản,Sự thay đổi công nghệ,Sự thay đổi tiền lương danh nghĩa,
"Chính phủ trong một nền kinh tế chi tiêu cho hàng hóa và dịch vụ là 100 triệu USD và trợ cấp ở mức đến 10% thu nhập  quốc dân. Tỷ  lệ thuế trực thu là 30%. Tại mức thu nhập  nào, Chính phủ  cân đối được ngân sách:",300 triệu USD,500 triệu USD,650 triệu USD,480 triệu USD
"Chính phủ trong một nền kinh tế chi tiêu cho hàng hóa và dịch vụ là 100 triệu USD và trợ cấp ở mức đến 10% thu nhập  quốc dân. Tỷ  lệ thuế trực thu là 30%.  Trong  khung  thu nhập  nào, Chính  phủ bị thâm hụt ngân sách:",<300,<500,<650,<480
"Chính phủ trong một nền kinh tế chi tiêu cho hàng hóa và dịch vụ là 100 triệu USD và trợ cấp ở mức đến 10% thu nhập  quốc dân. Tỷ  lệ thuế trực thu là 30%. Trong  khung  thu nhập  nào, Chính phủ  có thặng  dư ngân sách:",>300,>500,>650,>480
