Question,A,B,C,D,Answer,Grade
Câu ca dao thể hiện tôn trọng pháp luật và kỉ luật,"Đất có lề, quê có thói",Phép vua thua lệ làng,Thương em anh để trong lòng Việc quan anh cứ phép công anh làm,"A, B, C",D,
"Tình bạn trong sáng, lành mạnh có ý nghĩa như thế nào?","Giúp cho con người cảm thấy ấm áp, tự tin, yêu đời và hoàn thiện mình hơn.",Giúp cho mọi người gần nhau hơn.,Giúp cho mọi người tôn trọng nhau hơn.,Giúp cho mọi người vui vẻ hơn,A,
"Tình cảm gắn bó giữa hai hoặc nhiều người trên cơ sở hợp nhau về tính tình, sở thích, lí tưởng được gọi là?",Tình yêu.,Tình bạn.,Tình đồng chí.,Tình anh em.,B,
"Đặc điểm của tình bạn trong sáng, lành mạnh là?",Bình đẳng và tôn trọng lẫn nhau.,Phù hợp với nhau về quan niệm sống.,"Thông cảm, đồng cảm sâu sắc với nhau.","Cả A, B, C.",D,
Em không tán thành ý kiến nào sau đây về tình bạn?,"Tình bạn trong sáng, lành mạnh không thể có từ một phía",Bạn bè phải biết bảo vệ nhau trong mọi trường hợp.,Biết phê bình nhau trong mọi trường hợp.,"Có thể có tình bạn trong sáng, lành mạnh giữa hai người khác giới.",C,
"D là bạn thân của E, trong giờ kiểm tra 15 phút E không học bài cũ nên lén thầy cô giở sách ra chép. Nếu là D em sẽ làm gì?","Nhắc nhở bạn, khuyên bạn không được làm như vậy vì vi phạm kỉ luật.",Nhờ bạn D cho xem tài liệu cùng.,Mặc kệ vì không liên quan đến mình.,Nói với cô giáo để bạn bị phạt.,A,
"Vào các dịp ngày lễ lớn trong năm thôn X thường tổ chức các hoạt động giao lưu văn hóa, văn nghệ, thể dục, thể thao để chào mừng; gia đình bà E thường không tham gia vì cho rằng mất thời gian. Em có nhận xét gì về gia đình bà E?",Gia đình bà E không tích cực tham gia các hoạt động chính trị - xã hội.,Gia đình bà E tích cực tham gia các hoạt động chính trị - xã hội.,Gia đình bà E sống ích kỉ.,Gia đình bà E sống vô cảm.,A,
"Các tổ chức chính trị do cơ quan, tổ chức nào quản lí?",Nhà nước.,Đảng Cộng sản Việt Nam.,"Không do cơ quan, tổ chức nào quản lí, hoạt động tự do.",Cả A và B.,D,
Tác hại của tệ nạn xã hội là?,"Ảnh hưởng đến sức khỏe, tinh thần và đạo đức con người.",Làm tan vỡ hạnh phúc gia đình.,"Rối loạn trật tự xã hội, suy thoái giống nòi dân tộc.","Cả A, B, C.",D,
Các loại tệ nạn xã hội là?,"Tham nhũng, nghiện game không lành mạnh.","Xâm hại tình dục trẻ em, trộm cắp, lừa đảo.","Ma túy, mại dâm.","Cả A, B, C.",D,
"Tệ nạn xã hội là là hiện tượng xã hội bao gồm những hành vi sai lệch chuẩn mực xã hội, vi phạm đạo đức và pháp luật, gây hậu quả nghiêm trọng về mọi mặt đối với đời sống xã hội được gọi là?",Tệ nạn xã hội.,Vi phạm pháp luật.,Vi phạm đạo đức.,Vi phạm quy chế.,A,
Hình thức cao nhất xử phạt vi phạm pháp luật là?,Tử hình.,Chung thân.,Phạt tù.,Cảnh cáo.,A,
Trẻ dưới 14 tuổi khi vi phạm pháp luật áp dụng hình thức nào?,Đưa vào trường giáo dưỡng 1 năm kể từ ngày vi phạm.,Cảnh cáo.,Phạt tù.,Khuyên răn.,D,
Thời gian dự phòng lây nhiễm HIV/AIDS tốt nhất là trong thời gian nào?,1 tiếng.,1 tuần.,Ngay sau 2-3 giờ đầu.,1 tháng.,C,
Tên gọi của 1 loại vi rút gây suy giảm miễn dịch ở người là?,HIV.,AIDS.,Ebola.,Cúm gà.,A,
Dấu hiệu lâm sàng chính khi mắc HIV/AIDS là?,Sút cân trên 10% trọng lượng cơ thể.,Sốt kéo dài trên 1 tháng.,Ỉa chảy kéo dài trên 1 tháng.,"Cả A, B, C.",D,
Virut HIV lây qua:,"Ăn, uống chung ly, chén với người nhiễm HIV","Muỗi, côn trùng chích hút máu người nhiễm HIV rồi chích sang người lành","Ho, hắt hơi","Hút thuốc lá, uống rượu bia chung với người nhiễm HIV",D,
"Các việc làm phòng, chống HIV/AIDS là?",Tuyên truyền tới mọi người tác hại của ma túy để mọi người phòng chống.,"Tham gia các hoạt động phòng, chống tại địa phương.","Không buôn bán, vận chuyển, tàng trữ chất ma túy.","Cả A, B, C.",D,
"Cơ quan, tổ chức nào được nghiên cứu, chế tạo, sản xuất, kinh doanh, xuất khẩu, nhập khẩu, sửa chữa vũ khí?","Tổ chức, doanh nghiệp thuộc Bộ Quốc Phòng và Bộ Công an.",Cá nhân.,Công ty tư nhân.,Tổ chức phản động.,A,
"Hành động nào sau đây không thực hiện đúng quy định về phòng ngừa tai nạn về vũ khí, cháy, nổ và các chất độc hại?",Sử dụng súng tự chế.,Cưa mìn để lấy thuốc nổ.,Dùng dao để đánh nhau.,"Cả A, B, C.",D,
"Các trường hợp nổ súng quân dụng khi thực hiện nhiệm vụ bảo đảm an ninh, trật tự là?","Đối tượng đang sử dụng vũ khí, vật liệu nổ, vũ lực hoặc công cụ, phương tiện khác tấn công hoặc chống trả đe dọa tính mạng, sức khỏe của người thi hành công vụ hoặc người khác.","Đối tượng đang sử dụng vũ khí, vật liệu nổ, vũ lực hoặc công cụ, phương tiện khác gây rối trật tự công cộng đe dọa tính mạng, sức khỏe, tài sản của người khác.","Khi biết rõ đối tượng đang thực hiện hành vi phạm tội nghiêm trọng, phạm tội rất nghiêm trọng, phạm tội đặc biệt nghiêm trọng.","Cả A, B, C.",D,
"Thuốc trừ sâu, thuốc diệt chuột là",Vũ khí,Chất độc hại,Chất thải,Chất nổ,B,
Chiếm hữu bao gồm?,Chiếm hữu của chủ sở hữu.,Chiếm hữu của người không phải chủ sở hữu.,Chiếm hữu hoàn toàn và chiếm hữu không hoàn toàn.,"Cả A, B.",D,
Việc ông A cho con gái thừa kế 1 mảnh đất đứng tên mình là ông thực hiện quyền nào?,Quyền sử dụng.,Quyền định đoạt.,Quyền chiếm hữu.,Quyền tranh chấp.,B,
Nhà nước … quyền sở hữu hợp pháp của công dân. Trong dấu “…” đó là?,Công nhận và chịu trách nhiệm.,Bảo hộ và chịu trách nhiệm.,Công nhận và đảm bảo.,Công nhận và bảo hộ.,D,
Trách nhiệm nhà nước bao gồm:,Ghi nhận trong Hiến pháp và các văn bản quy định pháp luật quyền sở hữu của công dân.,Quy định các biện pháp và hình thức xử lí đối với các hành vi xâm phạm quyền sở hữu…,"Tuyên truyền, giáo dục công dân cách thức bảo vệ quyền sở hữu của mình và ý thức tôn trọng quyền sở hữu của người khác.",Tất cả các đáp án trên đúng,D,
Sản xuất của cải vật chất là quá trình,Tạo ra của cải vật chất.,Sản xuất xã hội.,Con người tác động vào tự nhiên để tạo ra các sản phẩm phù hợp với như cầu của mình.,"Tạo ra cơm ăn, áo mặc, tạo ra tư liệu sản xuất.",C,
Một trong những vai trò của sản xuất của cải vật chất là,Cơ sở tồn tại của xã hội.,Tạo ra các giá trị vật chất và tinh thần,Giúp con người có việc làm.,Thúc đẩy tăng trưởng kinh tế.,A,
sản xuất của cải vật chất có vai trò quyết định,Mọi hoạt động của xã hội.,Số lượng hang hóa trong xã hội,Thu nhập của người lao động.,Việc làm của người lao động.,A,
"Trong các yếu tố cấu thành tư liệu lao động, yếu tố nào dưới đây quan trọng nhất?",Kết cấu hạ tầng của sản xuất.,Công cụ lao động.,Hệ thống bình chứa của sản xuất.,Cơ sở vật chất.,B,
Yếu tố nào dưới đây giữ vai trò quan trọng và quyết định nhất trong quá trình sản xuất?,Đối tượng lao động.,Sức lao động.,Tư liệu lao động.,Máy móc hiện đại.,B,
Một sản phẩm trở thành hang hóa cần có mấy điều kiện?,Hai điều kiện,Bốn điều kiện,Ba điều kiện,Một điều kiện,C,
Hàng hóa có hai thuộc tính là,Giá trị và giá cả,Giá trị trao đổi và giá trị sử dụng,Giá cả và giá trị sử dụng,Giá trị và giá trị sử dụng,D,
Giá trị của hàng hóa được thực hiện khi,Người sản xuất cung ứng hàng hóa phù hợp với nhu cầu nhu cầu của người tiêu dùng,Người sản xuất mang hàng hóa ra thị trường bán,Người sản xuất mang hàng hóa ra thị trường bán và bán được,Người sản xuất cung ứng được hàng hóa có nhiều giá trị sử dụng,C,
Vật phẩm nào dưới đây không phải là hàng hóa,Điện,Nước máy,Không khí,Rau trồng để bán,C,
"Công bằng, không thiên vị, giải quyết công việc theo lẽ phải, đặt lợi ích chung lên trên lợi ích cá nhân là biểu hiện của phẩm chất",Chí công vô tư,Khoan dung,"Tự giác, sáng tạo",Tự chủ,A,
Biểu hiện không phải là chí công vô tư là ?,"Trong công việc, ưu ái người nhà hơn người ngoài.",Giao công việc cho nam nhiều hơn nữ.,"Chỉ phạt những học sinh vi phạm, không phạt học sinh là cháu của giáo viên.","Cả A,B,C.",D,
Người chí công vô tư là người luôn sống,"ích kỉ, hẹp hòi.","mánh khoé, vụ lợi.","gió chiều nào, xoay chiều nấy.","công bằng, chính trực.",D,
"Không thiên vị, giải quyết công việc theo lẽ phải, xuất phát từ lợi ích chung, đặt lợi ích chung lên trên lợi ích cá nhân được gọi là ?",Đức tính khiêm nhường,Đức tính tiết kiệm,Đức tính trung thực,Đức tính chí công vô tư,D,
Ý kiến nào dưới đây thể hiện chí công vô tư?,Luôn nhận định theo số đông là chí công vô tư.,Cán bộ lớp đương nhiên là người chí công vô tư.,Cần thẳng thắn phê bình lỗi sai của người khác để họ sửa chữa.,Đừng bao giờ nêu khuyết điểm của người khác trước tập thể.,C,
"Ngoài giờ đi học, E tranh thủ thời gian ra đồng đi bắt cua để lấy tiền đóng học thêm. Việc làm đó thể hiện điều gì?",E là người tự chủ.,E là người trung thực.,E là người thật thà.,E là người khiêm nhường.,A,
Biểu hiện nào dưới đây thể hiện sự thiếu tự chủ?,"Ôn tồn, mềm mỏng, lịch sự khi giải quyết công việc.","Bình tĩnh, sáng suốt đưa ra những quyết định đúng đắn.","Hay nồi nóng, cãi vã, gây gỗ với mọi người xung quanh.","Không chán nản, tuyệt vọng khi gặp khó khăn.",C,
"Một bạn trong lớp đùa nghịch làm hỏng món đồ rất có y nghĩa của em. Là người tự chủ, em sẽ",Báo cáo cô giáo.,Bình tĩnh nói chuyện với bạn.,Yêu cầu bạn mua đền món đồ.,Nghĩ cách trả thù lại bạn.,B,
"Trên đường đi học về, N gặp 1 vụ tai nạn giao thông thảm khốc, trên đường có cảnh người bị chảy máu rất nhiều, em nhỏ bị gãy chân, trước tình huống đó N cùng mọi người giúp đỡ đưa họ vào bệnh viện và gọi điện thoại báo tin cho gia đình họ. Việc làm đó thể hiện điều gì?",N là người tự chủ.,N là người trung thực.,N người thật thà.,N là người tôn trọng người khác.,A,
Câu ca dao tục ngữ nào thể hiện tự chủ?,Học thầy không tày học bạn.,Kiến tha lâu ngày cũng đầy tổ.,Tích tiểu thành đại.,Dù ai nói ngả nói nghiêng/ Lòng ta vẫn vững như kiềng ba chân.,D,
Câu “Gió chiều nào che chiều ấy” nói về người không có tính,Tự chủ,Sáng tạo,Năng động,Cần cù,A,
"Thầy giao bài tập về nhà môn Toán, B đọc và suy nghĩ mãi không làm được nên B lên mạng tìm lời giải và chép lời giải coi như làm xong bài tập về nhà. B là người như thế nào?",B là người không thật thà.,B là người không thẳng thắn.,B là người không tự chủ.,B là người không tự tin.,C,
Hành vi nào dưới đây vi phạm kỉ luật của học sinh?,Đi học đúng giờ,Nghỉ học không xin phép.,Tự ý bỏ việc không báo trước.,Phát biểu trong các cuộc họp lớp.,B,
"Mọi người được làm chủ công việc của tập thể của xã hội, được tham gia đóng góp ý kiến, giám sát những công việc chung được gọi là ?",Khiêm nhường,Dân chủ,Trung thực,Kỉ luật.,B,
"Trong buôi thảo luận để xây dựng kế hoạch hoạt động ngoại khoá cho lớp, việc làm nào dưới đây chưa phát huy được tính dân chủ và kỉ luật của học sinh?",Để cán bộ lớp quyết định.,Sôi nổi đề xuất ý kiến,Tôn trọng ý kiến của tập thể,Tích cực tham gia các hoạt động của lớp.,A,
"Trong các hoạt động của lớp, bạn lớp trưởng luôn đưa ra quyết định và yêu cầu các bạn thực hiện theo. Nếu là một thành viên trong lớp đó, em sẽ làm gì để phát huy tính dân chủ và kỉ luật?",Không tham gia các hoạt động của lớp.,Nghe theo mọi quyết định của lớp trưởng.,Cãi nhau để phản đối ý kiến của lớp trưởng.,Thẳng thắn góp ý để bạn lớp trưởng rút kinh nghiệm.,D,
Việc làm nào dưới đây góp phân bảo vệ hoà bình cho nhân loại?,"Kích động, chia rẽ giữa các dân tộc, tôn giáo","Gây chiến tranh, khủng bố ở nhiều nơi trên thế giới","Thiết lập quan hệ hợp tác, hữu nghị giữa các dân tộc",Hạn chế quan hệ với các nước khác để tránh xảy ra xung đột,C,
Bảo vệ hoà bình là trách nhiệm của,tất cả các quốc gia trên thế giới.,những nước đang phát triển,những nước đang có chiến tranh,chỉ những nước lớn,A,
"Gìn giữ cuộc sống xã hội bình yên, dùng thương lượng, đàm phán để giải quyết mọi mâu thuẫn, xung đột giữa các dân tộc, tôn giáo và quốc gia được gọi là",Bảo vệ đất nước,Hoạt động chính trị,Bảo vệ hòa bình,Hoạt động ngoại giao,C,
"Làm việc có năng suất, chất lượng, hiệu quả là tạo ra nhiều sản phẩm",kém chất lượng.,trong một thời gian nhất định.,có giá trị cao trong một thời gian nhất định.,có chất lượng nhưng mất nhiều thời gian.,C,
"Biểu hiện của việc làm việc không năng suất, chất lượng, hiệu quả là?",Làm việc riêng trong giờ.,Vừa xem ti vi vừa ăn cơm.,Vừa học vừa xem ti vi.,"Cả A,B,C.",D,
"Làm việc có năng suất, chất lượng, hiệu quả là ...đối với mỗi người trong thời đại ngày nay. Trong dấu “...” là?",Yêu cầu.,Điều kiện.,Tiền đề.,Động lực.,A,
"Ý kiến nào dưới đây không phải ý nghĩa của làm việc có năng suất, chất lượng, hiệu quả?",Giúp mỗi người đạt được mọi mục đích đã đề ra.,Góp phân nâng cao chất lượng cuộc sống của mỗi cá nhân.,Là yêu cầu của người lao động trong xã hội hiện đại.,Thúc đẩy sự phát triển của đất nước trong thời kì hội nhập.,A,
"Để đạt hiệu quả trong học tập, học sinh cần","học ít, chơi nhiều.",thức khuya để học bài.,chép bài của bạn.,chép bài của bạn.,D,
Tạo ra được nhiêu sản phẩm có giá trị cao về cả nội dung và hình thức trong một thời gian nhất định là biểu hiện của,tự chủ trong công việc.,hợp tác cùng phát triển.,"năng động, sáng tạo trong công việc","làm việc có năng suất, chất lượng, hiệu quả.",D,
Hôn nhân hạnh phúc phải được xây dựng trên cơ sở quan trọng nào dưới đây?,Hoàn cảnh gia đình tương xứng,Hợp nhau về gu thời trang.,Tình yêu chân chính,Có việc làm ổn định.,C,
Em không đồng ý với ý kiến nào dưới đây khi nói về hôn nhân?,Hôn nhân phải được Nhà nước thừa nhận.,Mục đích chính của hôn nhân là để duy trì và phát triển kinh tế.,"Hôn nhân nhằm mục đích chung sống lâu dài và xây dựng gia đình hoà thuận, hạnh phúc.","Hôn nhân là sự liên kết đặc biệt giữa một nam và một nữ trên nguyên tắc bình đẳng, tự nguyện.",B,
Hậu quả nào dưới đây không phải của nạn tảo hôn?,Không thể gặp lại người thân.,Làm giảm chất lượng dân số.,Ảnh hưởng xấu đến sức khoẻ của cả mẹ và con.,Mâu thuẫn trong gia đình do vợ chồng còn quá trẻ.,A,
Ý nào dưới đây vi phạm nguyên tắc cơ bản của chế độ hôn nhân ở Việt Nam?,"Hôn nhân tiến bộ, một vợ một chồng, vợ chồng bình đẳng.","Hôn nhân tự nguyện, tiến bộ, không ai có quyền can thiệp.",Hôn nhân giữa người theo tôn giáo với người không theo tôn giáo.,Hôn nhân cùng lúc giữa một công dân Việt Nam với hai người nước ngoài.,D,
"Dựa vào kiến thức bài quyền và nghĩa vụ của công dân trong hôn nhân, em không đồng ý với quan điểm nào dưới đây?","Ép dầu ép mỡ, ai nỡ ép duyên.",Con hư tại mẹ cháu hư tại bà.,Thuận vợ thuận chồng tát biển Đông cũng cạn.,Chồng em áo rách em thương/ Chồng người áo gấm sông hương mặc người.,B,
Hoạt động lao động tạo ra thu nhập mà không bị pháp luật cắm được gọi là,học nghề,việc làm,cải tạo,hướng nghiệp.,B,
Những hành vi nào dưới đây là không đúng với luật lao động,Bắt trẻ dưới 15 tuổi vào làm việc.,Công dân đủ 16 tuổi được nhận vào các công ty để làm việc.,Được nghỉ tất cả các ngày lễ tết theo quy định của nhà nước.,"Được tham hỏi những lúc ốm đau, bệnh tật.",A,
Một trong những nội dung về bình đẳng trong thực hiện quyền lao động là mọi người đều có quyền lựa chọn ?,việc làm theo sở thích của mình.,việc làm phù hợp với khả năng của mình mà không bị phân biệt đối xử.,điều kiện làm việc theo nhu cầu của mình.,thời gian làm việc theo ý muốn chủ quan của mình.,B,
"Vi phạm pháp luật dân sự là hành vi vi phạm pháp luật, xâm phạm tới",các quan hệ công vụ và nhân thân,các quy tắc quản lí nhà nước.,các quy tắc quản lí nhà nước.,"các quan hệ lao động, công vụ nhà nước.",C,
Nhà nước đưa ra trách nhiệm pháp lý là nhằm :,Phạt tiền người vi phạm.,"Buộc chủ thể vi phạm chấm dứt hành vi trái pháp luật, phải chịu những thiệt hại nhất định; giáo dục răn đe những người khác.",Lập lại trật tự xã hội.,Ngăn chặn người vi phạm có thể có vi phạm mới.,B,
"Nghĩa vụ mà các cá nhân, cơ quan, tô chức vi phạm pháp luật phải chấp hành những biện pháp bắt buộc do Nhà nước quy định được gọi là",trách nhiệm pháp lí,vi phạm pháp luật.,trách nhiệm gia đình,vi phạm đạo đức.,A,
“tội phạm” là người có hành vi vi phạm,pháp luật dân sự,pháp luật hành chính.,pháp luật hình sự,kỉ luật.,C,
Nhà bạn B rất nghèo nhưng bạn B luôn ăn chơi đua đòi và đòi mẹ phải mua cho chiếc điện thoại Iphone thì mới chịu đi học. Em có nhận xét gì về bạn B?,"Bạn B là người sống xa hoa, lãng phí.",Bạn B là người vô tâm.,Bạn B là người tiết kiệm.,Bạn B là người vô ý thức.,A,
Biểu hiện của sống giản dị là?,"Ăn nói ngắn gọn, dễ hiểu, lịch sự.","Ăn mặc gọn gàng, không lòe loẹt.",Sống hòa đồng với bạn bè.,"Cả A, B, C.",D,
Sống giản dị có ý nghĩa như thế nào đối với mỗi người ?,"Được mọi người yêu mến, cảm thông và giúp đỡ.",Được mọi người chia sẻ khó khăn.,Được mọi người yêu mến.,Được mọi người giúp đỡ.,A,
Đối lập với giản dị là?,"Xa hoa, lãng phí.","Cần cù, siêng năng.",Tiết kiệm.,Thẳng thắn.,A,
Biểu hiện của sống không giản dị là?,"Chỉ chơi với người giàu, không chơi với người nghèo.",Không chơi với bạn khác giới.,Không giao tiếp với người dân tộc.,"Cả A,B,C.",D,
Tại trường em nhà trường có quy định đối với học sinh nữ không được đánh son khi đến trường. Tuy nhiên ở lớp em một số bạn nữ vẫn đánh son và trang điểm rất đậm khi đến lớp. Hành động đó nói lên điều gì?,Lối sống không giản dị.,Lối sống tiết kiệm.,Đức tính cần cù.,Đức tính khiêm tốn.,A,
"Sống giản dị là sống phù hợp với….của bản thân, gia đình và xã hội?. Trong dấu “…” đó là?",Điều kiện.,Hoàn cảnh.,"Điều kiện, hoàn cảnh.",Năng lực.,C,
Sống giản dị là:,"Quần áo gọn gàng, sạch sẽ, không ăn mặc áo quần trông lạ mắt so với mọi người.","Tác phong tự nhiên, đi đứng đàng hoàng, không điệu bộ, kiểu cách.","Thực hiện đúng nội quy của nhà trường đề ra, trang phục khi đến trường sạch sẽ, tươm tất, lịch sử, bảo vệ của công, không xa hoa lãng phí.",Tất cả các đáp án trên,D,
Tục ngữ: “Cây ngay không sợ chết đứng” nói về đức tính gì ?,Giản dị.,Tiết kiệm.,Trung thực.,Khiêm tốn.,C,
Ca dao tục ngữ thể hiện tính trung thực,Cây ngay không sợ chết đứng,Ăn ngay nói thật mọi tật mọi lành,Người gian thì sợ người ngay/ Người ngay chẳng sợ đường cày cong queo,"A, B, C đúng",D,
"Sống ngay thẳng, thật thà và dám dũng cảm nhận lỗi khi mình mắc khuyết điểm nói về đức tính nào ?",Đức tính thật thà.,Đức tính khiêm tốn.,Đức tính tiết kiệm.,Đức tính trung thực.,D,
Hành vi nào sau đây không biểu hiện tính trung thực.,Không chỉ bài cho bạn trong giờ kiểm tra,Không bao che cho bạn khi mắc lỗi,Để đạt điểm cao khi kiểm tra N nhìn trộm bài của bạn,Nhặt được của rơi trả cho người bị mất,C,
Đối lập với trung thực là?,Giả dối.,Tiết kiệm.,Chăm chỉ.,Khiêm tốn.,A,
"Trong giờ sinh hoạt lớp, trong tuần 3 bạn K bị mắc 7 lỗi nói chuyện trong giờ học và 2 lỗi vi phạm quy chế thi. Đã nhiều lần cô giáo nhắc nhở nhưng bạn K vẫn vi phạm và bạn K cho rằng bạn K làm gì thì kệ bạn K không liên quan đến các bạn và cô giáo. Là bạn học cùng lớp em sẽ làm gì để giúp bạn K cải thiện tính đó?",Không quan tâm vì không liên quan đến mình.,Nói với bố mẹ bạn K để bố mẹ bạn K dạy giỗ.,Không chơi cùng với bạn K vì bạn K là người vô ý thức.,"Nhắc nhở, giúp đỡ bạn trong học tập và khuyên bạn không được làm như vậy vì vi phạm kỉ luật.",D,
Đã nhiều lần bạn V hứa trước lớp là sẽ không nói chuyện trong giờ. Nhiều lần nhắc nhỏ nhưng bạn V vẫn vi phạm lỗi. Điều đó cho thấy V là người như thế nào?,V là người không có lòng tự trọng.,V là người lười biếng.,V là người dối trá.,V là người vô cảm.,A,
Không làm được bài nhưng kiên quyết không quay cóp và không nhìn bài của bạn. Hành động đó thể hiện?,Thật thà.,Lòng tự trọng.,Chăm chỉ.,Khiêm tốn.,B,
Người không có tự trọng,Luôn làm sai,Luôn trách mắng người khác mà không nhận lỗi ở mình,Luôn trốn tránh những công việc được giao,"A, B, C",D,
"Tục ngữ: “Đói cho sạch, rách cho thơm” nói đến điều gì ?",Giản dị.,Tiết kiệm.,Lòng tự trọng.,Khiêm tốn.,C,
"Trong giờ chào cờ, bạn Q liên tục ngồi nói chuyện, nói tục và chửi bậy các bạn trong lớp. Thầy giáo P đã phát hiện bạn Q nói chuyện trong giờ chào cờ nên đề nghị bạn Q lên đứng trước cờ. Tuy nhiên bạn Q đứng trước cờ nhưng vẫn cười đùa, trêu trọc các bạn ngồi dưới. Điều đó cho thấy Q là người như thế nào?",Q là người vô duyên.,Q là người vô cảm.,Q là người không trung thực.,Q là người không có lòng tự trọng.,D,
"Gia đình bạn H là gia đình nghèo, bố bạn bị bệnh hiểm nghèo. Nhà trường miễn học phí cho bạn, lớp tổ chức đi thăm hỏi, động viên ban. Hành động đó thể hiện điều gì?",Lòng yêu thương mọi người.,Tinh thần đoàn kết.,Tinh thần yêu nước.,Lòng trung thành.,A,
Yêu cầu của làm việc có kế hoạch,Cân đối các nhiệm vụ,Thời gian hợp lý,Đảm bảo thời gian nghĩ ngơi và học tập,"A, B, C",D,
Em thử dự đoán xem với cách làm việc theo kế hoạch thì sẽ đem lại kết quả gì?,"Hoàn thành công việc đến nơi đến chốn và có hiệu quả, không bỏ sót công việc",Chủ động thời gian làm việc,Nề nếp,"A, B, C",D,
Nhờ đâu mà Bác Hồ biết được nhiều thứ tiếng ?,Sống và làm việc có kế hoạch.,"Siêng năng, cần cù.",Tiết kiệm.,"Cả A, B, C",D,
Thế nào là sống và làm việc có kế hoạch,Xác định nhiệm vụ,Sắp xếp công việc,"A, B đúng","A, B sai",C,
Con dại cái mang muốn nói đến trách nhiệm của ai đối với trẻ em,Gia đình,Nhà trường,Xã hội,Nhà nước,A,
Quyền được bảo vệ trẻ em không bao gồm những quyền nào sau đây?,"Quyền được bảo vệ tính mạng, thân thể",Quyền được khai sinh có quốc tịch,Quyền được học tập dạy dỗ,Quyền được bảo vệ danh dự nhân phẩm,C,
Các loại luật liên quan đến quyền trẻ em là?,Hiến pháp.,"Luật bảo vệ, chăm sóc và giáo dục trẻ em.",Luật hôn nhân và gia đình.,"Cả A, B, C.",D,
Các loại luật liên quan đến quyền trẻ em là?,Hiến pháp.,"Luật bảo vệ, chăm sóc và giáo dục trẻ em.",Luật hôn nhân và gia đình.,"Cả A, B, C.",D,
Ngày môi trường thế giới là?,5/6.,5/7.,5/8.,5/9.,A,
Nhận định đúng nhất về tài nguyên rừng của nước ta hiện nay là,Tài nguyên rừng đang tiếp tục bị suy giảm cả về số lượng lẫn chất lượng.,Dù tổng diện tích rừng đang được phục hồi nhưng chất lượng vẫn tiếp tục suy giảm.,Tài nguyên rừng của nước ta đang được phục hồi cả về số lượng lẫn chất lượng.,Chất lượng rừng đã được phục hồi nhưng diện tích rừng đang giảm sút nhanh,B,
