Question,Label,Fed_prompt
"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
Lưu ý, hãy đưa ra câu trả lời chỉ có nội dung của phần lựa chọn bị che, câu trả lời của bạn phải có nội dung khác với các lựa chọn còn lại.
### Câu hỏi: Đặc sắc nghệ thuật của truyện ngắn ""Tôi đi học""?
### Lựa chọn:
A: [MASKED] 
B: Sự kết hợp hài hoà giữa kể, miêu tả với bộc lộ tâm trạng cảm xúc.
C: Cả A và B đúng 
D: Cả A và B sai","Truyện được bố cục theo dòng hồi tưởng, cảm nghĩ của nhân vật ""tôi"" theo trình tự thời gian của buổi tựu trường.","### Câu hỏi: Đặc sắc nghệ thuật của truyện ngắn ""Tôi đi học""?
### Lựa chọn:
A:"
"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
Lưu ý, hãy đưa ra câu trả lời chỉ có nội dung của phần lựa chọn bị che, câu trả lời của bạn phải có nội dung khác với các lựa chọn còn lại.
### Câu hỏi: Hai câu văn sau trong tác phẩm “Tôi đi học” đã thể hiện những đức tính gì của ông đốc và thầy giáo trẻ?
### Lựa chọn:
A: Rất vui vẻ. 
B: [MASKED]
C: Rất hiền hậu. 
D: Cả 3 ý trên đều đúng",Hết lòng săn sóc và thương yêu học sinh.,"### Câu hỏi: Hai câu văn sau trong tác phẩm “Tôi đi học” đã thể hiện những đức tính gì của ông đốc và thầy giáo trẻ?
### Lựa chọn:
A: Rất vui vẻ.
B:"
"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
Lưu ý, hãy đưa ra câu trả lời chỉ có nội dung của phần lựa chọn bị che, câu trả lời của bạn phải có nội dung khác với các lựa chọn còn lại.
### Câu hỏi: Ý nào nói đúng nhất tác dụng của biện pháp tu từ so sánh được sử dụng trong câu văn: “Tôi quên thế nào được những cảm giác trong sáng ấy nảy nở trong lòng tôi như mấy cành hoa tươi mỉm cười giữa bầu trời quang đãng”?
### Lựa chọn:
A: Tô đậm cảm giác trong trẻo, tươi sáng của nhân vật “tôi” ngay trong ngày đến trường đầu tiên. 
B: Nói lên nỗi nhớ thường trực của nhân vật “tôi” về ngày đến trường đầu tiên.
C: Cho người được thấy được những kỉ niệm trong buổi sáng đến trường đầu tiên luôn được in đậm trong tâm trí nhân vật “tôi”. 
D: [MASKED]",Tô đậm vẻ đẹp của những cành hoa tươi nở giữa bầu trời quang đãng.,"### Câu hỏi: Ý nào nói đúng nhất tác dụng của biện pháp tu từ so sánh được sử dụng trong câu văn: “Tôi quên thế nào được những cảm giác trong sáng ấy nảy nở trong lòng tôi như mấy cành hoa tươi mỉm cười giữa bầu trời quang đãng”?
### Lựa chọn:
A: Tô đậm cảm giác trong trẻo, tươi sáng của nhân vật “tôi” ngay trong ngày đến trường đầu tiên.
B: Nói lên nỗi nhớ thường trực của nhân vật “tôi” về ngày đến trường đầu tiên.
C: Cho người được thấy được những kỉ niệm trong buổi sáng đến trường đầu tiên luôn được in đậm trong tâm trí nhân vật “tôi”.
D:"
"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
Lưu ý, hãy đưa ra câu trả lời chỉ có nội dung của phần lựa chọn bị che, câu trả lời của bạn phải có nội dung khác với các lựa chọn còn lại.
### Câu hỏi: Ý nào nói đúng nhất tác dụng của biện pháp tu từ được tác giả Thanh Tịnh sử dụng trong đoạn văn
### Lựa chọn:
A: Tô đậm tâm trạng, cảm giác của nhân vật 'tôi' khi nhìn các bạn, thấy các bạn cũng sợ sệt, vụng về như mình 
B: Tô đậm tâm trạng, cảm giác của mấy cậu học trò mới khi đứng bên người thân trước giờ vào lớp học
C: [MASKED] 
D: Cả A, B, C đều đúng","Tô đậm niềm mong ước được biết lớp, biết thầy để khỏi phải rụt rè trong khung cảnh trường lớp xa lạ của mấy cậu học trò mới","### Câu hỏi: Ý nào nói đúng nhất tác dụng của biện pháp tu từ được tác giả Thanh Tịnh sử dụng trong đoạn văn
### Lựa chọn:
A: Tô đậm tâm trạng, cảm giác của nhân vật 'tôi' khi nhìn các bạn, thấy các bạn cũng sợ sệt, vụng về như mình
B: Tô đậm tâm trạng, cảm giác của mấy cậu học trò mới khi đứng bên người thân trước giờ vào lớp học
C:"
"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
Lưu ý, hãy đưa ra câu trả lời chỉ có nội dung của phần lựa chọn bị che, câu trả lời của bạn phải có nội dung khác với các lựa chọn còn lại.
### Câu hỏi: Văn bản “ Tôi đi học” có chủ đề gì?
### Lựa chọn:
A: Kỷ niệm sâu sắc về tuổi học trò của tác giả. 
B: Ý nghĩa và vai trò của nhà trường đối với cuộc đời mỗi con người.
C: Dòng cảm nghĩ thiết tha sâu lắng của tác giả khi nhớ lại ngày đầu tiên đi học. 
D: [MASKED]",Tâm trạng hồi hộp của nhân vật trong buổi tựu trường đầu tiên.,"### Câu hỏi: Văn bản “ Tôi đi học” có chủ đề gì?
### Lựa chọn:
A: Kỷ niệm sâu sắc về tuổi học trò của tác giả.
B: Ý nghĩa và vai trò của nhà trường đối với cuộc đời mỗi con người.
C: Dòng cảm nghĩ thiết tha sâu lắng của tác giả khi nhớ lại ngày đầu tiên đi học.
D:"
"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
Lưu ý, hãy đưa ra câu trả lời chỉ có nội dung của phần lựa chọn bị che, câu trả lời của bạn phải có nội dung khác với các lựa chọn còn lại.
### Câu hỏi: Nhận xét nào không đúng về thái độ, cử chỉ của những người lớn đối với các em bé lần đầu đi học?
### Lựa chọn:
A: Ông đốc là một người lãnh đạo nhà trường rất hiền từ, nhân ái với học sinh. 
B: Thầy giáo trẻ niềm nở, tươi cười đón nhận học sinh lớp mới.
C: Cha mẹ đều chuẩn bị chu đáo cho con em mình trong buổi đầu tựu trường 
D: [MASKED]","Thầy giáo nghiêm khắc nhắc nhở, đón nhận học sinh lớp mới.","### Câu hỏi: Nhận xét nào không đúng về thái độ, cử chỉ của những người lớn đối với các em bé lần đầu đi học?
### Lựa chọn:
A: Ông đốc là một người lãnh đạo nhà trường rất hiền từ, nhân ái với học sinh.
B: Thầy giáo trẻ niềm nở, tươi cười đón nhận học sinh lớp mới.
C: Cha mẹ đều chuẩn bị chu đáo cho con em mình trong buổi đầu tựu trường
D:"
"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
Lưu ý, hãy đưa ra câu trả lời chỉ có nội dung của phần lựa chọn bị che, câu trả lời của bạn phải có nội dung khác với các lựa chọn còn lại.
### Câu hỏi: Trong các từ sau, từ nào có ý nghĩa khái quát nhất?
### Lựa chọn:
A: Nức nở 
B: Khóc
C: [MASKED] 
D: Sụt sịt",Thút thít,"### Câu hỏi: Trong các từ sau, từ nào có ý nghĩa khái quát nhất?
### Lựa chọn:
A: Nức nở
B: Khóc
C:"
"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
Lưu ý, hãy đưa ra câu trả lời chỉ có nội dung của phần lựa chọn bị che, câu trả lời của bạn phải có nội dung khác với các lựa chọn còn lại.
### Câu hỏi: Câu văn nào sau đây trong văn bản Tôi đi học của Thanh Tịnh không sử dụng biện pháp so sánh để nói lên tâm trạng của nhân vật ""tôi""
### Lựa chọn:
A: Họ như con chim non đứng bên bờ tổ, nhìn quãng trời rộng muốn bay, nhưng còn ngập ngừng e sợ 
B: [MASKED]
C: Ý nghĩ ấy thoáng qua trong trí tôi nhẹ nhàng như một làn mây lướt ngang trên ngọn núi 
D: Trong lúc ông ta đọc tên từng người, tôi cảm thấy như quả tim tôi ngừng đập",Tôi quên thế nào được những cảm giác trong sáng ấy nảy nở trong lòng tôi như mấy cành hoa tươi mỉm cười giữa bầu trời quang đãng,"### Câu hỏi: Câu văn nào sau đây trong văn bản Tôi đi học của Thanh Tịnh không sử dụng biện pháp so sánh để nói lên tâm trạng của nhân vật ""tôi""
### Lựa chọn:
A: Họ như con chim non đứng bên bờ tổ, nhìn quãng trời rộng muốn bay, nhưng còn ngập ngừng e sợ
B:"
"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
Lưu ý, hãy đưa ra câu trả lời chỉ có nội dung của phần lựa chọn bị che, câu trả lời của bạn phải có nội dung khác với các lựa chọn còn lại.
### Câu hỏi: Nội dung chính tác giả muốn làm nổi bật trong đoạn văn trên là gì?
### Lựa chọn:
A: [MASKED] 
B: Cảm giác vừa xa lạ, vừa gần gũi với mọi vật trong lớp học và với người bạn ngồi bên cạnh.
C: Sự quyến luyến của nhân vật 'tôi' với lớp học và người bạn tí hon ngồi bên cạnh. 
D: Cảm giác vừa ngỡ ngàng vừa tự tin của nhân vật 'tôi' khi bước vào lớp học cùng các bạn.",Sự làm quen nhanh chóng của nhân vật 'tôi' với lớp học và người bạn tí hon ngồi bên cạnh.,"### Câu hỏi: Nội dung chính tác giả muốn làm nổi bật trong đoạn văn trên là gì?
### Lựa chọn:
A:"
"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
Lưu ý, hãy đưa ra câu trả lời chỉ có nội dung của phần lựa chọn bị che, câu trả lời của bạn phải có nội dung khác với các lựa chọn còn lại.
### Câu hỏi: Tác phẩm Tôi đi học của Thanh Tịnh được in trong tác phẩm nào?
### Lựa chọn:
A: Quê mẹ. 
B: [MASKED]
C: Những giọt nước biển. 
D: Hận chiến trường.",Ngậm ngải tìm trầm.,"### Câu hỏi: Tác phẩm Tôi đi học của Thanh Tịnh được in trong tác phẩm nào?
### Lựa chọn:
A: Quê mẹ.
B:"
"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
Lưu ý, hãy đưa ra câu trả lời chỉ có nội dung của phần lựa chọn bị che, câu trả lời của bạn phải có nội dung khác với các lựa chọn còn lại.
### Câu hỏi: Dòng nào không nói về nội dung của văn bản Tôi đi học?
### Lựa chọn:
A: Lễ khai giảng ở một trường nông thôn miền Trung. 
B: Tình yêu thiên nhiên của tuổi thơ.
C: [MASKED] 
D: Tình cảm yêu thương, ân cần của người lớn đối với trẻ thơ.",Ghi lại những cảm giác trong sáng của một học trò trong những ngày đầu đi học.,"### Câu hỏi: Dòng nào không nói về nội dung của văn bản Tôi đi học?
### Lựa chọn:
A: Lễ khai giảng ở một trường nông thôn miền Trung.
B: Tình yêu thiên nhiên của tuổi thơ.
C:"
"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
Lưu ý, hãy đưa ra câu trả lời chỉ có nội dung của phần lựa chọn bị che, câu trả lời của bạn phải có nội dung khác với các lựa chọn còn lại.
### Câu hỏi: Nhận xét: “Sử dụng thể loại hồi ký với lời văn chân thành, giọng điệu trữ tình tha thiết” phù hợp với văn bản nào?
### Lựa chọn:
A: Trong lòng mẹ. 
B: Lão Hạc.
C: Tôi đi học. 
D: [MASKED]",Tức nước vỡ bờ.,"### Câu hỏi: Nhận xét: “Sử dụng thể loại hồi ký với lời văn chân thành, giọng điệu trữ tình tha thiết” phù hợp với văn bản nào?
### Lựa chọn:
A: Trong lòng mẹ.
B: Lão Hạc.
C: Tôi đi học.
D:"
"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
Lưu ý, hãy đưa ra câu trả lời chỉ có nội dung của phần lựa chọn bị che, câu trả lời của bạn phải có nội dung khác với các lựa chọn còn lại.
### Câu hỏi: Nhận định nào sau đây nói đúng nhất về chủ đề của tác phẩm ?
### Lựa chọn:
A: Tôi đi học tô đậm cảm giác trong sáng nảy nở trong lòng nhân vật ""tôi"" ở buổi đến trường đầu tiên 
B: Tôi đi học đậm cảm giác lạ lẫm, sợ sệt của nhân vật ""tôi"" ở buổi đến trường đầu tiên
C: [MASKED] 
D: Tôi đi học đậm nềm vui sướng hân hoan của nhân vật ""tôi"" và các bạn vào ngày khai trường đầu tiên","Tôi đi học tô đậm tận tình và âu yếm của những người lớn như người mẹ, ông đôc,....đối với những em bé lần đầu đến trường","### Câu hỏi: Nhận định nào sau đây nói đúng nhất về chủ đề của tác phẩm ?
### Lựa chọn:
A: Tôi đi học tô đậm cảm giác trong sáng nảy nở trong lòng nhân vật ""tôi"" ở buổi đến trường đầu tiên
B: Tôi đi học đậm cảm giác lạ lẫm, sợ sệt của nhân vật ""tôi"" ở buổi đến trường đầu tiên
C:"
"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
Lưu ý, hãy đưa ra câu trả lời chỉ có nội dung của phần lựa chọn bị che, câu trả lời của bạn phải có nội dung khác với các lựa chọn còn lại.
### Câu hỏi: Ý nào dưới đây không có trong văn bản?
### Lựa chọn:
A: Tâm trạng của tôi khi ở trong lớp học 
B: Tâm trạng của tôi khi đứng giữa sân trường
C: [MASKED] 
D: Tâm trạng của tôi khi tan học về nhà",Tâm trạng của tôi khi được ông đốc gọi tên,"### Câu hỏi: Ý nào dưới đây không có trong văn bản?
### Lựa chọn:
A: Tâm trạng của tôi khi ở trong lớp học
B: Tâm trạng của tôi khi đứng giữa sân trường
C:"
"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
Lưu ý, hãy đưa ra câu trả lời chỉ có nội dung của phần lựa chọn bị che, câu trả lời của bạn phải có nội dung khác với các lựa chọn còn lại.
### Câu hỏi: Dòng nào dưới đây chứa các từ ngữ cùng một trường từ vựng nhà trường?
### Lựa chọn:
A: Trường, lớp, bảng đen, phấn trắng, xe cộ 
B: [MASKED]
C: Lớp học, bàn ghế, sách vở, bút thước, phấn bảng 
D: Bàn ghế, sách vở, bút thước, mưa bão","Bảng đen, lớp học, hoa quả, thầy giáo, học sinh","### Câu hỏi: Dòng nào dưới đây chứa các từ ngữ cùng một trường từ vựng nhà trường?
### Lựa chọn:
A: Trường, lớp, bảng đen, phấn trắng, xe cộ
B:"
"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
Lưu ý, hãy đưa ra câu trả lời chỉ có nội dung của phần lựa chọn bị che, câu trả lời của bạn phải có nội dung khác với các lựa chọn còn lại.
### Câu hỏi: Trong truyện ngắn “Tôi đi học”, dòng cảm xúc của nhân vật “tôi” được thể hiện qua các ý:1. Cứ mùa thu về, mỗi lần thấy các em nhỏ núp dưới nón mẹ lần đầu tiên đến trường, lòng lại nao nức, rộn rã, xốn xang.2. Mẹ âu yếm nắm tay dẫn đến trường.3. Cảm thấy con đường đến trường tự nhiên thấy lạ, cảnh vật nhiều thay đổi.4. Cảm thấy sân trường rộng hơn, ngôi trường rộng hơn.5. Cảm thấy gần gũi, thân thương đối với lớp học, với người bạn ngồi bên cạnh. Hãy sắp xếp các ý trên theo trình tự của truyện ngắn “Tôi đi học”?
### Lựa chọn:
A: A. 1, 2, 3, 4, 5 
B: B. 1, 2, 5, 4, 3
C: C. 1, 2, 4, 3, 5 
D: [MASKED]","D. 1, 3, 4, 2, 5","### Câu hỏi: Trong truyện ngắn “Tôi đi học”, dòng cảm xúc của nhân vật “tôi” được thể hiện qua các ý:1. Cứ mùa thu về, mỗi lần thấy các em nhỏ núp dưới nón mẹ lần đầu tiên đến trường, lòng lại nao nức, rộn rã, xốn xang.2. Mẹ âu yếm nắm tay dẫn đến trường.3. Cảm thấy con đường đến trường tự nhiên thấy lạ, cảnh vật nhiều thay đổi.4. Cảm thấy sân trường rộng hơn, ngôi trường rộng hơn.5. Cảm thấy gần gũi, thân thương đối với lớp học, với người bạn ngồi bên cạnh. Hãy sắp xếp các ý trên theo trình tự của truyện ngắn “Tôi đi học”?
### Lựa chọn:
A: A. 1, 2, 3, 4, 5
B: B. 1, 2, 5, 4, 3
C: C. 1, 2, 4, 3, 5
D:"
"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
Lưu ý, hãy đưa ra câu trả lời chỉ có nội dung của phần lựa chọn bị che, câu trả lời của bạn phải có nội dung khác với các lựa chọn còn lại.
### Câu hỏi: Tác giả Thanh Tịnh đã sử dụng hiện pháp tu từ so sánh để khắc họa tâm trạng của nhân vật trong câu nào sau đây?
### Lựa chọn:
A: [MASKED] 
B: Tôi không thể nào quên được những cảm giác trong sáng ấy nảy nở trong lòng tôi như cành hoa tươi mỉm cười giữa bầu trời quang đãng.
C: Họ như con chim con đứng trên bờ tổ, nhìn quãng trời rộng muốn bay, nhưng còn ngập ngừng e sợ. 
D: Cả ba câu trên.",Ý nghĩ ấy thoáng qua trong trí tôi nhẹ nhàng như một làn mây lướt ngang trên ngọn núi.,"### Câu hỏi: Tác giả Thanh Tịnh đã sử dụng hiện pháp tu từ so sánh để khắc họa tâm trạng của nhân vật trong câu nào sau đây?
### Lựa chọn:
A:"
"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
Lưu ý, hãy đưa ra câu trả lời chỉ có nội dung của phần lựa chọn bị che, câu trả lời của bạn phải có nội dung khác với các lựa chọn còn lại.
### Câu hỏi: Từ nào có nghĩa bao hàm phạm vi nghĩa của các từ sau đây: học sinh, sinh viên, giáo viên, bác sĩ, kĩ sư, luật sự, nông dân, công nhân, nội trợ?
### Lựa chọn:
A: Nghề nghiệp 
B: Tính cách
C: [MASKED] 
D: Con người",Môn học,"### Câu hỏi: Từ nào có nghĩa bao hàm phạm vi nghĩa của các từ sau đây: học sinh, sinh viên, giáo viên, bác sĩ, kĩ sư, luật sự, nông dân, công nhân, nội trợ?
### Lựa chọn:
A: Nghề nghiệp
B: Tính cách
C:"
