Question,Label,Fed_prompt
"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
Lưu ý, hãy đưa ra câu trả lời chỉ có nội dung của phần lựa chọn bị che, câu trả lời của bạn phải có nội dung khác với các lựa chọn còn lại.
### Câu hỏi: Những quy định, quy ước ở một tập thể, một cộng đồng người ở phạm vi hẹp hơn được gọi là?
### Lựa chọn:
A: [MASKED] 
B: Công bằng.
C: Pháp luật. 
D: Kỉ luật.",Liêm khiết.,"### Câu hỏi: Những quy định, quy ước ở một tập thể, một cộng đồng người ở phạm vi hẹp hơn được gọi là?
### Lựa chọn:
A:"
"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
Lưu ý, hãy đưa ra câu trả lời chỉ có nội dung của phần lựa chọn bị che, câu trả lời của bạn phải có nội dung khác với các lựa chọn còn lại.
### Câu hỏi: Những quy định của pháp luật và kỉ luật có ý nghĩa như thế nào với mọi người?
### Lựa chọn:
A: Giúp cho mọi người có một chuẩn mực chung để rèn luyện và thống nhất trong hoạt động. 
B: [MASKED]
C: Giúp cho mọi người tôn trọng nhau hơn. 
D: Giúp cho mọi người hoàn thiện mình hơn.",Giúp cho mọi người gần nhau hơn.,"### Câu hỏi: Những quy định của pháp luật và kỉ luật có ý nghĩa như thế nào với mọi người?
### Lựa chọn:
A: Giúp cho mọi người có một chuẩn mực chung để rèn luyện và thống nhất trong hoạt động.
B:"
"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
Lưu ý, hãy đưa ra câu trả lời chỉ có nội dung của phần lựa chọn bị che, câu trả lời của bạn phải có nội dung khác với các lựa chọn còn lại.
### Câu hỏi: Câu ca dao thể hiện tôn trọng pháp luật và kỉ luật
### Lựa chọn:
A: Đất có lề, quê có thói 
B: [MASKED]
C: Thương em anh để trong lòng Việc quan anh cứ phép công anh làm 
D: A, B, C",Phép vua thua lệ làng,"### Câu hỏi: Câu ca dao thể hiện tôn trọng pháp luật và kỉ luật
### Lựa chọn:
A: Đất có lề, quê có thói
B:"
"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
Lưu ý, hãy đưa ra câu trả lời chỉ có nội dung của phần lựa chọn bị che, câu trả lời của bạn phải có nội dung khác với các lựa chọn còn lại.
### Câu hỏi: Tình bạn trong sáng, lành mạnh có ý nghĩa như thế nào?
### Lựa chọn:
A: Giúp cho con người cảm thấy ấm áp, tự tin, yêu đời và hoàn thiện mình hơn. 
B: Giúp cho mọi người gần nhau hơn.
C: [MASKED] 
D: Giúp cho mọi người vui vẻ hơn",Giúp cho mọi người tôn trọng nhau hơn.,"### Câu hỏi: Tình bạn trong sáng, lành mạnh có ý nghĩa như thế nào?
### Lựa chọn:
A: Giúp cho con người cảm thấy ấm áp, tự tin, yêu đời và hoàn thiện mình hơn.
B: Giúp cho mọi người gần nhau hơn.
C:"
"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
Lưu ý, hãy đưa ra câu trả lời chỉ có nội dung của phần lựa chọn bị che, câu trả lời của bạn phải có nội dung khác với các lựa chọn còn lại.
### Câu hỏi: Tình cảm gắn bó giữa hai hoặc nhiều người trên cơ sở hợp nhau về tính tình, sở thích, lí tưởng được gọi là?
### Lựa chọn:
A: Tình yêu. 
B: Tình bạn.
C: [MASKED] 
D: Tình anh em.",Tình đồng chí.,"### Câu hỏi: Tình cảm gắn bó giữa hai hoặc nhiều người trên cơ sở hợp nhau về tính tình, sở thích, lí tưởng được gọi là?
### Lựa chọn:
A: Tình yêu.
B: Tình bạn.
C:"
"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
Lưu ý, hãy đưa ra câu trả lời chỉ có nội dung của phần lựa chọn bị che, câu trả lời của bạn phải có nội dung khác với các lựa chọn còn lại.
### Câu hỏi: Đặc điểm của tình bạn trong sáng, lành mạnh là?
### Lựa chọn:
A: Bình đẳng và tôn trọng lẫn nhau. 
B: [MASKED]
C: Thông cảm, đồng cảm sâu sắc với nhau. 
D: Cả A, B, C.",Phù hợp với nhau về quan niệm sống.,"### Câu hỏi: Đặc điểm của tình bạn trong sáng, lành mạnh là?
### Lựa chọn:
A: Bình đẳng và tôn trọng lẫn nhau.
B:"
"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
Lưu ý, hãy đưa ra câu trả lời chỉ có nội dung của phần lựa chọn bị che, câu trả lời của bạn phải có nội dung khác với các lựa chọn còn lại.
### Câu hỏi: Em không tán thành ý kiến nào sau đây về tình bạn?
### Lựa chọn:
A: [MASKED] 
B: Bạn bè phải biết bảo vệ nhau trong mọi trường hợp.
C: Biết phê bình nhau trong mọi trường hợp. 
D: Có thể có tình bạn trong sáng, lành mạnh giữa hai người khác giới.","Tình bạn trong sáng, lành mạnh không thể có từ một phía","### Câu hỏi: Em không tán thành ý kiến nào sau đây về tình bạn?
### Lựa chọn:
A:"
"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
Lưu ý, hãy đưa ra câu trả lời chỉ có nội dung của phần lựa chọn bị che, câu trả lời của bạn phải có nội dung khác với các lựa chọn còn lại.
### Câu hỏi: D là bạn thân của E, trong giờ kiểm tra 15 phút E không học bài cũ nên lén thầy cô giở sách ra chép. Nếu là D em sẽ làm gì?
### Lựa chọn:
A: Nhắc nhở bạn, khuyên bạn không được làm như vậy vì vi phạm kỉ luật. 
B: [MASKED]
C: Mặc kệ vì không liên quan đến mình. 
D: Nói với cô giáo để bạn bị phạt.",Nhờ bạn D cho xem tài liệu cùng.,"### Câu hỏi: D là bạn thân của E, trong giờ kiểm tra 15 phút E không học bài cũ nên lén thầy cô giở sách ra chép. Nếu là D em sẽ làm gì?
### Lựa chọn:
A: Nhắc nhở bạn, khuyên bạn không được làm như vậy vì vi phạm kỉ luật.
B:"
"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
Lưu ý, hãy đưa ra câu trả lời chỉ có nội dung của phần lựa chọn bị che, câu trả lời của bạn phải có nội dung khác với các lựa chọn còn lại.
### Câu hỏi: Vào các dịp ngày lễ lớn trong năm thôn X thường tổ chức các hoạt động giao lưu văn hóa, văn nghệ, thể dục, thể thao để chào mừng; gia đình bà E thường không tham gia vì cho rằng mất thời gian. Em có nhận xét gì về gia đình bà E?
### Lựa chọn:
A: Gia đình bà E không tích cực tham gia các hoạt động chính trị - xã hội. 
B: [MASKED]
C: Gia đình bà E sống ích kỉ. 
D: Gia đình bà E sống vô cảm.",Gia đình bà E tích cực tham gia các hoạt động chính trị - xã hội.,"### Câu hỏi: Vào các dịp ngày lễ lớn trong năm thôn X thường tổ chức các hoạt động giao lưu văn hóa, văn nghệ, thể dục, thể thao để chào mừng; gia đình bà E thường không tham gia vì cho rằng mất thời gian. Em có nhận xét gì về gia đình bà E?
### Lựa chọn:
A: Gia đình bà E không tích cực tham gia các hoạt động chính trị - xã hội.
B:"
"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
Lưu ý, hãy đưa ra câu trả lời chỉ có nội dung của phần lựa chọn bị che, câu trả lời của bạn phải có nội dung khác với các lựa chọn còn lại.
### Câu hỏi: Các tổ chức chính trị do cơ quan, tổ chức nào quản lí?
### Lựa chọn:
A: Nhà nước. 
B: [MASKED]
C: Không do cơ quan, tổ chức nào quản lí, hoạt động tự do. 
D: Cả A và B.",Đảng Cộng sản Việt Nam.,"### Câu hỏi: Các tổ chức chính trị do cơ quan, tổ chức nào quản lí?
### Lựa chọn:
A: Nhà nước.
B:"
"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
Lưu ý, hãy đưa ra câu trả lời chỉ có nội dung của phần lựa chọn bị che, câu trả lời của bạn phải có nội dung khác với các lựa chọn còn lại.
### Câu hỏi: Tác hại của tệ nạn xã hội là?
### Lựa chọn:
A: Ảnh hưởng đến sức khỏe, tinh thần và đạo đức con người. 
B: [MASKED]
C: Rối loạn trật tự xã hội, suy thoái giống nòi dân tộc. 
D: Cả A, B, C.",Làm tan vỡ hạnh phúc gia đình.,"### Câu hỏi: Tác hại của tệ nạn xã hội là?
### Lựa chọn:
A: Ảnh hưởng đến sức khỏe, tinh thần và đạo đức con người.
B:"
"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
Lưu ý, hãy đưa ra câu trả lời chỉ có nội dung của phần lựa chọn bị che, câu trả lời của bạn phải có nội dung khác với các lựa chọn còn lại.
### Câu hỏi: Các loại tệ nạn xã hội là?
### Lựa chọn:
A: [MASKED] 
B: Xâm hại tình dục trẻ em, trộm cắp, lừa đảo.
C: Ma túy, mại dâm. 
D: Cả A, B, C.","Tham nhũng, nghiện game không lành mạnh.","### Câu hỏi: Các loại tệ nạn xã hội là?
### Lựa chọn:
A:"
"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
Lưu ý, hãy đưa ra câu trả lời chỉ có nội dung của phần lựa chọn bị che, câu trả lời của bạn phải có nội dung khác với các lựa chọn còn lại.
### Câu hỏi: Tệ nạn xã hội là là hiện tượng xã hội bao gồm những hành vi sai lệch chuẩn mực xã hội, vi phạm đạo đức và pháp luật, gây hậu quả nghiêm trọng về mọi mặt đối với đời sống xã hội được gọi là?
### Lựa chọn:
A: Tệ nạn xã hội. 
B: Vi phạm pháp luật.
C: Vi phạm đạo đức. 
D: [MASKED]",Vi phạm quy chế.,"### Câu hỏi: Tệ nạn xã hội là là hiện tượng xã hội bao gồm những hành vi sai lệch chuẩn mực xã hội, vi phạm đạo đức và pháp luật, gây hậu quả nghiêm trọng về mọi mặt đối với đời sống xã hội được gọi là?
### Lựa chọn:
A: Tệ nạn xã hội.
B: Vi phạm pháp luật.
C: Vi phạm đạo đức.
D:"
"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
Lưu ý, hãy đưa ra câu trả lời chỉ có nội dung của phần lựa chọn bị che, câu trả lời của bạn phải có nội dung khác với các lựa chọn còn lại.
### Câu hỏi: Hình thức cao nhất xử phạt vi phạm pháp luật là?
### Lựa chọn:
A: Tử hình. 
B: Chung thân.
C: Phạt tù. 
D: [MASKED]",Cảnh cáo.,"### Câu hỏi: Hình thức cao nhất xử phạt vi phạm pháp luật là?
### Lựa chọn:
A: Tử hình.
B: Chung thân.
C: Phạt tù.
D:"
"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
Lưu ý, hãy đưa ra câu trả lời chỉ có nội dung của phần lựa chọn bị che, câu trả lời của bạn phải có nội dung khác với các lựa chọn còn lại.
### Câu hỏi: Trẻ dưới 14 tuổi khi vi phạm pháp luật áp dụng hình thức nào?
### Lựa chọn:
A: [MASKED] 
B: Cảnh cáo.
C: Phạt tù. 
D: Khuyên răn.",Đưa vào trường giáo dưỡng 1 năm kể từ ngày vi phạm.,"### Câu hỏi: Trẻ dưới 14 tuổi khi vi phạm pháp luật áp dụng hình thức nào?
### Lựa chọn:
A:"
"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
Lưu ý, hãy đưa ra câu trả lời chỉ có nội dung của phần lựa chọn bị che, câu trả lời của bạn phải có nội dung khác với các lựa chọn còn lại.
### Câu hỏi: Thời gian dự phòng lây nhiễm HIV/AIDS tốt nhất là trong thời gian nào?
### Lựa chọn:
A: [MASKED] 
B: 1 tuần.
C: Ngay sau 2-3 giờ đầu. 
D: 1 tháng.",1 tiếng.,"### Câu hỏi: Thời gian dự phòng lây nhiễm HIV/AIDS tốt nhất là trong thời gian nào?
### Lựa chọn:
A:"
"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
Lưu ý, hãy đưa ra câu trả lời chỉ có nội dung của phần lựa chọn bị che, câu trả lời của bạn phải có nội dung khác với các lựa chọn còn lại.
### Câu hỏi: Tên gọi của 1 loại vi rút gây suy giảm miễn dịch ở người là?
### Lựa chọn:
A: HIV. 
B: AIDS.
C: Ebola. 
D: [MASKED]",Cúm gà.,"### Câu hỏi: Tên gọi của 1 loại vi rút gây suy giảm miễn dịch ở người là?
### Lựa chọn:
A: HIV.
B: AIDS.
C: Ebola.
D:"
"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
Lưu ý, hãy đưa ra câu trả lời chỉ có nội dung của phần lựa chọn bị che, câu trả lời của bạn phải có nội dung khác với các lựa chọn còn lại.
### Câu hỏi: Dấu hiệu lâm sàng chính khi mắc HIV/AIDS là?
### Lựa chọn:
A: Sút cân trên 10% trọng lượng cơ thể. 
B: Sốt kéo dài trên 1 tháng.
C: [MASKED] 
D: Cả A, B, C.",Ỉa chảy kéo dài trên 1 tháng.,"### Câu hỏi: Dấu hiệu lâm sàng chính khi mắc HIV/AIDS là?
### Lựa chọn:
A: Sút cân trên 10% trọng lượng cơ thể.
B: Sốt kéo dài trên 1 tháng.
C:"
"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
Lưu ý, hãy đưa ra câu trả lời chỉ có nội dung của phần lựa chọn bị che, câu trả lời của bạn phải có nội dung khác với các lựa chọn còn lại.
### Câu hỏi: Virut HIV lây qua:
### Lựa chọn:
A: [MASKED] 
B: Muỗi, côn trùng chích hút máu người nhiễm HIV rồi chích sang người lành
C: Ho, hắt hơi 
D: Hút thuốc lá, uống rượu bia chung với người nhiễm HIV","Ăn, uống chung ly, chén với người nhiễm HIV","### Câu hỏi: Virut HIV lây qua:
### Lựa chọn:
A:"
"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
Lưu ý, hãy đưa ra câu trả lời chỉ có nội dung của phần lựa chọn bị che, câu trả lời của bạn phải có nội dung khác với các lựa chọn còn lại.
### Câu hỏi: Các việc làm phòng, chống HIV/AIDS là?
### Lựa chọn:
A: Tuyên truyền tới mọi người tác hại của ma túy để mọi người phòng chống. 
B: [MASKED]
C: Không buôn bán, vận chuyển, tàng trữ chất ma túy. 
D: Cả A, B, C.","Tham gia các hoạt động phòng, chống tại địa phương.","### Câu hỏi: Các việc làm phòng, chống HIV/AIDS là?
### Lựa chọn:
A: Tuyên truyền tới mọi người tác hại của ma túy để mọi người phòng chống.
B:"
"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
Lưu ý, hãy đưa ra câu trả lời chỉ có nội dung của phần lựa chọn bị che, câu trả lời của bạn phải có nội dung khác với các lựa chọn còn lại.
### Câu hỏi: Cơ quan, tổ chức nào được nghiên cứu, chế tạo, sản xuất, kinh doanh, xuất khẩu, nhập khẩu, sửa chữa vũ khí?
### Lựa chọn:
A: Tổ chức, doanh nghiệp thuộc Bộ Quốc Phòng và Bộ Công an. 
B: Cá nhân.
C: Công ty tư nhân. 
D: [MASKED]",Tổ chức phản động.,"### Câu hỏi: Cơ quan, tổ chức nào được nghiên cứu, chế tạo, sản xuất, kinh doanh, xuất khẩu, nhập khẩu, sửa chữa vũ khí?
### Lựa chọn:
A: Tổ chức, doanh nghiệp thuộc Bộ Quốc Phòng và Bộ Công an.
B: Cá nhân.
C: Công ty tư nhân.
D:"
"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
Lưu ý, hãy đưa ra câu trả lời chỉ có nội dung của phần lựa chọn bị che, câu trả lời của bạn phải có nội dung khác với các lựa chọn còn lại.
### Câu hỏi: Ngày toàn dân phòng cháy chữa cháy là
### Lựa chọn:
A: Ngày 4 tháng 10 
B: [MASKED]
C: Ngày 14 tháng 10 
D: Ngày 10 tháng 4",Ngày 14 tháng 4,"### Câu hỏi: Ngày toàn dân phòng cháy chữa cháy là
### Lựa chọn:
A: Ngày 4 tháng 10
B:"
"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
Lưu ý, hãy đưa ra câu trả lời chỉ có nội dung của phần lựa chọn bị che, câu trả lời của bạn phải có nội dung khác với các lựa chọn còn lại.
### Câu hỏi: Hành động nào sau đây không thực hiện đúng quy định về phòng ngừa tai nạn về vũ khí, cháy, nổ và các chất độc hại?
### Lựa chọn:
A: [MASKED] 
B: Cưa mìn để lấy thuốc nổ.
C: Dùng dao để đánh nhau. 
D: Cả A, B, C.",Sử dụng súng tự chế.,"### Câu hỏi: Hành động nào sau đây không thực hiện đúng quy định về phòng ngừa tai nạn về vũ khí, cháy, nổ và các chất độc hại?
### Lựa chọn:
A:"
