Câu hỏi,A,B,C,D,Answer,Grade,retained
Đoạn trích “Tôi có một ước mơ” được viết theo phương thức nào?,Nghị luận,Tự sự,Biểu cảm,Chính luận,A,Văn 11,True
Bài diễn thuyết này được Martin Luther King đọc ở đâu vào thời gian nào?,Tại đài tưởng niệm Lin-cơn ngày 28/8/1963,Tại đài tưởng niệm Lin-cơn ngày 29/8/1963,Tại đài tưởng niệm Lin-cơn ngày 29/8/1964,Tại đài tưởng niệm Lin-cơn ngày 28/8/1964,A,Văn 11,False
"Hồn thơ “quê mùa”, Hoài Thanh dùng chỉ nhà thơ nào trong bài viết “Một thời đại trong thi ca”",Nguyễn Nhược Pháp,Nguyễn Bính,Lưu Trọng Lư,Tố Hữu,B,Văn 11,True
"Hồn thơ “trong sáng”, Hoài Thanh dùng chỉ nhà thơ nào trong bài viết “Một thời đại trong thi ca”?",Thế Lữ,Lưu Trọng Lư,Nguyễn Nhược Pháp,Nguyễn Bính,C,Văn 11,True
"Trong “Một thời đại thi ca”, Hoài Thanh viết: “Đời chúng ta nằm trong một chữ tôi. Mất bề rộng ta đi tìm bề sâu. Nhưng càng đi càng ớn lạnh”.  là nhận định của Hoài Thanh về hồn thơ của các nhà “Thơ mới” ở giai đoạn thoái trào. Cụm từ “nhưng động tiên đã khép”, ông chỉ nhà thơ nào?",Thế Lữ,Xuân Diệu,Lưu Trọng Lư,Hàn Mặc Tử,A,Văn 11,True
“Cầu hiền” ở đây hướng tới đối tượng nào?,Người ăn ở hiền lành,Người có tài,Người có đức,Người có đức và tài,D,Văn 11,True
Tác giả của đoạn trích “Tôi có một ước mơ” là ai?,Aleksandr Sergeyevich Pushkin,Mác –tin Lu-thơ Kinh,Rabindranath Tagore,Vic-to Huy-gô,B,Văn 11,True
Tác giả đã nêu ra cách nhận diện tinh thần Thơ mới như thế nào?,So sánh bài hay với bài hay.,So sánh bài hiện đại với bài cổ điển.,So sánh bài hay với bài tầm thường.,So sánh bài tầm thường với bài tầm thường.,B,Văn 11,False
"Câu văn “Người hiền xuất hiện ở đời, thì như ngôi sao sáng trên trời cao” nói lên nội dung gì?",Nhân tài Bắc Hà nhiều như sao trên trời.,Người hiền theo Quang Trung rất nhiều như sao trời,Người hiền ở Bắc Hà rất hiếm có,"So sánh người hiền tài như vì sao tinh tú. Đề cao vị trí, vai trò của người hiền tài.",D,Văn 11,True
Đoạn trích “Tôi có một ước mơ” nằm trong:,Ăn sáng với kim cương,Người đàn ông của chúng tôi ở Havana,"Bước đến tự do, Câu chuyện Mon-ga-mo- ri- Montgomery","Một con gấu tên là Paddington, với hình minh họa của Peggy Fortnum",C,Văn 11,True
Nữ phóng viên đầu tiên là viết về ai?,Manh Manh nữ sĩ,Nguyễn Thị Bình,Trương Mỹ Hoa,Hồ Xuân Hương,A,Văn 11,True
Tên thật của Manh Manh nữ sĩ là:,Nguyễn Thị Khiêm,Nguyễn Thị Kiêm,Nguyễn Thị Hoa,Nguyễn Thị Lan,B,Văn 11,False
Bà Kiêm bắt đầu trở nên nổi tiếng khi:,"Nổi tiếng về những bài diễn thuyết, những bài viết về bình đẳng giới và thơ mới",Viết thơ,Viết bài ủng hộ thơ mới,Viết kí,A,Văn 11,True
Dòng nào nói đúng nhất về năm sinh năm mất của bà Kiêm?,Sinh 1914 mất 2015,Sinh 1914 mất 2005,Sinh 1913 mất 2005,Sinh 1912 mất 2005,B,Văn 11,False
Sở trường của bà Kiêm là gì?,Thơ,Diễn thuyết,Phỏng vấn,Phê bình,B,Văn 11,True
Bà Kiêm là phóng viên của tờ báo nào?,Phụ nữ Tân thời,Đuốc An Nam,Phụ nữ Tân văn,Thần chung,C,Văn 11,False
Tại kì Pa-ra-lim-pích Tô-ky-ô 2020 vận động viên xuất sắc nhất là:,Van Gát,Henry,Hanry,Xnai – đơ,D,Văn 11,True
Đến Pa-ra-lim-pích Ri-ô đờ Gia - nê - rô Xnai-đơ dành được mấy chương:,2 huy chương vàng,3 huy chương vàng,4 huy chương vàng,6 huy chương vàng,D,Văn 11,False
"Trong lần tham dự Pa-ra-lim-pích đầu tiên, Van Gát đã dành được:",2 huy chương vàng 2 huy chương bạc,2 huy chương vàng 1 huy chương bạc,2 huy chương vàng 1 huy chương đồng,2 huy chương bạc 1 huy chương đồng,C,Văn 11,False
"Trong nói và viết, cần tránh hiện tượng nào?",Ngôn ngữ nói được ghi lại bằng chữ viết.,Ngôn ngữ viết được trình bày lại bằng lời nói.,"Dùng ngôn ngữ nói và ngôn ngữ viết đúng lúc, đúng chỗ.",Dùng những yếu tố đặc thù của ngôn ngữ viết khi nói.,D,Văn 11,False
Nhận xét nào về các câu văn vần trong truyện Tấm Cám chưa chính xác?,Có người nói và người nghe.,Người nghe không có mặt.,Được thể hiện bằng âm thanh và ngữ điệu.,"Ngôn ngữ tự nhiên, trau chuốt.",B,Văn 11,False
Văn bản Trí thông minh nhân tạo được trích từ:,Hồ sơ tương lai: lược sử 50 năm tới,"Kĩ thuật số và con người: chúng ta sẽ sống, yêu và suy nghĩ ra sao trong tương lai",50 ý tưởng về tương lai,"Trí tuệ tương lai: kỉ nguyên thông tin đã thay đổi đầu óc chúng ta như thế thế nào, tại sao và chúng ta có thể làm gì?",C,Văn 11,True
Thuật ngữ trí thông minh nhân tạo được ra đời vào năm nào?,1946,1956,1966,1976,B,Văn 11,False
Thuật ngữ trí thông minh nhân tạo do ai đặt ra:,Giôn Mác Cát-thi,Mít-sen Cây-pơ,Bin Can-vin,Một đáp án khác,A,Văn 11,False
Tác giả của văn bản Trí thông minh nhân tạo là ai?,Ri-sát Oát-xơn,Giôn Mát Cát-thi,Mít-sen Cây-pơ,Bin Can-vin,A,Văn 11,False
Địa điểm tổ chức cuộc đua thể thao đầu tiên dành cho các cựu chiến binh thế chiến thứ 2 là ở:,Nhật Bản,Anh,Bệnh viện Xtốc Men-đơ-vin,Mỹ,C,Văn 11,True
Theo nhà tương lai học Ray Cơ-dơ-uên thì máy tính sẽ vượt qua bài kiểm tra Tu-rinh vào năm nào?,2019,2029,2039,2049,B,Văn 11,False
Tại cuộc đua thể thao đầu tiên dành cho các cựu chiến binh thế chiến thứ 2 có bao nhiêu vận động viên tham gia?,14,15,16,17,C,Văn 11,False
Năm 1988 cả Pa-ra-lim-pích và Ô-lim-pích đều được tổ chức tại thành phố:,Seoul,Hy Lạp,Thổ Nhĩ Kì,Một đáp án khác,A,Văn 11,False
Theo tác giả thì đến năm 2040 các bộ não máy có thể xử lí bao nhiêu lệnh mỗi giây?,100 nghìn tỉ lệnh,200 nghìn tỉ lệnh,300 nghìn tỉ lệnh,Một con số khác,A,Văn 11,False
Đoạn trích ‘Vợ nhặt’ là của tác giả nào?,Nam Cao,Ngô Tất Tố,Kim Lân,Chế Lan Viên,C,Văn 11,True
Giá trị hiện thực của truyện ngắn “Vợ nhặt” là:,Cho thấy một thảm cảnh thê thảm của những con người nghèo trong nạn đói 1945 do phát xít Nhật và thực dân Pháp gây nên.,Tố cáo tội ác của bọn thực dân phát xít.,Thể hiện lòng cảm thông sâu sắc đối với số phận con người trong nạn đói.,"Là bài ca ca ngợi sự sống, tình thương, sự cưu mang, đùm bọc, khát vọng",A,Văn 11,True
Mở đầu cho truyện ngắn với hình ảnh Chí Phèo “vừa đi vừa chửi” thật hài hước và lôi cuốn độc giả đã thể hiện điều gì trong ngòi bút Nam Cao ?,Nam Cao mô tả thật đúng hình ảnh những gã say rượu thường không tự chủ được bản thân.,"Làm người đọc hả hê vì Chí Phèo đă chửi tất tần tật, là một dự báo trừng phạt bọn cường hào ác bá ở làng Vũ Đại.",Hấp dẫn người đọc vì Chí Phèo đã nhận thức được nguyên nhân cuộc đời mình tha hoá là do bọn cường hào ác bá làng xã.,"Tạo cái bề ngoài hài hước của Chí Phèo lại là biểu hiện của một tấn bi kịch bên trong. Nụ cười bất giác ban đầu lại lắng đọng một dự vị buồn đau, chua chát trong lòng độc giả.",D,Văn 11,True
Mở đầu là hình ảnh chiếc lò gạch cũ và kết thúc cũng như thế. Điều đó có ý nghĩa gì?,Tác giả muốn giới thiệu với độc giả việc làm quanh năm của nông dân làng Vũ Đại là sản xuất gạch.,"Hình ảnh lò gạch bỏ hoang, khiến người đọc hiểu đó là nghề truyền thống của làng Vũ Đại đã mai một.","Nó gợi lên cái vòng luẩn quẩn, bế tắc, đau thương không lối thoát của người nông dân Việt Nam trong xã hội cũ.",Đời sống nông dân làng Vũ Đại hoang tàn như cái lò gạch cũ.,C,Văn 11,True
Câu nào sau đây là nhận định đúng về bài thơ “Nhớ đồng” của Tố Hữu?,"Là những dòng tâm tư nồng nhiệt, tha thiết, trong trẻo của nhà thơ trẻ hướng về ruộng đồng, quê hương, về những con người thân yêu, về những kỉ niệm của một thời hoạt động cách mạng sôi nổi.",Nỗi nhớ thương mẹ già còng lưng trên những cánh đồng,Là nỗi hoang mang của chàng trai trẻ lần đầu bị giam cầm.,Là nỗi lòng tha thiết nhớ về người yêu - là một cô thôn nữ.,A,Văn 11,True
Tâm trạng của tác giả trong bài thơ “Nhớ đồng” là gì?,"Bâng khuâng, bồn chồn trước cảnh lao tù.","Buồn và nhớ quê hương, đồng bào da diết.","Vui tươi, phấn khởi khi nhớ lại những kỉ niệm xưa.","Luyến tiếc, nhớ nhung cuộc sống tự do.",B,Văn 11,True
Nhân vật Tràng được miêu tả với tính cách như thế nào?,"Hiền lành, vui tính, hay vui đùa với mấy đứa trẻ trong xóm",Lầm lì ít nói,"Khuôn mặt dữ dằn, bặm trợn, hay cáu kỉnh",Tất cả các phương án trên đều đúng,A,Văn 11,True
"Đoạn thơ từ câu “Đâu những ngày xưa, tôi nhớ tôi” đến “Như cảnh chim buồn nhớ gió mây” thể hiện điều gì?","Niềm say mê lí tưởng, khát khao tự do và hành động của tác giả.",Sự tái hiện hình ảnh con người quê hương trong tâm hồn tác giả.,Hồi ức của tác giả về những hình ảnh gắn liền với quê hương.,Sự nhớ nhung người bạn mà tác giả đề tặng bài thơ.,A,Văn 11,True
Dòng nào sau đây khái khát đúng nhất về ý nghĩa đặc biệt của “bát cháo hành” mà thị Nở mang cho Chí Phèo trong tác phẩm cùng tên của Nam Cao?,"Vật đầu tiên Chí Phèo được cho, không do cướp giật mà có.","Vật biểu trưng cho hương vị ngọt ngào của hạnh phúc, tình yêu",Vật biểu trưng cho tình người thơm thảo trong xã hội cũ.,Vật biểu trưng cho niềm khát khao hạnh phúc của Chí Phèo,D,Văn 11,False
"Nguyên nhân nào đã đẩy Chí Phèo từ một thanh niên hiền lành, lương thiện phải vào tù?",Vì đánh bạc.,Vì ăn trộm đồ nhà Bá Kiến.,Vì giết người trong làng.,Vì bị Bá Kiến ghen tuông,D,Văn 11,True
Đâu không là sáng tác tiêu biểu của Tố Hữu,Từ ấy,Ra trận,Việt Bắc,Chiều tối,D,Văn 11,True
Cảm hứng của bài thơ “Nhớ đồng” được hình thành từ:,Những âm thanh hết sức bình dị của cuộc sống.,Những kỉ niệm từ ngày tác giả còn hoạt động cách mạng.,Tiếng chim tu hú gọi hè nơi tác giả bị giam cầm.,"Tiếng hò vọng vào nhà tù, nơi tác giả bị giam cầm.",D,Văn 11,True
"Sau khi đi ở tù về, Chí Phèo trong tác phẩm cùng tên của Nam Cao trở thành con người như thế nào?","Chán đời, không muốn sống.",Làm ăn lương thiện để kiếm sống.,"Trở thành kẻ lưu manh, côn đồ.","Hiền lành, nhẫn nhục và nhút nhát.",C,Văn 11,False
Tính cách của nhân vật bá Kiến nói một cách khái quát nhất là:,"Con người xảo quyệt, độc ác, háo sắc.","Con người lọc lõi, hiểm ác, gian hùng","Thâm độc, tham tàn, gian xảo.","Lọc lõi, háo lợi, háo danh.",B,Văn 11,True
Công việc của Tràng là gì?,Nông dân,Kéo xe bò thuê,Cày thuê,Xay lúa thuê,B,Văn 11,True
Câu thơ đề từ “Bâng khuâng trời rộng nhớ sông dài” của bài Tràng giang có ý nghĩa:,"Thể hiện nỗi buồn và sự nhớ thương trước vũ trụ bao la, bát ngát.",Thể hiện tâm trạng cô đơn của thi sĩ,Thể hiện tâm trạng bâng khuâng của con người khi đối diện với thiên nhiên.,Thể hiện sự nhỏ bé của con người trước vũ trụ bao la đến rợn ngợp,A,Văn 11,False
"Cái cảm giác trống trải, xa vắng của không gian ""tràng giang"" trong khổ thơ thứ ba bài “Tràng giang” của Huy Cận, chủ yếu được tô đậm bởi yếu tố nghệ thuật nào?",Điệp cú pháp và từ phủ định.,Ẩn dụ.,"Âm hưởng, nhạc điệu.",Cảnh ngụ tình.,A,Văn 11,True
"Kết thúc truyện ngắn ""Vợ nhặt"" là hình ảnh nào?",Đàn quạ lượn thành từng đàn như những đám mây đen trên bầu trời,Hình ảnh đoàn người đói và lá cờ đỏ sao vàng bay phấp phới,Tiếng trống thuế dồn dập,Tiếng hờ khóc của những gia đình có người chết đói,B,Văn 11,True
Nỗi niềm thấm đẫm toàn bộ bài thơ Tràng giang của Huy Cận là:,nỗi hoài nghi.,nỗi băn khoăn.,nỗi buồn.,nỗi tuyệt vọng.,C,Văn 11,False
Đáp án nào không đúng khi nói về vẻ đẹp tâm hồn của nhân vật Tràng?,"Thuần hậu, hiền lành, chất phác","Tâm hồn lạc quan, yêu đời",Sức sống tiềm tàng và sức phản kháng mãnh liệt,Tấm lòng nhân hậu,D,Văn 11,True
Vấn đề chủ yếu trong đoạn trích Trao duyên của sách giáo khoa là gì ?,Thân phận người phụ nữ,Bi kịch về thân phận và tình yêu của Kiều,Phẩm cách cao đẹp của Kiều,Bi kịch về thân phận và tình yêu của Kiều,B,Văn 11,False
"Khi giải thích ""Cầu hôn: xin được lấy làm vợ"" là đã giải thích nghĩa của từ bằng cách nào?",Dùng từ đồng nghĩa với từ cần được giải thích.,Trình bày khái niệm mà từ biểu thị.,Kết hợp giữa dùng từ đồng nghĩa với trình bày khái niệm mà từ biểu thị.,Dùng từ trái nghĩa với từ được giải thích.,B,Văn 11,True
Việc trao duyên của Thúy Kiều cho Thúy Vân diễn ra khi nào?,Trước khi Kiều thu xếp việc bán mình.,Sau khi Kiều đã thu xếp việc bán mình.,Trước khi Kiều từ biệt gia đình theo Mã Giám Sinh.,Khi nghe được tin gia đình gặp biến cố,C,Văn 11,False
Đoạn trích Trao duyên thể hiện tài năng nghệ thuật xuất sắc của Nguyễn Du trong:,việc tạo tình huống.,việc vận dụng các thành ngữ.,việc miêu tả nội tâm nhân vật.,việc xây dựng đối thoại.,C,Văn 11,True
Đoạn trường tân thanh có nghĩa là gì?,Đứt từng mảnh ruột,Tiếng kêu mới,Con đường dài màu xanh đứt đoạn,Tiếng kêu mới tới đứt từng mảnh ruột,D,Văn 11,False
Thành công quan trọng và đặc sắc nhất về nghệ thuật của Nguyễn Du trong đoạn trích này là gì ?,Miêu tả tâm lí nhân vật,"Lựa chọn, sử dụng từ ngữ, hình ảnh","Dựng đối thoại, độc thoại",Tạo tình huống đầy mâu thuẫn,A,Văn 11,True
Dòng nào sau đây xác định không đúng vị trí của việc Thúy Kiều trao duyên cho Thúy Vân ?,Sau việc bọn sai nha ập tới bắt cha và em trai Kiều,Sau khi Kiều bán mình chuộc cha,Trước đêm Kim Trọng và Thúy Kiều thề nguyện,Sau khi Kim Trọng phải đi hộ tang chú ở Liêu Dương,C,Văn 11,True
"Câu thơ ""Keo loan chắp mối tơ thừa mặc em"" (trích Trao duyên của Nguyễn Du) diễn tả tâm trạng gì của Thúy Kiều khi trao duyên cho em?",Kiều xót xa khi mối duyên nàng trao cho em không trọn vẹn.,Nàng hiểu và cảm thông cho hoàn cảnh của Thúy Vân nên không muốn ép uổng em.,Kiều cay đắng khi nghĩ đến việc phải trao tình yêu đầu trong sáng và sâu sắc cho em.,Kiều lo lắng cho tương lai của em và Kim Trọng sau buổi trao duyên này.,B,Văn 11,False
Của chung ’ trong câu “ Duyên này thì giữ vật này của chung ” chỉ những ai ?,Thúy Kiều – Kim Trọng,Thúy Vân – Kim Trọng,Thúy Kiều – Thúy Vân,Vân – Trọng – Kiều,D,Văn 11,False
Quê hương của Nguyễn Du ở đâu?,"Thanh Miện, Hải Dương","Nghi Xuân, Hà Tĩnh","Can Lộc, Hà Tĩnh","Thọ Xuân, Thanh Hóa",B,Văn 11,False
"Hành động ""trao duyên"" trong đoạn trích Trao duyên của Nguyễn Du thể hiện rõ nhất phẩm chất nào ở nhân vật Thúy Kiều?",Tấm lòng hiếu thảo.,Sự sâu sắc.,Lòng vị tha.,Sự bao dung.,C,Văn 11,True
Dòng nào nói đúng về những tủi nhục mà Thuý Kiều đã trải qua ?,"Thanh lâu ba lượt, thanh y hai lần.","Thanh lâu hai lượt, thanh y hai lần.","Thanh lâu hai lượt, thanh y ba lần.","Thanh lâu bốn lượt, thanh y hai lần.",B,Văn 11,False
"Khi trao duyên, việc Kiều dùng nhiều từ ngữ nhắc đến cái chết có ý nghĩa gì?","Kiều dự cảm nàng về cuộc đời phía trước, sự tuyệt vọng đau khổ đến cùng cực.",Kiều nói thế để ép Vân phải nhận lời.,Kiều muốn làm cho sự việc thêm nghiêm trọng.,Kiều đang trong tâm trạng rối bời,A,Văn 11,True
Truyện Kiều là tên gọi do ai đặt?,Thanh Tâm tài nhân,Nguyễn Du,Người dân,Không rõ,C,Văn 11,True
"Câu “Mặt trời nhú lên dần dần, rồi lên cho kì hết” có mấy vị ngữ?",1,4,3,2,D,Văn 11,False
Dòng nào nói đúng về những tủi nhục mà Thuý Kiều đã trải qua ?,"Thanh lâu ba lượt, thanh y hai lần.","Thanh lâu hai lượt, thanh y ba lần.","Thanh lâu hai lượt, thanh y hai lần.","Thanh lâu bốn lượt, thanh y hai lần.",C,Văn 11,False
Truyện Kiều có nguồn gốc từ đâu ?,Từ trong dân gian.,Từ một tác phẩm tự sự của Trung Quốc.,Thương những con người tài hoa bị chà đạp nên tác giả đã sáng tạo ra.,Từ cuộc đời một người con gái có tên là Tiểu Thanh.,B,Văn 11,False
Đặc sắc nhất về mặt nghệ thuật của Truyện Kiều là gì?,Ngôn ngữ văn học dân tộc và thể thơ lục bát đã đạt đến đỉnh cao rực rỡ,"Được dịch ra nhiều thứ tiếng, được giới thiệu ở nhiều nơi trên thế giới",Nghệ thuật tự sự có bước phát triển vượt bậc,Cách khắc họa tính cách con người độc đáo,A,Văn 11,True
Cách giải thích thế nào về nghĩa của từ không đúng?,Đọc nhiều lần là từ cần được giải thích,Trình bày khái niệm mà từ biểu thị,Dùng từ đồng nghĩa để giải thích,Dùng từ trái nghĩa để giải thích,A,Văn 11,True
Việc trao duyên của Thúy Kiều cho Thúy Vân diễn ra khi nào?,Trước khi Kiều thu xếp việc bán mình.,Sau khi Kiều đã thu xếp việc bán mình.,Trước khi Kiều từ biệt gia đình theo Mã Giám Sinh.,Khi nghe được tin gia đình gặp biến cố.,A,Văn 11,True
Men đen đã tiến hành trên đối tượng nào để thực hiện các thí nghiệm của mình?,Cây cà chua.,Ruồi giấm.,Cây Đậu Hà Lan.,Trên nhiều loài côn trùng.,C,Sinh học 9,True
Nguyên tắc bổ sung trong cấu trúc của ADN dẫn đến hệ quả :,"A = X, G = T",A + T = G + X,A + G = T + X,A + X + T = X + T + G,C,Sinh học 9,False
Đường kính của NST ở trạng thái co ngắn là :,"0,2 đến 2 micrômet.",2 đến 20 micrômet.,"0,5 đến 20 micrômet.","0,5 đến 50 micrômet.",A,Sinh học 9,False
Các thể đột biến nào sau đây ở người là hậu quả của đột biến dị bội dạng 2n - 1:,Đao,Tớcnơ.,Câm điếc bẩm sinh.,Bạch tạng.,B,Sinh học 9,True
Một phân tử ADN có 18000 nuclêôtit. Vậy số chu kì xoắn của phân tử ADN đó là:,900.,1800.,3600.,450.,A,Sinh học 9,False
Phương pháp cơ bản trong nghiên cứu Di truyền học của Menđen là gì?,Dùng toán thống kê để tính toán kết quả thu được,Thí nghiệm trên cây đậu Hà Lan có hoa lưỡng tính.,Phương pháp phân tích các thế hệ lai.,Theo dõi sự di truyền của các cặp tính trạng.,C,Sinh học 9,True
"Trong các thể dị bội, dạng nào sau đây gặp phổ biến hơn:",2n + 1.,2n -1.,2n + 1 và 2n – 1.,2n – 2.,C,Sinh học 9,False
Đột biến rối loạn phân li của cặp nhiễm sắc thể giới tính ở người:,Chỉ xảy ra ở nữ.,Chỉ xảy ra ở nam.,Xảy ra ở nữ hoặc nam.,Xảy ra ở người mẹ hơn 40 tuổi.,C,Sinh học 9,False
Nguyên phân xảy ra ở các loại tế bào nào?,"Tế bào sinh dưỡng, tế bào sinh dục.","Tế bào sinh dục sơ khai, tế bào sinh dưỡng.",Tế bào sinh dục.,Tế bào sinh dưỡng.,B,Sinh học 9,False
Một đoạn mạch đơn của phân tử ADN có trình tự sắp xếp như sau:,- U–  X   - G  – A - U  – G - X  – A-,–A-  X   - G  – A - A  – G - X  – A-,- U–  X   - T  – A - U  – G - T  – A-,- T–  X   - G  – A - T  – G - X  – A-,D,Sinh học 9,False
"Ở nhóm sinh vật nào dưới đây con đực mang cặp NST giới tính XY, còn con cái mang cặp NST giới tính XX ?","Truyền đạt các tính trạng của bố mẹ, tổ tiên cho các thế hệ con cháu.",Con cái giống bố hoặc mẹ về tất cả các tính trạng.,Con cái giống bố và mẹ về một số tính trạng.,Truyền đạt các tính trạng của bố mẹ cho con cháu.,A,Sinh học 9,True
Phát biểu nào sau đây là không đúng:,Không liên quan đến giới tính vì do gen thường qui định.,"Có liên quan đến giới tính vì bệnh thường biểu hiện ở nam, do gen lặn qui định.","Có liên quan đến giới tính vì do gen lặn qui định, bệnh thường biểu hiện ở nữ.",Có liên quan đến giới tính vì do nhiễm sắc thể giới tính qui định.,B,Sinh học 9,False
Di truyền là hiện tượng,9.,18.,72.,36.,D,Sinh học 9,True
Sự di truyền bệnh máu khó đông có liên quan tới giới tính hay không ?,Vì bố mẹ mang kiểu gen dị hợp Aa.,Vì ông nội bị câm điếc bẩm sinh di truyền cho cháu.,Vì ông ngoại bị câm điếc bẩm sinh di truyền cho cháu.,Do các tác nhân gây đột biến.,A,Sinh học 9,True
Ở cải bắp có bộ nhiễm sắc thể 2n = 18. Hỏi ở kì sau của nguyên phân số lượng nhiễm sắc thể trong tế bào là bao nhiêu?,Màng tế bào.,Chất tế bào.,Nhân tế bào.,Ribôxôm.,C,Sinh học 9,True
cha mẹ bình thường sinh một đứa con gái câm điếc bẩm sinh. Giải thích hiện tượng trên ?,ADN→ ARN → prôtêin.,ADN → ARN.,ARN → prôtêin.,ADN → prôtêin.,A,Sinh học 9,False
Quá trình tự nhân đôi của phân tử ADN xảy ra ở đâu trong tế bào? (mức 1),"Có nhiều tính trạng đối lập, đơn gen, dễ quan sát.","Dễ nuôi trong môi trường tự nhiên, đơn gen.","Thời gian sinh trưởng và phát triển dài, dễ tạo biến dị nên dễ theo dõi.","Dễ nuôi trong ống nghiệm, đẻ nhiều, vòng đời ngắn, có nhiều biến dị dễ quan sát, số lượng NST ít.",D,Sinh học 9,True
Luồng thông tin di truyền ở tế bào được thể hiện bằng sơ đồ nào?,4 phân tử prôtêin.,8 phân tử prôtêin.,12 phân tử prôtêin.,16 phân tử prôtêin.,D,Sinh học 9,False
Ruồi giấm có những đặc điểm nào thuận lợi cho việc nghiên cứu di truyền?,Các nhiễm sắc thể kép nằm gọn trong 2 nhân mới được tạo thành với số lượng là bộ nhiễm sắc thể đơn bội kép.,Các nhiễm sắc thể đơn nằm gọn trong nhân mới được tạo thành với số lượng là bộ nhiễm sắc thể đơn bội.,Các nhiễm sắc thể đơn tháo xoắn trở về dạng sợi mảnh.,Các nhiễm sắc thể kép tháo xoắn trở về dạng sợi mảnh,A,Sinh học 9,True
Môt gen đã tổng hợp được 4 phân tử mARN. Nếu có 4 ribôxôm trượt qua hết các phân tử mARN trên thì có bao nhiêu phân tử prôtêin được hình thành?,Lai các cặp bố mẹ khác nhau về một hoặc một số cặp tính trạng thuần chủng tương phản.,Theo dõi sự di truyền riêng rẽ của từng cặp tính trạng qua các thế hệ lai.,Theo dõi sự di truyền toàn bộ các cặp tính trạng trên con cháu của từng cặp bố mẹ.,"Dùng toán thống kê phân tích các số liệu thu được, từ đó rút ra quy luật di truyền các tính trạng.",C,Sinh học 9,True
Đặc trưng nào dưới đây của nhiễm sắc thể là phù hợp với kì cuối của giảm phân I ?,Cấu tạo gồm 2 mạch xoắn song song.,Cấu tạo gồm 2 mạch thẳng.,Kích thước và khối lượng phân tử nhỏ hơn ADN.,"Gồm có 4 loại đơn phân là: A, T, G, X.",C,Sinh học 9,False
