,Question,Fed_Prompt,Label,Choosed_wrong_answer,True_answer,Subject,Grade
14,"### Câu hỏi: Khi nguyên tử oxygen nhận thêm 2 electron thì ion tạo thành có cấu hình electron của nguyên tử nguyên tố nào?
A. []
B. Neon (Ne)
C. Argon (Ar)
D. Krypton (Kr).
","Khi nguyên tử oxygen nhận thêm 2 electron thì ion tạo thành có cấu hình electron của nguyên tử nguyên tố nào?
A. ",Helium (He),A,B,chemistry,Hóa 10
15,"### Câu hỏi: Tất cả nguyên tử có số điện tích hạt nhân là 8 thuộc nguyên tố nào?
A. Carbon
B. []
C. Aluminium
D. Oxygen.
","Tất cả nguyên tử có số điện tích hạt nhân là 8 thuộc nguyên tố nào?
A. Carbon
B. ",Magnesium,B,D,chemistry,Hóa 10
16,"### Câu hỏi: Liên kết hóa học là?
A. Sự kết hợp giữa phân tử khác với nhau
B. Sự kết hợp giữa các nguyên tử tạo thành phân tử hay tinh thể bền vững hơn
C. Sự kết hợp giữa electron của các phân tử
D. []
","Liên kết hóa học là?
A. Sự kết hợp giữa phân tử khác với nhau
B. Sự kết hợp giữa các nguyên tử tạo thành phân tử hay tinh thể bền vững hơn
C. Sự kết hợp giữa electron của các phân tử
D. ",Sự kết hợp giữa các electron ngoài cùng của các phân tử.,D,B,chemistry,Hóa 10
17,"### Câu hỏi: Một nguyên tử có 40 proton. Số electron của nguyên tử đó là?
A. 40
B. []
C. 42
D. 43
","Một nguyên tử có 40 proton. Số electron của nguyên tử đó là?
A. 40
B. ",41,B,A,chemistry,Hóa 10
18,"### Câu hỏi: Bảng tuần hoàn các nguyên tố hóa học được sắp xếp theo mấy nguyên tắc?
A. []
B. 2
C. 3
D. 4
","Bảng tuần hoàn các nguyên tố hóa học được sắp xếp theo mấy nguyên tắc?
A. ",1,A,C,chemistry,Hóa 10
19,"### Câu hỏi: Phát biểu nào sau đây sai?
A. Tốc độ phản ứng được xác định bằng sự thay đổi lượng chất ban đầu hoặc chất sản phẩm trong một đơn vị thời gian: giây (s), phút (min), giờ (h), ngày (day),…
B. Khi phản ứng hóa học xảy ra, lượng chất đầu tăng dần theo thời gian, trong khi lượng chất sản phẩm giảm dần theo thời gian
C. []
D. Các phản ứng khác nhau xảy ra với tốc độ khác nhau có phản ứng xảy ra nhanh có phản ứng xảy ra chậm.
","Phát biểu nào sau đây sai?
A. Tốc độ phản ứng được xác định bằng sự thay đổi lượng chất ban đầu hoặc chất sản phẩm trong một đơn vị thời gian: giây (s), phút (min), giờ (h), ngày (day),…
B. Khi phản ứng hóa học xảy ra, lượng chất đầu tăng dần theo thời gian, trong khi lượng chất sản phẩm giảm dần theo thời gian
C. ","Lượng chất có thể được biểu diễn bằng số mol, nồng độ mol khối lượng, hoặc thể tích",C,B,chemistry,Hóa 10
20,"### Câu hỏi: Cho các yếu tố sau:

(a) Nồng độ

(b) Nhiệt độ

(c) Chất xúc tác

(d) Áp suất

(e) Khối lượng chất rắn

(f) Diện tích bề mặt chất rắn
A. 3
B. 4
C. 5
D. []
","Cho các yếu tố sau:

(a) Nồng độ

(b) Nhiệt độ

(c) Chất xúc tác

(d) Áp suất

(e) Khối lượng chất rắn

(f) Diện tích bề mặt chất rắn
A. 3
B. 4
C. 5
D. ",6,D,B,chemistry,Hóa 10
21,"### Câu hỏi: Trong các phản ứng hóa học sau, phản ứng nào xảy ra nhanh?
A. Trung hòa acid - base
B. Sắt bị gỉ
C. Tinh bột lên men rượu
D. []
","Trong các phản ứng hóa học sau, phản ứng nào xảy ra nhanh?
A. Trung hòa acid - base
B. Sắt bị gỉ
C. Tinh bột lên men rượu
D. ",Thức ăn bị ôi thiu.,D,A,chemistry,Hóa 10
22,"### Câu hỏi: Khi nào tốc độ của phản ứng tăng?
A. []
B. Áp suất tăng
C. Nhiệt độ giảm
D. Diện tích bề mặt tiếp xúc giảm.
","Khi nào tốc độ của phản ứng tăng?
A. ",Nồng độ giảm,A,B,chemistry,Hóa 10
23,"### Câu hỏi: Phát biểu nào sau đây sai về số oxi hóa?
A. []
B. Số oxi hóa được biết ở dạng số đại số, số viết trước, dấu viết sau
C. Số oxi hóa thường được dùng để lập phương trình hóa học của phản ứng oxi hóa khử
D. Trong phân tử các hợp chất, thông thường số oxi hóa của hydrogen là +1.
","Phát biểu nào sau đây sai về số oxi hóa?
A. ",Số oxi hóa là điện tích quy ước của nguyên tử trong phân tử khi coi tất cả các electron liên kết đều chuyển hoàn toàn về nguyên tử có độ âm điện lớn hơn,A,B,chemistry,Hóa 10
24,"### Câu hỏi: Việc làm nào dưới đây thể hiện sự ảnh hưởng của diện tích bề mặt đến tốc độ phản ứng: $CaCO_3 + 2HCl → CaCl_2 + CO_2 + H_2O$
A. Tăng nồng độ HCl
B. Đập nhỏ đá vôi
C. []
D. Tăng nhiệt độ của phản ứng.
","Việc làm nào dưới đây thể hiện sự ảnh hưởng của diện tích bề mặt đến tốc độ phản ứng: $CaCO_3 + 2HCl → CaCl_2 + CO_2 + H_2O$
A. Tăng nồng độ HCl
B. Đập nhỏ đá vôi
C. ",Thêm chất xúc tác,C,B,chemistry,Hóa 10
25,"### Câu hỏi: Nhóm halogen gồm các nguyên tố thuộc nhóm nào?
A. VA
B. []
C. VIIA
D. VIIIA
","Nhóm halogen gồm các nguyên tố thuộc nhóm nào?
A. VA
B. ",VIA,B,C,chemistry,Hóa 10
26,"### Câu hỏi: Trong tự nhiên, halogen tồn tại ở dạng nào?
A. Đơn chất
B. Hợp chất
C. []
D. Cả đơn chất và hợp chất.
","Trong tự nhiên, halogen tồn tại ở dạng nào?
A. Đơn chất
B. Hợp chất
C. ",Không tồn tại,C,B,chemistry,Hóa 10
27,"### Câu hỏi: Phản ứng tỏa nhiệt là gì?
A. Là phản ứng giải phóng năng lượng dưới dạng nhiệt
B. []
C. Là phản ứng giải phóng ion dưới dạng nhiệt
D. Là phản ứng hấp thụ ion dưới dạng nhiệt.
","Phản ứng tỏa nhiệt là gì?
A. Là phản ứng giải phóng năng lượng dưới dạng nhiệt
B. ",Là phản ứng hấp thụ năng lượng dưới dạng nhiệt,B,A,chemistry,Hóa 10
28,"### Câu hỏi: Số oxi hóa của lưu huỳnh trong ion SO_{4}2- là:
A. -2
B. 0
C. []
D. 6
","Số oxi hóa của lưu huỳnh trong ion SO_{4}2- là:
A. -2
B. 0
C. ",4,C,D,chemistry,Hóa 10
29,"### Câu hỏi: Phản ứng nào sau đây là phản ứng thu nhiệt?
A. Phản ứng tôi vôi
B. []
C. Phản ứng phân hủy đá vôi
D. Phản ứng đốt nhiên liệu.
","Phản ứng nào sau đây là phản ứng thu nhiệt?
A. Phản ứng tôi vôi
B. ",Phản ứng đốt than và củi,B,C,chemistry,Hóa 10
30,"### Câu hỏi: Trong các tính chất sau, những tính chất nào chung cho các đơn chất halogen?
A. Vừa có tính oxi hóa, vừa có tính khử
B. Phân tử gồm hai nguyên tử
C. []
D. Tác dụng mạnh với nước.
","Trong các tính chất sau, những tính chất nào chung cho các đơn chất halogen?
A. Vừa có tính oxi hóa, vừa có tính khử
B. Phân tử gồm hai nguyên tử
C. ","Ở nhiệt độ thường, đều ở trạng thái khí",C,B,chemistry,Hóa 10
31,"### Câu hỏi: Dấu hiệu để nhận biết một phản ứng oxi hóa - khử là?
A. Có sự thay đổi số oxi hóa của các nguyên tử
B. Có sự thay đổi trạng thái của chất phản ứng
C. []
D. Có xuất hiện sản phẩm là chất kết tủa.
","Dấu hiệu để nhận biết một phản ứng oxi hóa - khử là?
A. Có sự thay đổi số oxi hóa của các nguyên tử
B. Có sự thay đổi trạng thái của chất phản ứng
C. ",Có xuất hiện hiện sản phẩm là chất khí,C,A,chemistry,Hóa 10
32,"### Câu hỏi: Liên kết trong phân tử hydrogen halide (HX) là?
A. Liên kết ion
B. Liên kết cho - nhận
C. Liên kết cộng hóa trị phân cực
D. []
","Liên kết trong phân tử hydrogen halide (HX) là?
A. Liên kết ion
B. Liên kết cho - nhận
C. Liên kết cộng hóa trị phân cực
D. ",Liên kết cộng hóa trị không cực.,D,C,chemistry,Hóa 10
33,"### Câu hỏi: Phản ứng nào sau đây là phản ứng oxi hóa - khử
A. []
B. $FeO + H_2SO_4 → FeSO_4 + H_2O.$
C. $NH_3 + HCl → NH_4Cl.$
D. $4NH_3 + 3O_2 → 2N_2 + 6H_2O.$
","Phản ứng nào sau đây là phản ứng oxi hóa - khử
A. ",$NaOH + HCl → NaCl + H_2O.$,A,D,chemistry,Hóa 10
34,"### Câu hỏi: Dung dịch acid nào sau đây không thể chứa trong bình thuỷ tinh?
A. []
B. HCl loãng
C. HF loãng
D. $H_2SO_4$ đặc nóng.
","Dung dịch acid nào sau đây không thể chứa trong bình thuỷ tinh?
A. ",$H_2SO_4$ loãng,A,C,chemistry,Hóa 10
35,"### Câu hỏi: Nhiệt lượng tỏa ra hay thu vào của một phản ứng ở một điều kiện xác định được gọi là gì?
A. Nhiệt lượng tỏa ra
B. Nhiệt lượng thu vào
C. Biến thiên enthalpy
D. []
","Nhiệt lượng tỏa ra hay thu vào của một phản ứng ở một điều kiện xác định được gọi là gì?
A. Nhiệt lượng tỏa ra
B. Nhiệt lượng thu vào
C. Biến thiên enthalpy
D. ",Biến thiên năng lượng.,D,C,chemistry,Hóa 10
36,"### Câu hỏi: Bình chứa làm bằng chất liệu nào sâu đây có thể đựng được dung dịch acid HF?
A. []
B. Sắt
C. Chất dẻo
D. Nhôm
","Bình chứa làm bằng chất liệu nào sâu đây có thể đựng được dung dịch acid HF?
A. ",Thủy tinh,A,C,chemistry,Hóa 10
37,"### Câu hỏi: Phát biểu nào sau đây là sai ?
A. Độ âm điện của bromine lớn hơn của iodine
B. Tính acid của HF mạnh hơn của HCl
C. []
D. Bán kính nguyên tử của chlorine lớn hơn của fluorine.
","Phát biểu nào sau đây là sai ?
A. Độ âm điện của bromine lớn hơn của iodine
B. Tính acid của HF mạnh hơn của HCl
C. ",Tính khử của HBr mạnh hơn của HCl,C,B,chemistry,Hóa 10
38,"### Câu hỏi: Kim loại nào sau đây tác dụng với dung dịch HCl loãng và tác dụng với khí clo cho cùng một muối clorua kim loại ?
A. []
B. Fe
C. Cu
D. Al
","Kim loại nào sau đây tác dụng với dung dịch HCl loãng và tác dụng với khí clo cho cùng một muối clorua kim loại ?
A. ",Ag,A,D,chemistry,Hóa 10
39,"### Câu hỏi: Hợp chất  $Al_{x}(NO_{3})_{3}$ có phân tử khối 213. Giá trị của x là:
A. []
B. 2
C. 1
D. 4
","Hợp chất  $Al_{x}(NO_{3})_{3}$ có phân tử khối 213. Giá trị của x là:
A. ",3,A,C,chemistry,Hóa 10
40,"### Câu hỏi: Bari có hóa tri II. Chọn công thức sai
A. $BaSO_{4}$
B. []
C. BaCl
D. $Ba(OH)_{2}$
","Bari có hóa tri II. Chọn công thức sai
A. $BaSO_{4}$
B. ",BaO,B,C,chemistry,Hóa 8
41,"### Câu hỏi: Khi phân tích hợp chất (X) chứa 27,273% cacbon và còn lại là oxi. Hóa trị của cacbon trong hợp chất trên là bao nhiêu?
A. I
B. []
C. III
D. IV
","Khi phân tích hợp chất (X) chứa 27,273% cacbon và còn lại là oxi. Hóa trị của cacbon trong hợp chất trên là bao nhiêu?
A. I
B. ",II,B,D,chemistry,Hóa 8
42,"### Câu hỏi:  Lập công thức hóa học biết hóa trị của X là I và số p = e là 13 và Y có nguyên tử khối là 35.5
A. NaCl
B. []
C. NaO
D. MgCl
"," Lập công thức hóa học biết hóa trị của X là I và số p = e là 13 và Y có nguyên tử khối là 35.5
A. NaCl
B. ",$BaCl_{2}$,B,A,chemistry,Hóa 8
43,"### Câu hỏi: Lập công thức hóa học của Ca(II) với OH(I)
A. []
B. $Ca(OH)_{2}$
C. $Ca_{2}(OH)$
D. $Ca_3OH$
","Lập công thức hóa học của Ca(II) với OH(I)
A. ",CaOH,A,B,chemistry,Hóa 8
44,"### Câu hỏi: Chọn câu sai
A. []
B. Hoá trị của một nguyên tố được xác định theo hóa trị của H chọn làm đơn vị và hóa trị của oxi là 2 đơn vị
C. Quy tắc hóa trị : x.a=y.b
D. Photpho chỉ có hóa trị IV
","Chọn câu sai
A. ",Hóa tri là con số biểu thị khả năng liên kết của nguyên tử nguyên tố này với nguyên tử nguyên tố kia,A,D,chemistry,Hóa 8
45,"### Câu hỏi: Cho hợp chất của X là XO và hợp chất của Y là $NA_2Y$. Công thức hóa học của hợp chất tạo bởi X và Y là
A. XY
B. $X_2Y$
C. $X_3Y$
D. []
","Cho hợp chất của X là XO và hợp chất của Y là $NA_2Y$. Công thức hóa học của hợp chất tạo bởi X và Y là
A. XY
B. $X_2Y$
C. $X_3Y$
D. ",Tất cả đáp án trên,D,A,chemistry,Hóa 8
46,"### Câu hỏi: Hóa trị của luu huỳnh trong hợp chất nào sau đây lớn nhất?
A. $H_2S$
B. $SO_2$
C. $SO_3$
D. []
","Hóa trị của luu huỳnh trong hợp chất nào sau đây lớn nhất?
A. $H_2S$
B. $SO_2$
C. $SO_3$
D. ",$Al_{2}S_{3}$,D,C,chemistry,Hóa 8
47,"### Câu hỏi: Cho hợp chất oxit của nitơ có dạng $N_aO_b$ Hóa trị của nitơ trong hợp chất oxit trên là :
A. a
B. []
C. $\frac{b}{a}$
D. $\frac{2b}{a}$
","Cho hợp chất oxit của nitơ có dạng $N_aO_b$ Hóa trị của nitơ trong hợp chất oxit trên là :
A. a
B. ",b,B,D,chemistry,Hóa 8
48,"### Câu hỏi: Cho công thức hóa học của hợp chất (X) có dạng $Fe_{2}(SO_{4})_{3}$ phân tử khối của hợp chất (X) bằng 400 đvC. Hóa trị của sắt trong hợp chất này là:
A. I
B. []
C. III
D. IV
","Cho công thức hóa học của hợp chất (X) có dạng $Fe_{2}(SO_{4})_{3}$ phân tử khối của hợp chất (X) bằng 400 đvC. Hóa trị của sắt trong hợp chất này là:
A. I
B. ",II,B,C,chemistry,Hóa 8
49,"### Câu hỏi: Cho công thức sau $CH_{3}COONa$ Tính %mNa
A. 29,27%
B. []
C. 28,05%
D. 39%
","Cho công thức sau $CH_{3}COONa$ Tính %mNa
A. 29,27%
B. ","3,66%",B,C,chemistry,Hóa 8
50,"### Câu hỏi: Chọn câu đúng
A. Hóa trị của C ở CO là IV
B. Quy tắc hóa trị x.a=y.b
C. Công thức hóa học chỉ cho biết nguyên tố nào tạo ra chất
D. []
","Chọn câu đúng
A. Hóa trị của C ở CO là IV
B. Quy tắc hóa trị x.a=y.b
C. Công thức hóa học chỉ cho biết nguyên tố nào tạo ra chất
D. ",Tất cả đáp án đều đúng,D,B,chemistry,Hóa 8
51,"### Câu hỏi: Một hợp chất Y có phân tử khối là 58 đvC cấu tạo từ 2 nguyên tố C và H trong đó C chiếm 82,76% khối lượng của hợp chất. Công thức phân tử của Y là:
A. $CH_4$
B. []
C. $C_4H_10$
D. $C_2H_4$
","Một hợp chất Y có phân tử khối là 58 đvC cấu tạo từ 2 nguyên tố C và H trong đó C chiếm 82,76% khối lượng của hợp chất. Công thức phân tử của Y là:
A. $CH_4$
B. ",$C_4H_8$,B,C,chemistry,Hóa 8
52,"### Câu hỏi: Dãy nguyên tố nào sau đây được sếp theo thứ tự tăng dần về sự phổ biến trong vỏ Trái Đất
A. Ca, Fe, Al, Si, O
B. Fe, Al, Ca, Si, O
C. []
D. Si, O, Fe, Al, Ca
","Dãy nguyên tố nào sau đây được sếp theo thứ tự tăng dần về sự phổ biến trong vỏ Trái Đất
A. Ca, Fe, Al, Si, O
B. Fe, Al, Ca, Si, O
C. ","Ca, Al, Fe, O, Si",C,A,chemistry,Hóa 8
53,"### Câu hỏi: Một oxit của crom là $Cr_2O_3$. Muối chứa crom có hóa trị tương ứng là:
A. $CrSO_{4}$
B. $Cr_{2}(SO_{4})_{3}$
C. $Cr_{2}(SO_{4})_{2}$
D. []
","Một oxit của crom là $Cr_2O_3$. Muối chứa crom có hóa trị tương ứng là:
A. $CrSO_{4}$
B. $Cr_{2}(SO_{4})_{3}$
C. $Cr_{2}(SO_{4})_{2}$
D. ",$Cr_{3}(SO_{4})_{2}$,D,B,chemistry,Hóa 8
54,"### Câu hỏi: Một hợp chất X có thành phần gồm 2 nguyên tố C và O. Biết tỉ lệ khối lượng của C đối với O là $m_C$ : $m_O$ = 3 : 8. Công thức phân tử X là:
A. CO
B. $CO_2$
C. []
D. Tất cả đều sai
","Một hợp chất X có thành phần gồm 2 nguyên tố C và O. Biết tỉ lệ khối lượng của C đối với O là $m_C$ : $m_O$ = 3 : 8. Công thức phân tử X là:
A. CO
B. $CO_2$
C. ",$CO_3$,C,B,chemistry,Hóa 8
55,"### Câu hỏi: Phân tử hợp chất (X) có phân tử khối bằng 46 đvC, biết (X) nguyên tử nguyên tố R kết hợp với 2 nguyên tử O. Tên và kí hiệu của nguyên tố R là:
A. Nitơ (N)
B. Silic (S)
C. []
D. Photpho (P)
","Phân tử hợp chất (X) có phân tử khối bằng 46 đvC, biết (X) nguyên tử nguyên tố R kết hợp với 2 nguyên tử O. Tên và kí hiệu của nguyên tố R là:
A. Nitơ (N)
B. Silic (S)
C. ",Natri (Na),C,A,chemistry,Hóa 8
56,"### Câu hỏi: Từ công thức $KMnO_{4}$ ta biết được thông tin gì
A. Có 4 nguyên tử $O_2$ trong phân tử
B. Hợp chất được tạo từ nguyên tố K, O, Mn
C. []
D. Tất cả đáp án
","Từ công thức $KMnO_{4}$ ta biết được thông tin gì
A. Có 4 nguyên tử $O_2$ trong phân tử
B. Hợp chất được tạo từ nguyên tố K, O, Mn
C. ",Phân tử khối là 99 đvC,C,B,chemistry,Hóa 8
57,"### Câu hỏi: Cháy mạnh, sáng chói, không có khói là hiện tượng của phản ứng
A. []
B. $3Fe+ 2O_2 → Fe_3O_4$
C. $2Cu+ O_2 → 2CuO$
D. $2Zn+ O_2 → 2ZnO$
","Cháy mạnh, sáng chói, không có khói là hiện tượng của phản ứng
A. ",$C + O_2 → CO_2$,A,B,chemistry,Hóa 8
58,"### Câu hỏi: Cho 0,56 g Fe tác dụng với 16 g oxi tạo ra oxit sắt từ. Đến khi phản ứng xảy ra hoàn toàn, tính khối lượng oxit sắt từ và cho biết chất còn dư sau phản ứng?
A. []
B. Fe dư và m = 0,774 g
C. Oxi dư và m = 0,773 g
D. Fe dư và m = 0,67 g
","Cho 0,56 g Fe tác dụng với 16 g oxi tạo ra oxit sắt từ. Đến khi phản ứng xảy ra hoàn toàn, tính khối lượng oxit sắt từ và cho biết chất còn dư sau phản ứng?
A. ","Oxi dư và m = 0,67 g",A,C,chemistry,Hóa 8
59,"### Câu hỏi: Tính chất nào sau đây oxi không có
A. []
B. Trong các hợp chất, oxi có hóa trị 2
C. Tan nhiều trong nước
D. Nặng hơn không khí
","Tính chất nào sau đây oxi không có
A. ",Oxi là chất khí,A,C,chemistry,Hóa 8
60,"### Câu hỏi: Để oxi hóa hoàn toàn một kim loại M hóa trị (II) thành oxi phải dùng một lượng oxi bằng 40% lượng kim loại đã dùng. Kim loại M là kim loại nào dưới đây?
A. []
B. Mg
C. Ca
D. Ba
","Để oxi hóa hoàn toàn một kim loại M hóa trị (II) thành oxi phải dùng một lượng oxi bằng 40% lượng kim loại đã dùng. Kim loại M là kim loại nào dưới đây?
A. ",Zn,A,C,chemistry,Hóa 8
61,"### Câu hỏi: Khi oxi hóa 2 gam một kim loại M thu được 2,54 gam oxit, trong đó M có hóa trị (IV). M là kim loại nào sau đây? (trong ngoặc là nguyên tử khối của kim loại)
A. Fe (56)
B. Mn (55)
C. Sn (118,5)
D. []
","Khi oxi hóa 2 gam một kim loại M thu được 2,54 gam oxit, trong đó M có hóa trị (IV). M là kim loại nào sau đây? (trong ngoặc là nguyên tử khối của kim loại)
A. Fe (56)
B. Mn (55)
C. Sn (118,5)
D. ",Pb (207),D,C,chemistry,Hóa 8
62,"### Câu hỏi: Chọn đáp án đúng
A. Trong thế kỉ 19, oxi thường đi trộn với nito oxit để làm chất giảm đau
B. Oxi được dung làm chất khử
C. []
D. Cả 3 đáp án
","Chọn đáp án đúng
A. Trong thế kỉ 19, oxi thường đi trộn với nito oxit để làm chất giảm đau
B. Oxi được dung làm chất khử
C. ",Phản ứng hóa hợp là 1 chất sau khi có nhiệt độ tạo thành 2 chất,C,A,chemistry,Hóa 8
63,"### Câu hỏi: Sự oxi hóa chậm là:
A. []
B. Sự oxi hóa mà không phát sáng
C. Sự oxi hóa tỏa nhiệt mà không phát sáng
D. Sự bốc cháy
","Sự oxi hóa chậm là:
A. ",Sự oxi hóa mà không tỏa nhiệt,A,C,chemistry,Hóa 8
64,"### Câu hỏi:  Hợp chất oxit nào sau đây không phải là oxit bazơ?
A. $CrO_{3}$
B. $Cr_{2}O_{3}$
C. []
D. $K_2O$
"," Hợp chất oxit nào sau đây không phải là oxit bazơ?
A. $CrO_{3}$
B. $Cr_{2}O_{3}$
C. ",BaO,C,A,chemistry,Hóa 8
