,Question,Fed_Prompt,Label,Choosed_wrong_answer,True_answer,Subject,Grade
10,"### Câu hỏi: Những quy định, quy ước ở một tập thể, một cộng đồng người ở phạm vi hẹp hơn được gọi là?
A. Liêm khiết.
B. []
C. Pháp luật.
D. Kỉ luật.
","Những quy định, quy ước ở một tập thể, một cộng đồng người ở phạm vi hẹp hơn được gọi là?
A. Liêm khiết.
B. ",Công bằng.,B,D,civic_education,GDCD 8
11,"### Câu hỏi: Những quy định của pháp luật và kỉ luật có ý nghĩa như thế nào với mọi người?
A. Giúp cho mọi người có một chuẩn mực chung để rèn luyện và thống nhất trong hoạt động.
B. Giúp cho mọi người gần nhau hơn.
C. Giúp cho mọi người tôn trọng nhau hơn.
D. []
","Những quy định của pháp luật và kỉ luật có ý nghĩa như thế nào với mọi người?
A. Giúp cho mọi người có một chuẩn mực chung để rèn luyện và thống nhất trong hoạt động.
B. Giúp cho mọi người gần nhau hơn.
C. Giúp cho mọi người tôn trọng nhau hơn.
D. ",Giúp cho mọi người hoàn thiện mình hơn.,D,A,civic_education,GDCD 8
12,"### Câu hỏi: Câu ca dao thể hiện tôn trọng pháp luật và kỉ luật
A. Đất có lề, quê có thói
B. Phép vua thua lệ làng
C. []
D. A, B, C
","Câu ca dao thể hiện tôn trọng pháp luật và kỉ luật
A. Đất có lề, quê có thói
B. Phép vua thua lệ làng
C. ",Thương em anh để trong lòng Việc quan anh cứ phép công anh làm,C,D,civic_education,GDCD 8
13,"### Câu hỏi: Tình bạn trong sáng, lành mạnh có ý nghĩa như thế nào?
A. Giúp cho con người cảm thấy ấm áp, tự tin, yêu đời và hoàn thiện mình hơn.
B. []
C. Giúp cho mọi người tôn trọng nhau hơn.
D. Giúp cho mọi người vui vẻ hơn
","Tình bạn trong sáng, lành mạnh có ý nghĩa như thế nào?
A. Giúp cho con người cảm thấy ấm áp, tự tin, yêu đời và hoàn thiện mình hơn.
B. ",Giúp cho mọi người gần nhau hơn.,B,A,civic_education,GDCD 8
14,"### Câu hỏi: Tình cảm gắn bó giữa hai hoặc nhiều người trên cơ sở hợp nhau về tính tình, sở thích, lí tưởng được gọi là?
A. Tình yêu.
B. Tình bạn.
C. []
D. Tình anh em.
","Tình cảm gắn bó giữa hai hoặc nhiều người trên cơ sở hợp nhau về tính tình, sở thích, lí tưởng được gọi là?
A. Tình yêu.
B. Tình bạn.
C. ",Tình đồng chí.,C,B,civic_education,GDCD 8
15,"### Câu hỏi: Đặc điểm của tình bạn trong sáng, lành mạnh là?
A. []
B. Phù hợp với nhau về quan niệm sống.
C. Thông cảm, đồng cảm sâu sắc với nhau.
D. Cả A, B, C.
","Đặc điểm của tình bạn trong sáng, lành mạnh là?
A. ",Bình đẳng và tôn trọng lẫn nhau.,A,D,civic_education,GDCD 8
16,"### Câu hỏi: Em không tán thành ý kiến nào sau đây về tình bạn?
A. []
B. Bạn bè phải biết bảo vệ nhau trong mọi trường hợp.
C. Biết phê bình nhau trong mọi trường hợp.
D. Có thể có tình bạn trong sáng, lành mạnh giữa hai người khác giới.
","Em không tán thành ý kiến nào sau đây về tình bạn?
A. ","Tình bạn trong sáng, lành mạnh không thể có từ một phía",A,C,civic_education,GDCD 8
17,"### Câu hỏi: D là bạn thân của E, trong giờ kiểm tra 15 phút E không học bài cũ nên lén thầy cô giở sách ra chép. Nếu là D em sẽ làm gì?
A. Nhắc nhở bạn, khuyên bạn không được làm như vậy vì vi phạm kỉ luật.
B. []
C. Mặc kệ vì không liên quan đến mình.
D. Nói với cô giáo để bạn bị phạt.
","D là bạn thân của E, trong giờ kiểm tra 15 phút E không học bài cũ nên lén thầy cô giở sách ra chép. Nếu là D em sẽ làm gì?
A. Nhắc nhở bạn, khuyên bạn không được làm như vậy vì vi phạm kỉ luật.
B. ",Nhờ bạn D cho xem tài liệu cùng.,B,A,civic_education,GDCD 8
18,"### Câu hỏi: Vào các dịp ngày lễ lớn trong năm thôn X thường tổ chức các hoạt động giao lưu văn hóa, văn nghệ, thể dục, thể thao để chào mừng; gia đình bà E thường không tham gia vì cho rằng mất thời gian. Em có nhận xét gì về gia đình bà E?
A. Gia đình bà E không tích cực tham gia các hoạt động chính trị - xã hội.
B. []
C. Gia đình bà E sống ích kỉ.
D. Gia đình bà E sống vô cảm.
","Vào các dịp ngày lễ lớn trong năm thôn X thường tổ chức các hoạt động giao lưu văn hóa, văn nghệ, thể dục, thể thao để chào mừng; gia đình bà E thường không tham gia vì cho rằng mất thời gian. Em có nhận xét gì về gia đình bà E?
A. Gia đình bà E không tích cực tham gia các hoạt động chính trị - xã hội.
B. ",Gia đình bà E tích cực tham gia các hoạt động chính trị - xã hội.,B,A,civic_education,GDCD 8
19,"### Câu hỏi: Các tổ chức chính trị do cơ quan, tổ chức nào quản lí?
A. Nhà nước.
B. Đảng Cộng sản Việt Nam.
C. []
D. Cả A và B.
","Các tổ chức chính trị do cơ quan, tổ chức nào quản lí?
A. Nhà nước.
B. Đảng Cộng sản Việt Nam.
C. ","Không do cơ quan, tổ chức nào quản lí, hoạt động tự do.",C,D,civic_education,GDCD 8
20,"### Câu hỏi: Tác hại của tệ nạn xã hội là?
A. Ảnh hưởng đến sức khỏe, tinh thần và đạo đức con người.
B. Làm tan vỡ hạnh phúc gia đình.
C. []
D. Cả A, B, C.
","Tác hại của tệ nạn xã hội là?
A. Ảnh hưởng đến sức khỏe, tinh thần và đạo đức con người.
B. Làm tan vỡ hạnh phúc gia đình.
C. ","Rối loạn trật tự xã hội, suy thoái giống nòi dân tộc.",C,D,civic_education,GDCD 8
21,"### Câu hỏi: Các loại tệ nạn xã hội là?
A. Tham nhũng, nghiện game không lành mạnh.
B. []
C. Ma túy, mại dâm.
D. Cả A, B, C.
","Các loại tệ nạn xã hội là?
A. Tham nhũng, nghiện game không lành mạnh.
B. ","Xâm hại tình dục trẻ em, trộm cắp, lừa đảo.",B,D,civic_education,GDCD 8
22,"### Câu hỏi: Tệ nạn xã hội là là hiện tượng xã hội bao gồm những hành vi sai lệch chuẩn mực xã hội, vi phạm đạo đức và pháp luật, gây hậu quả nghiêm trọng về mọi mặt đối với đời sống xã hội được gọi là?
A. Tệ nạn xã hội.
B. []
C. Vi phạm đạo đức.
D. Vi phạm quy chế.
","Tệ nạn xã hội là là hiện tượng xã hội bao gồm những hành vi sai lệch chuẩn mực xã hội, vi phạm đạo đức và pháp luật, gây hậu quả nghiêm trọng về mọi mặt đối với đời sống xã hội được gọi là?
A. Tệ nạn xã hội.
B. ",Vi phạm pháp luật.,B,A,civic_education,GDCD 8
23,"### Câu hỏi: Hình thức cao nhất xử phạt vi phạm pháp luật là?
A. Tử hình.
B. Chung thân.
C. []
D. Cảnh cáo.
","Hình thức cao nhất xử phạt vi phạm pháp luật là?
A. Tử hình.
B. Chung thân.
C. ",Phạt tù.,C,A,civic_education,GDCD 8
24,"### Câu hỏi: Trẻ dưới 14 tuổi khi vi phạm pháp luật áp dụng hình thức nào?
A. Đưa vào trường giáo dưỡng 1 năm kể từ ngày vi phạm.
B. []
C. Phạt tù.
D. Khuyên răn.
","Trẻ dưới 14 tuổi khi vi phạm pháp luật áp dụng hình thức nào?
A. Đưa vào trường giáo dưỡng 1 năm kể từ ngày vi phạm.
B. ",Cảnh cáo.,B,D,civic_education,GDCD 8
25,"### Câu hỏi: Thời gian dự phòng lây nhiễm HIV/AIDS tốt nhất là trong thời gian nào?
A. []
B. 1 tuần.
C. Ngay sau 2-3 giờ đầu.
D. 1 tháng.
","Thời gian dự phòng lây nhiễm HIV/AIDS tốt nhất là trong thời gian nào?
A. ",1 tiếng.,A,C,civic_education,GDCD 8
26,"### Câu hỏi: Tên gọi của 1 loại vi rút gây suy giảm miễn dịch ở người là?
A. HIV.
B. AIDS.
C. Ebola.
D. []
","Tên gọi của 1 loại vi rút gây suy giảm miễn dịch ở người là?
A. HIV.
B. AIDS.
C. Ebola.
D. ",Cúm gà.,D,A,civic_education,GDCD 8
27,"### Câu hỏi: Dấu hiệu lâm sàng chính khi mắc HIV/AIDS là?
A. Sút cân trên 10% trọng lượng cơ thể.
B. Sốt kéo dài trên 1 tháng.
C. []
D. Cả A, B, C.
","Dấu hiệu lâm sàng chính khi mắc HIV/AIDS là?
A. Sút cân trên 10% trọng lượng cơ thể.
B. Sốt kéo dài trên 1 tháng.
C. ",Ỉa chảy kéo dài trên 1 tháng.,C,D,civic_education,GDCD 8
28,"### Câu hỏi: Virut HIV lây qua:
A. Ăn, uống chung ly, chén với người nhiễm HIV
B. []
C. Ho, hắt hơi
D. Hút thuốc lá, uống rượu bia chung với người nhiễm HIV
","Virut HIV lây qua:
A. Ăn, uống chung ly, chén với người nhiễm HIV
B. ","Muỗi, côn trùng chích hút máu người nhiễm HIV rồi chích sang người lành",B,D,civic_education,GDCD 8
29,"### Câu hỏi: Các việc làm phòng, chống HIV/AIDS là?
A. Tuyên truyền tới mọi người tác hại của ma túy để mọi người phòng chống.
B. Tham gia các hoạt động phòng, chống tại địa phương.
C. []
D. Cả A, B, C.
","Các việc làm phòng, chống HIV/AIDS là?
A. Tuyên truyền tới mọi người tác hại của ma túy để mọi người phòng chống.
B. Tham gia các hoạt động phòng, chống tại địa phương.
C. ","Không buôn bán, vận chuyển, tàng trữ chất ma túy.",C,D,civic_education,GDCD 8
30,"### Câu hỏi: Cơ quan, tổ chức nào được nghiên cứu, chế tạo, sản xuất, kinh doanh, xuất khẩu, nhập khẩu, sửa chữa vũ khí?
A. Tổ chức, doanh nghiệp thuộc Bộ Quốc Phòng và Bộ Công an.
B. Cá nhân.
C. Công ty tư nhân.
D. []
","Cơ quan, tổ chức nào được nghiên cứu, chế tạo, sản xuất, kinh doanh, xuất khẩu, nhập khẩu, sửa chữa vũ khí?
A. Tổ chức, doanh nghiệp thuộc Bộ Quốc Phòng và Bộ Công an.
B. Cá nhân.
C. Công ty tư nhân.
D. ",Tổ chức phản động.,D,A,civic_education,GDCD 8
31,"### Câu hỏi: Ngày toàn dân phòng cháy chữa cháy là
A. Ngày 4 tháng 10
B. Ngày 14 tháng 4
C. []
D. Ngày 10 tháng 4
","Ngày toàn dân phòng cháy chữa cháy là
A. Ngày 4 tháng 10
B. Ngày 14 tháng 4
C. ",Ngày 14 tháng 10,C,A,civic_education,GDCD 8
32,"### Câu hỏi: Hành động nào sau đây không thực hiện đúng quy định về phòng ngừa tai nạn về vũ khí, cháy, nổ và các chất độc hại?
A. []
B. Cưa mìn để lấy thuốc nổ.
C. Dùng dao để đánh nhau.
D. Cả A, B, C.
","Hành động nào sau đây không thực hiện đúng quy định về phòng ngừa tai nạn về vũ khí, cháy, nổ và các chất độc hại?
A. ",Sử dụng súng tự chế.,A,D,civic_education,GDCD 8
33,"### Câu hỏi: Các trường hợp nổ súng quân dụng khi thực hiện nhiệm vụ bảo đảm an ninh, trật tự là?
A. []
B. Đối tượng đang sử dụng vũ khí, vật liệu nổ, vũ lực hoặc công cụ, phương tiện khác gây rối trật tự công cộng đe dọa tính mạng, sức khỏe, tài sản của người khác.
C. Khi biết rõ đối tượng đang thực hiện hành vi phạm tội nghiêm trọng, phạm tội rất nghiêm trọng, phạm tội đặc biệt nghiêm trọng.
D. Cả A, B, C.
","Các trường hợp nổ súng quân dụng khi thực hiện nhiệm vụ bảo đảm an ninh, trật tự là?
A. ","Đối tượng đang sử dụng vũ khí, vật liệu nổ, vũ lực hoặc công cụ, phương tiện khác tấn công hoặc chống trả đe dọa tính mạng, sức khỏe của người thi hành công vụ hoặc người khác.",A,D,civic_education,GDCD 8
34,"### Câu hỏi: Thuốc trừ sâu, thuốc diệt chuột là
A. Vũ khí
B. Chất độc hại
C. Chất thải
D. []
","Thuốc trừ sâu, thuốc diệt chuột là
A. Vũ khí
B. Chất độc hại
C. Chất thải
D. ",Chất nổ,D,B,civic_education,GDCD 8
35,"### Câu hỏi: Chiếm đoạt tài sản có giá trị từ hai trăm triệu đồng đến dưới năm trăm triệu đồng bị phạt tù bao nhiêu năm?
A. Từ 7 năm đến 15 năm.
B. Từ 5 năm đến 15 năm.
C. []
D. Từ 1 năm đến 5 năm.
","Chiếm đoạt tài sản có giá trị từ hai trăm triệu đồng đến dưới năm trăm triệu đồng bị phạt tù bao nhiêu năm?
A. Từ 7 năm đến 15 năm.
B. Từ 5 năm đến 15 năm.
C. ",Từ 5 năm đến 10 năm.,C,A,civic_education,GDCD 8
36,"### Câu hỏi: Chiếm hữu bao gồm?
A. []
B. Chiếm hữu của người không phải chủ sở hữu.
C. Chiếm hữu hoàn toàn và chiếm hữu không hoàn toàn.
D. Cả A, B.
","Chiếm hữu bao gồm?
A. ",Chiếm hữu của chủ sở hữu.,A,D,civic_education,GDCD 8
37,"### Câu hỏi: Việc ông A cho con gái thừa kế 1 mảnh đất đứng tên mình là ông thực hiện quyền nào?
A. Quyền sử dụng.
B. Quyền định đoạt.
C. []
D. Quyền tranh chấp.
","Việc ông A cho con gái thừa kế 1 mảnh đất đứng tên mình là ông thực hiện quyền nào?
A. Quyền sử dụng.
B. Quyền định đoạt.
C. ",Quyền chiếm hữu.,C,B,civic_education,GDCD 8
38,"### Câu hỏi: Nhà nước … quyền sở hữu hợp pháp của công dân. Trong dấu “…” đó là?
A. Công nhận và chịu trách nhiệm.
B. Bảo hộ và chịu trách nhiệm.
C. []
D. Công nhận và bảo hộ.
","Nhà nước … quyền sở hữu hợp pháp của công dân. Trong dấu “…” đó là?
A. Công nhận và chịu trách nhiệm.
B. Bảo hộ và chịu trách nhiệm.
C. ",Công nhận và đảm bảo.,C,D,civic_education,GDCD 8
39,"### Câu hỏi: Trách nhiệm nhà nước bao gồm:
A. Ghi nhận trong Hiến pháp và các văn bản quy định pháp luật quyền sở hữu của công dân.
B. []
C. Tuyên truyền, giáo dục công dân cách thức bảo vệ quyền sở hữu của mình và ý thức tôn trọng quyền sở hữu của người khác.
D. Tất cả các đáp án trên đúng
","Trách nhiệm nhà nước bao gồm:
A. Ghi nhận trong Hiến pháp và các văn bản quy định pháp luật quyền sở hữu của công dân.
B. ",Quy định các biện pháp và hình thức xử lí đối với các hành vi xâm phạm quyền sở hữu…,B,D,civic_education,GDCD 8
40,"### Câu hỏi: Sản xuất của cải vật chất là quá trình
A. Tạo ra của cải vật chất.
B. Sản xuất xã hội.
C. Con người tác động vào tự nhiên để tạo ra các sản phẩm phù hợp với như cầu của mình.
D. []
","Sản xuất của cải vật chất là quá trình
A. Tạo ra của cải vật chất.
B. Sản xuất xã hội.
C. Con người tác động vào tự nhiên để tạo ra các sản phẩm phù hợp với như cầu của mình.
D. ","Tạo ra cơm ăn, áo mặc, tạo ra tư liệu sản xuất.",D,C,civic_education,GDCD 8
41,"### Câu hỏi: Một trong những vai trò của sản xuất của cải vật chất là
A. Cơ sở tồn tại của xã hội.
B. Tạo ra các giá trị vật chất và tinh thần
C. Giúp con người có việc làm.
D. []
","Một trong những vai trò của sản xuất của cải vật chất là
A. Cơ sở tồn tại của xã hội.
B. Tạo ra các giá trị vật chất và tinh thần
C. Giúp con người có việc làm.
D. ",Thúc đẩy tăng trưởng kinh tế.,D,A,civic_education,GDCD 8
42,"### Câu hỏi: sản xuất của cải vật chất có vai trò quyết định
A. Mọi hoạt động của xã hội.
B. Số lượng hang hóa trong xã hội
C. Thu nhập của người lao động.
D. []
","sản xuất của cải vật chất có vai trò quyết định
A. Mọi hoạt động của xã hội.
B. Số lượng hang hóa trong xã hội
C. Thu nhập của người lao động.
D. ",Việc làm của người lao động.,D,A,civic_education,GDCD 8
43,"### Câu hỏi: Trong các yếu tố cấu thành tư liệu lao động, yếu tố nào dưới đây quan trọng nhất?
A. Kết cấu hạ tầng của sản xuất.
B. Công cụ lao động.
C. []
D. Cơ sở vật chất.
","Trong các yếu tố cấu thành tư liệu lao động, yếu tố nào dưới đây quan trọng nhất?
A. Kết cấu hạ tầng của sản xuất.
B. Công cụ lao động.
C. ",Hệ thống bình chứa của sản xuất.,C,B,civic_education,GDCD 8
44,"### Câu hỏi: Yếu tố nào dưới đây giữ vai trò quan trọng và quyết định nhất trong quá trình sản xuất?
A. Đối tượng lao động.
B. Sức lao động.
C. Tư liệu lao động.
D. []
","Yếu tố nào dưới đây giữ vai trò quan trọng và quyết định nhất trong quá trình sản xuất?
A. Đối tượng lao động.
B. Sức lao động.
C. Tư liệu lao động.
D. ",Máy móc hiện đại.,D,B,civic_education,GDCD 8
45,"### Câu hỏi: Một sản phẩm trở thành hang hóa cần có mấy điều kiện?
A. Hai điều kiện
B. Bốn điều kiện
C. Ba điều kiện
D. []
","Một sản phẩm trở thành hang hóa cần có mấy điều kiện?
A. Hai điều kiện
B. Bốn điều kiện
C. Ba điều kiện
D. ",Một điều kiện,D,C,civic_education,GDCD 8
46,"### Câu hỏi: Hàng hóa có hai thuộc tính là
A. Giá trị và giá cả
B. Giá trị trao đổi và giá trị sử dụng
C. []
D. Giá trị và giá trị sử dụng
","Hàng hóa có hai thuộc tính là
A. Giá trị và giá cả
B. Giá trị trao đổi và giá trị sử dụng
C. ",Giá cả và giá trị sử dụng,C,D,civic_education,GDCD 8
47,"### Câu hỏi: Giá trị của hàng hóa là
A. Lao động của từng người sản xuất hàng hóa kết tinh trong hàng hóa
B. Lao động xã hội của người sản xuất hàng hóa kết tinh trong hàng hóa
C. Chi phí làm ra hàng hóa
D. []
","Giá trị của hàng hóa là
A. Lao động của từng người sản xuất hàng hóa kết tinh trong hàng hóa
B. Lao động xã hội của người sản xuất hàng hóa kết tinh trong hàng hóa
C. Chi phí làm ra hàng hóa
D. ",Sức lao động của người sản xuất hàng hóa kết tinh trong hàng hóa,D,B,civic_education,GDCD 8
48,"### Câu hỏi: Giá trị của hàng hóa được thực hiện khi
A. []
B. Người sản xuất mang hàng hóa ra thị trường bán
C. Người sản xuất mang hàng hóa ra thị trường bán và bán được
D. Người sản xuất cung ứng được hàng hóa có nhiều giá trị sử dụng
","Giá trị của hàng hóa được thực hiện khi
A. ",Người sản xuất cung ứng hàng hóa phù hợp với nhu cầu nhu cầu của người tiêu dùng,A,C,civic_education,GDCD 8
49,"### Câu hỏi: Vật phẩm nào dưới đây không phải là hàng hóa
A. []
B. Nước máy
C. Không khí
D. Rau trồng để bán
","Vật phẩm nào dưới đây không phải là hàng hóa
A. ",Điện,A,C,civic_education,GDCD 8
50,"### Câu hỏi: Công bằng, không thiên vị, giải quyết công việc theo lẽ phải, đặt lợi ích chung lên trên lợi ích cá nhân là biểu hiện của phẩm chất
A. Chí công vô tư
B. Khoan dung
C. Tự giác, sáng tạo
D. []
","Công bằng, không thiên vị, giải quyết công việc theo lẽ phải, đặt lợi ích chung lên trên lợi ích cá nhân là biểu hiện của phẩm chất
A. Chí công vô tư
B. Khoan dung
C. Tự giác, sáng tạo
D. ",Tự chủ,D,A,civic_education,GDCD 9
51,"### Câu hỏi: Biểu hiện không phải là chí công vô tư là ?
A. Trong công việc, ưu ái người nhà hơn người ngoài.
B. []
C. Chỉ phạt những học sinh vi phạm, không phạt học sinh là cháu của giáo viên.
D. Cả A,B,C.
","Biểu hiện không phải là chí công vô tư là ?
A. Trong công việc, ưu ái người nhà hơn người ngoài.
B. ",Giao công việc cho nam nhiều hơn nữ.,B,D,civic_education,GDCD 9
52,"### Câu hỏi: Người chí công vô tư là người luôn sống
A. ích kỉ, hẹp hòi.
B. mánh khoé, vụ lợi.
C. []
D. công bằng, chính trực.
","Người chí công vô tư là người luôn sống
A. ích kỉ, hẹp hòi.
B. mánh khoé, vụ lợi.
C. ","gió chiều nào, xoay chiều nấy.",C,D,civic_education,GDCD 9
53,"### Câu hỏi: Không thiên vị, giải quyết công việc theo lẽ phải, xuất phát từ lợi ích chung, đặt lợi ích chung lên trên lợi ích cá nhân được gọi là ?
A. Đức tính khiêm nhường
B. Đức tính tiết kiệm
C. []
D. Đức tính chí công vô tư
","Không thiên vị, giải quyết công việc theo lẽ phải, xuất phát từ lợi ích chung, đặt lợi ích chung lên trên lợi ích cá nhân được gọi là ?
A. Đức tính khiêm nhường
B. Đức tính tiết kiệm
C. ",Đức tính trung thực,C,D,civic_education,GDCD 9
54,"### Câu hỏi: Ý kiến nào dưới đây thể hiện chí công vô tư?
A. Luôn nhận định theo số đông là chí công vô tư.
B. Cán bộ lớp đương nhiên là người chí công vô tư.
C. Cần thẳng thắn phê bình lỗi sai của người khác để họ sửa chữa.
D. []
","Ý kiến nào dưới đây thể hiện chí công vô tư?
A. Luôn nhận định theo số đông là chí công vô tư.
B. Cán bộ lớp đương nhiên là người chí công vô tư.
C. Cần thẳng thắn phê bình lỗi sai của người khác để họ sửa chữa.
D. ",Đừng bao giờ nêu khuyết điểm của người khác trước tập thể.,D,C,civic_education,GDCD 9
55,"### Câu hỏi: Ngoài giờ đi học, E tranh thủ thời gian ra đồng đi bắt cua để lấy tiền đóng học thêm. Việc làm đó thể hiện điều gì?
A. E là người tự chủ.
B. E là người trung thực.
C. []
D. E là người khiêm nhường.
","Ngoài giờ đi học, E tranh thủ thời gian ra đồng đi bắt cua để lấy tiền đóng học thêm. Việc làm đó thể hiện điều gì?
A. E là người tự chủ.
B. E là người trung thực.
C. ",E là người thật thà.,C,A,civic_education,GDCD 9
56,"### Câu hỏi: Biểu hiện nào dưới đây thể hiện sự thiếu tự chủ?
A. Ôn tồn, mềm mỏng, lịch sự khi giải quyết công việc.
B. Bình tĩnh, sáng suốt đưa ra những quyết định đúng đắn.
C. Hay nồi nóng, cãi vã, gây gỗ với mọi người xung quanh.
D. []
","Biểu hiện nào dưới đây thể hiện sự thiếu tự chủ?
A. Ôn tồn, mềm mỏng, lịch sự khi giải quyết công việc.
B. Bình tĩnh, sáng suốt đưa ra những quyết định đúng đắn.
C. Hay nồi nóng, cãi vã, gây gỗ với mọi người xung quanh.
D. ","Không chán nản, tuyệt vọng khi gặp khó khăn.",D,C,civic_education,GDCD 9
57,"### Câu hỏi: Một bạn trong lớp đùa nghịch làm hỏng món đồ rất có y nghĩa của em. Là người tự chủ, em sẽ
A. Báo cáo cô giáo.
B. Bình tĩnh nói chuyện với bạn.
C. Yêu cầu bạn mua đền món đồ.
D. []
","Một bạn trong lớp đùa nghịch làm hỏng món đồ rất có y nghĩa của em. Là người tự chủ, em sẽ
A. Báo cáo cô giáo.
B. Bình tĩnh nói chuyện với bạn.
C. Yêu cầu bạn mua đền món đồ.
D. ",Nghĩ cách trả thù lại bạn.,D,B,civic_education,GDCD 9
