Question,A,B,C,D,Answer,subject
sản xuất của cải vật chất có vai trò quyết định,Mọi hoạt động của xã hội.,Số lượng hang hóa trong xã hội,Thu nhập của người lao động.,Việc làm của người lao động.,A,civic_education
"Trong các yếu tố cấu thành tư liệu lao động, yếu tố nào dưới đây quan trọng nhất?",Kết cấu hạ tầng của sản xuất.,Công cụ lao động.,Hệ thống bình chứa của sản xuất.,Cơ sở vật chất.,B,civic_education
Yếu tố nào dưới đây giữ vai trò quan trọng và quyết định nhất trong quá trình sản xuất?,Đối tượng lao động.,Sức lao động.,Tư liệu lao động.,Máy móc hiện đại.,B,civic_education
Một sản phẩm trở thành hang hóa cần có mấy điều kiện?,Hai điều kiện,Bốn điều kiện,Ba điều kiện,Một điều kiện,C,civic_education
Hàng hóa có hai thuộc tính là,Giá trị và giá cả,Giá trị trao đổi và giá trị sử dụng,Giá cả và giá trị sử dụng,Giá trị và giá trị sử dụng,D,civic_education
Giá trị của hàng hóa là,Lao động của từng người sản xuất hàng hóa kết tinh trong hàng hóa,Lao động xã hội của người sản xuất hàng hóa kết tinh trong hàng hóa,Chi phí làm ra hàng hóa,Sức lao động của người sản xuất hàng hóa kết tinh trong hàng hóa,B,civic_education
Giá trị của hàng hóa được thực hiện khi,Người sản xuất cung ứng hàng hóa phù hợp với nhu cầu nhu cầu của người tiêu dùng,Người sản xuất mang hàng hóa ra thị trường bán,Người sản xuất mang hàng hóa ra thị trường bán và bán được,Người sản xuất cung ứng được hàng hóa có nhiều giá trị sử dụng,C,civic_education
Vật phẩm nào dưới đây không phải là hàng hóa,Điện,Nước máy,Không khí,Rau trồng để bán,C,civic_education
"Công bằng, không thiên vị, giải quyết công việc theo lẽ phải, đặt lợi ích chung lên trên lợi ích cá nhân là biểu hiện của phẩm chất",Chí công vô tư,Khoan dung,"Tự giác, sáng tạo",Tự chủ,A,civic_education
Biểu hiện không phải là chí công vô tư là ?,"Trong công việc, ưu ái người nhà hơn người ngoài.",Giao công việc cho nam nhiều hơn nữ.,"Chỉ phạt những học sinh vi phạm, không phạt học sinh là cháu của giáo viên.","Cả A,B,C.",D,civic_education
Người chí công vô tư là người luôn sống,"ích kỉ, hẹp hòi.","mánh khoé, vụ lợi.","gió chiều nào, xoay chiều nấy.","công bằng, chính trực.",D,civic_education
"Không thiên vị, giải quyết công việc theo lẽ phải, xuất phát từ lợi ích chung, đặt lợi ích chung lên trên lợi ích cá nhân được gọi là ?",Đức tính khiêm nhường,Đức tính tiết kiệm,Đức tính trung thực,Đức tính chí công vô tư,D,civic_education
Ý kiến nào dưới đây thể hiện chí công vô tư?,Luôn nhận định theo số đông là chí công vô tư.,Cán bộ lớp đương nhiên là người chí công vô tư.,Cần thẳng thắn phê bình lỗi sai của người khác để họ sửa chữa.,Đừng bao giờ nêu khuyết điểm của người khác trước tập thể.,C,civic_education
"Ngoài giờ đi học, E tranh thủ thời gian ra đồng đi bắt cua để lấy tiền đóng học thêm. Việc làm đó thể hiện điều gì?",E là người tự chủ.,E là người trung thực.,E là người thật thà.,E là người khiêm nhường.,A,civic_education
Biểu hiện nào dưới đây thể hiện sự thiếu tự chủ?,"Ôn tồn, mềm mỏng, lịch sự khi giải quyết công việc.","Bình tĩnh, sáng suốt đưa ra những quyết định đúng đắn.","Hay nồi nóng, cãi vã, gây gỗ với mọi người xung quanh.","Không chán nản, tuyệt vọng khi gặp khó khăn.",C,civic_education
"Một bạn trong lớp đùa nghịch làm hỏng món đồ rất có y nghĩa của em. Là người tự chủ, em sẽ",Báo cáo cô giáo.,Bình tĩnh nói chuyện với bạn.,Yêu cầu bạn mua đền món đồ.,Nghĩ cách trả thù lại bạn.,B,civic_education
"Trên đường đi học về, N gặp 1 vụ tai nạn giao thông thảm khốc, trên đường có cảnh người bị chảy máu rất nhiều, em nhỏ bị gãy chân, trước tình huống đó N cùng mọi người giúp đỡ đưa họ vào bệnh viện và gọi điện thoại báo tin cho gia đình họ. Việc làm đó thể hiện điều gì?",N là người tự chủ.,N là người trung thực.,N người thật thà.,N là người tôn trọng người khác.,A,civic_education
Câu ca dao tục ngữ nào thể hiện tự chủ?,Học thầy không tày học bạn.,Kiến tha lâu ngày cũng đầy tổ.,Tích tiểu thành đại.,Dù ai nói ngả nói nghiêng/ Lòng ta vẫn vững như kiềng ba chân.,D,civic_education
Câu “Gió chiều nào che chiều ấy” nói về người không có tính,Tự chủ,Sáng tạo,Năng động,Cần cù,A,civic_education
"Thầy giao bài tập về nhà môn Toán, B đọc và suy nghĩ mãi không làm được nên B lên mạng tìm lời giải và chép lời giải coi như làm xong bài tập về nhà. B là người như thế nào?",B là người không thật thà.,B là người không thẳng thắn.,B là người không tự chủ.,B là người không tự tin.,C,civic_education
Hành vi nào dưới đây vi phạm kỉ luật của học sinh?,Đi học đúng giờ,Nghỉ học không xin phép.,Tự ý bỏ việc không báo trước.,Phát biểu trong các cuộc họp lớp.,B,civic_education
"Mọi người được làm chủ công việc của tập thể của xã hội, được tham gia đóng góp ý kiến, giám sát những công việc chung được gọi là ?",Khiêm nhường,Dân chủ,Trung thực,Kỉ luật.,B,civic_education
"Trong buôi thảo luận để xây dựng kế hoạch hoạt động ngoại khoá cho lớp, việc làm nào dưới đây chưa phát huy được tính dân chủ và kỉ luật của học sinh?",Để cán bộ lớp quyết định.,Sôi nổi đề xuất ý kiến,Tôn trọng ý kiến của tập thể,Tích cực tham gia các hoạt động của lớp.,A,civic_education
"Trong các hoạt động của lớp, bạn lớp trưởng luôn đưa ra quyết định và yêu cầu các bạn thực hiện theo. Nếu là một thành viên trong lớp đó, em sẽ làm gì để phát huy tính dân chủ và kỉ luật?",Không tham gia các hoạt động của lớp.,Nghe theo mọi quyết định của lớp trưởng.,Cãi nhau để phản đối ý kiến của lớp trưởng.,Thẳng thắn góp ý để bạn lớp trưởng rút kinh nghiệm.,D,civic_education
Việc làm nào dưới đây góp phân bảo vệ hoà bình cho nhân loại?,"Kích động, chia rẽ giữa các dân tộc, tôn giáo","Gây chiến tranh, khủng bố ở nhiều nơi trên thế giới","Thiết lập quan hệ hợp tác, hữu nghị giữa các dân tộc",Hạn chế quan hệ với các nước khác để tránh xảy ra xung đột,C,civic_education
Bảo vệ hoà bình là trách nhiệm của,tất cả các quốc gia trên thế giới.,những nước đang phát triển,những nước đang có chiến tranh,chỉ những nước lớn,A,civic_education
"Gìn giữ cuộc sống xã hội bình yên, dùng thương lượng, đàm phán để giải quyết mọi mâu thuẫn, xung đột giữa các dân tộc, tôn giáo và quốc gia được gọi là",Bảo vệ đất nước,Hoạt động chính trị,Bảo vệ hòa bình,Hoạt động ngoại giao,C,civic_education
Sự kiện đánh dấu sự chấm dứt chiến tranh Việt Nam là?,30/4/1975.,01/5/1975.,02/9/1945.,30/4/1954.,A,civic_education
"Làm việc có năng suất, chất lượng, hiệu quả là tạo ra nhiều sản phẩm",kém chất lượng.,trong một thời gian nhất định.,có giá trị cao trong một thời gian nhất định.,có chất lượng nhưng mất nhiều thời gian.,C,civic_education
"Biểu hiện của việc làm việc không năng suất, chất lượng, hiệu quả là?",Làm việc riêng trong giờ.,Vừa xem ti vi vừa ăn cơm.,Vừa học vừa xem ti vi.,"Cả A,B,C.",D,civic_education
"Làm việc có năng suất, chất lượng, hiệu quả là ...đối với mỗi người trong thời đại ngày nay. Trong dấu “...” là?",Yêu cầu.,Điều kiện.,Tiền đề.,Động lực.,A,civic_education
"Ý kiến nào dưới đây không phải ý nghĩa của làm việc có năng suất, chất lượng, hiệu quả?",Giúp mỗi người đạt được mọi mục đích đã đề ra.,Góp phân nâng cao chất lượng cuộc sống của mỗi cá nhân.,Là yêu cầu của người lao động trong xã hội hiện đại.,Thúc đẩy sự phát triển của đất nước trong thời kì hội nhập.,A,civic_education
"Quan điểm nào dưới đây đúng về làm việc có năng suất, chất lượng, hiệu quả?",Trong sản xuất chỉ cần chú ý đến chất lượng sản phẩm.,Trong sản xuất chỉ cần chú ý đến chất lượng sản phẩm.,"Làm việc năng suất, chất lượng sẽ đem lại hiệu quả trong lao động.","Làm việc năng suất, chất lượng sẽ đem lại hiệu quả trong lao động.",C,civic_education
"Để đạt hiệu quả trong học tập, học sinh cần","học ít, chơi nhiều.",thức khuya để học bài.,chép bài của bạn.,chép bài của bạn.,D,civic_education
Tạo ra được nhiêu sản phẩm có giá trị cao về cả nội dung và hình thức trong một thời gian nhất định là biểu hiện của,tự chủ trong công việc.,hợp tác cùng phát triển.,"năng động, sáng tạo trong công việc","làm việc có năng suất, chất lượng, hiệu quả.",D,civic_education
Hôn nhân hạnh phúc phải được xây dựng trên cơ sở quan trọng nào dưới đây?,Hoàn cảnh gia đình tương xứng,Hợp nhau về gu thời trang.,Tình yêu chân chính,Có việc làm ổn định.,C,civic_education
"Pháp luật Việt Nam quy định độ tuổi nào dưới đây được phép kết hôn?
","Nam, nữ từ đủ 18 tuổi trở lên.","Nam, nữ từ đủ 20 tuổi trở lên.","Nam từ 20 tuổi trở lên, nữ từ 18 tuổi trở lên","Nam từ đủ 20 tuổi trở lên, nữ từ đủ 18 tuổi trở lên.",D,civic_education
Em không đồng ý với ý kiến nào dưới đây khi nói về hôn nhân?,Hôn nhân phải được Nhà nước thừa nhận.,Mục đích chính của hôn nhân là để duy trì và phát triển kinh tế.,"Hôn nhân nhằm mục đích chung sống lâu dài và xây dựng gia đình hoà thuận, hạnh phúc.","Hôn nhân là sự liên kết đặc biệt giữa một nam và một nữ trên nguyên tắc bình đẳng, tự nguyện.",B,civic_education
Hậu quả nào dưới đây không phải của nạn tảo hôn?,Không thể gặp lại người thân.,Làm giảm chất lượng dân số.,Ảnh hưởng xấu đến sức khoẻ của cả mẹ và con.,Mâu thuẫn trong gia đình do vợ chồng còn quá trẻ.,A,civic_education
Ý nào dưới đây vi phạm nguyên tắc cơ bản của chế độ hôn nhân ở Việt Nam?,"Hôn nhân tiến bộ, một vợ một chồng, vợ chồng bình đẳng.","Hôn nhân tự nguyện, tiến bộ, không ai có quyền can thiệp.",Hôn nhân giữa người theo tôn giáo với người không theo tôn giáo.,Hôn nhân cùng lúc giữa một công dân Việt Nam với hai người nước ngoài.,D,civic_education
"Dựa vào kiến thức bài quyền và nghĩa vụ của công dân trong hôn nhân, em không đồng ý với quan điểm nào dưới đây?","Ép dầu ép mỡ, ai nỡ ép duyên.",Con hư tại mẹ cháu hư tại bà.,Thuận vợ thuận chồng tát biển Đông cũng cạn.,Chồng em áo rách em thương/ Chồng người áo gấm sông hương mặc người.,B,civic_education
Hoạt động lao động tạo ra thu nhập mà không bị pháp luật cắm được gọi là,học nghề,việc làm,cải tạo,hướng nghiệp.,B,civic_education
Những hành vi nào dưới đây là không đúng với luật lao động,Bắt trẻ dưới 15 tuổi vào làm việc.,Công dân đủ 16 tuổi được nhận vào các công ty để làm việc.,Được nghỉ tất cả các ngày lễ tết theo quy định của nhà nước.,"Được tham hỏi những lúc ốm đau, bệnh tật.",A,civic_education
Một trong những nội dung về bình đẳng trong thực hiện quyền lao động là mọi người đều có quyền lựa chọn ?,việc làm theo sở thích của mình.,việc làm phù hợp với khả năng của mình mà không bị phân biệt đối xử.,điều kiện làm việc theo nhu cầu của mình.,thời gian làm việc theo ý muốn chủ quan của mình.,B,civic_education
"Theo quy định của pháp luật, thời gian làm việc của lao động từ đủ 15 tuổi đến dưới 18 tuổi là không quá",5 giờ/ngày và 25 giờ/tuần,6 giờ/ngày và 30 giờ/tuần.,7 giờ/ngày và 35 giờ/tuần,8 giờ/ngày và 40 giờ/tuần.,D,civic_education
"Vi phạm pháp luật dân sự là hành vi vi phạm pháp luật, xâm phạm tới",các quan hệ công vụ và nhân thân,các quy tắc quản lí nhà nước.,các quy tắc quản lí nhà nước.,"các quan hệ lao động, công vụ nhà nước.",C,civic_education
Nhà nước đưa ra trách nhiệm pháp lý là nhằm :,Phạt tiền người vi phạm.,"Buộc chủ thể vi phạm chấm dứt hành vi trái pháp luật, phải chịu những thiệt hại nhất định; giáo dục răn đe những người khác.",Lập lại trật tự xã hội.,Ngăn chặn người vi phạm có thể có vi phạm mới.,B,civic_education
"Nghĩa vụ mà các cá nhân, cơ quan, tô chức vi phạm pháp luật phải chấp hành những biện pháp bắt buộc do Nhà nước quy định được gọi là",trách nhiệm pháp lí,vi phạm pháp luật.,trách nhiệm gia đình,vi phạm đạo đức.,A,civic_education
“tội phạm” là người có hành vi vi phạm,pháp luật dân sự,pháp luật hành chính.,pháp luật hình sự,kỉ luật.,C,civic_education
Nhà bạn B rất nghèo nhưng bạn B luôn ăn chơi đua đòi và đòi mẹ phải mua cho chiếc điện thoại Iphone thì mới chịu đi học. Em có nhận xét gì về bạn B?,"Bạn B là người sống xa hoa, lãng phí.",Bạn B là người vô tâm.,Bạn B là người tiết kiệm.,Bạn B là người vô ý thức.,A,civic_education
Biểu hiện của sống giản dị là?,"Ăn nói ngắn gọn, dễ hiểu, lịch sự.","Ăn mặc gọn gàng, không lòe loẹt.",Sống hòa đồng với bạn bè.,"Cả A, B, C.",D,civic_education
Sống giản dị có ý nghĩa như thế nào đối với mỗi người ?,"Được mọi người yêu mến, cảm thông và giúp đỡ.",Được mọi người chia sẻ khó khăn.,Được mọi người yêu mến.,Được mọi người giúp đỡ.,A,civic_education
Đối lập với giản dị là?,"Xa hoa, lãng phí.","Cần cù, siêng năng.",Tiết kiệm.,Thẳng thắn.,A,civic_education
Biểu hiện của sống không giản dị là?,"Chỉ chơi với người giàu, không chơi với người nghèo.",Không chơi với bạn khác giới.,Không giao tiếp với người dân tộc.,"Cả A,B,C.",D,civic_education
Tại trường em nhà trường có quy định đối với học sinh nữ không được đánh son khi đến trường. Tuy nhiên ở lớp em một số bạn nữ vẫn đánh son và trang điểm rất đậm khi đến lớp. Hành động đó nói lên điều gì?,Lối sống không giản dị.,Lối sống tiết kiệm.,Đức tính cần cù.,Đức tính khiêm tốn.,A,civic_education
"Sống giản dị là sống phù hợp với….của bản thân, gia đình và xã hội?. Trong dấu “…” đó là?",Điều kiện.,Hoàn cảnh.,"Điều kiện, hoàn cảnh.",Năng lực.,C,civic_education
Sống giản dị là:,"Quần áo gọn gàng, sạch sẽ, không ăn mặc áo quần trông lạ mắt so với mọi người.","Tác phong tự nhiên, đi đứng đàng hoàng, không điệu bộ, kiểu cách.","Thực hiện đúng nội quy của nhà trường đề ra, trang phục khi đến trường sạch sẽ, tươm tất, lịch sử, bảo vệ của công, không xa hoa lãng phí.",Tất cả các đáp án trên,D,civic_education
Tục ngữ: “Cây ngay không sợ chết đứng” nói về đức tính gì ?,Giản dị.,Tiết kiệm.,Trung thực.,Khiêm tốn.,C,civic_education
Ca dao tục ngữ thể hiện tính trung thực,Cây ngay không sợ chết đứng,Ăn ngay nói thật mọi tật mọi lành,Người gian thì sợ người ngay/ Người ngay chẳng sợ đường cày cong queo,"A, B, C đúng",D,civic_education
"Sống ngay thẳng, thật thà và dám dũng cảm nhận lỗi khi mình mắc khuyết điểm nói về đức tính nào ?",Đức tính thật thà.,Đức tính khiêm tốn.,Đức tính tiết kiệm.,Đức tính trung thực.,D,civic_education
Hành vi nào sau đây không biểu hiện tính trung thực.,Không chỉ bài cho bạn trong giờ kiểm tra,Không bao che cho bạn khi mắc lỗi,Để đạt điểm cao khi kiểm tra N nhìn trộm bài của bạn,Nhặt được của rơi trả cho người bị mất,C,civic_education
Đối lập với trung thực là?,Giả dối.,Tiết kiệm.,Chăm chỉ.,Khiêm tốn.,A,civic_education
"Trong giờ sinh hoạt lớp, trong tuần 3 bạn K bị mắc 7 lỗi nói chuyện trong giờ học và 2 lỗi vi phạm quy chế thi. Đã nhiều lần cô giáo nhắc nhở nhưng bạn K vẫn vi phạm và bạn K cho rằng bạn K làm gì thì kệ bạn K không liên quan đến các bạn và cô giáo. Là bạn học cùng lớp em sẽ làm gì để giúp bạn K cải thiện tính đó?",Không quan tâm vì không liên quan đến mình.,Nói với bố mẹ bạn K để bố mẹ bạn K dạy giỗ.,Không chơi cùng với bạn K vì bạn K là người vô ý thức.,"Nhắc nhở, giúp đỡ bạn trong học tập và khuyên bạn không được làm như vậy vì vi phạm kỉ luật.",D,civic_education
Đã nhiều lần bạn V hứa trước lớp là sẽ không nói chuyện trong giờ. Nhiều lần nhắc nhỏ nhưng bạn V vẫn vi phạm lỗi. Điều đó cho thấy V là người như thế nào?,V là người không có lòng tự trọng.,V là người lười biếng.,V là người dối trá.,V là người vô cảm.,A,civic_education
Không làm được bài nhưng kiên quyết không quay cóp và không nhìn bài của bạn. Hành động đó thể hiện?,Thật thà.,Lòng tự trọng.,Chăm chỉ.,Khiêm tốn.,B,civic_education
Người không có tự trọng,Luôn làm sai,Luôn trách mắng người khác mà không nhận lỗi ở mình,Luôn trốn tránh những công việc được giao,"A, B, C",D,civic_education
"Tục ngữ: “Đói cho sạch, rách cho thơm” nói đến điều gì ?",Giản dị.,Tiết kiệm.,Lòng tự trọng.,Khiêm tốn.,C,civic_education
