predict,label,score,model
"Giết người, trộm cắp, bạo lực học đường.","Xâm hại tình dục trẻ em, trộm cắp, lừa đảo.",0.22222222222222224,gemma2_9b_logging_file_domain
Hậu quả xã hội,Vi phạm quy chế.,0.0,gemma2_9b_logging_file_domain
Tử hình,Cảnh cáo.,0.0,gemma2_9b_logging_file_domain
"Giáo dục, kèm cặp",Phạt tù.,0.0,gemma2_9b_logging_file_domain
Ngay sau khi tiếp xúc,1 tuần.,0.0,gemma2_9b_logging_file_domain
HIV,Cúm gà.,0.0,gemma2_9b_logging_file_domain
Hệ miễn dịch suy giảm,Sút cân trên 10% trọng lượng cơ thể.,0.0,gemma2_9b_logging_file_domain
Quan hệ tình dục không an toàn,"Muỗi, côn trùng chích hút máu người nhiễm HIV rồi chích sang người lành",0.0,gemma2_9b_logging_file_domain
Sử dụng bao cao su khi quan hệ tình dục.,Tuyên truyền tới mọi người tác hại của ma túy để mọi người phòng chống.,0.0,gemma2_9b_logging_file_domain
Các doanh nghiệp quốc phòng,Cá nhân.,0.0,gemma2_9b_logging_file_domain
Ngày 23 tháng 3,Ngày 14 tháng 10,0.5,gemma2_9b_logging_file_domain
Để bình gas trong nhà bếp không có thông gió.,Dùng dao để đánh nhau.,0.13333333333333333,gemma2_9b_logging_file_domain
"Đối tượng đang cố tình, nguy hiểm, gây chết người hoặc làm bị thương người thi hành công vụ hoặc người khác, và các biện pháp khác không đủ để khống chế tình hình.","Khi biết rõ đối tượng đang thực hiện hành vi phạm tội nghiêm trọng, phạm tội rất nghiêm trọng, phạm tội đặc biệt nghiêm trọng.",0.13559322033898305,gemma2_9b_logging_file_domain
Chất độc hại,Vũ khí,0.0,gemma2_9b_logging_file_domain
Từ 3 năm đến 7 năm,Từ 1 năm đến 5 năm.,0.6666666666666666,gemma2_9b_logging_file_domain
Chiếm hữu của chủ sở hữu và chiếm hữu của người không phải chủ sở hữu.,Chiếm hữu của chủ sở hữu.,0.5454545454545454,gemma2_9b_logging_file_domain
Quyền sở hữu,Quyền chiếm hữu.,0.6666666666666666,gemma2_9b_logging_file_domain
Đảm bảo và bảo vệ,Bảo hộ và chịu trách nhiệm.,0.3636363636363636,gemma2_9b_logging_file_domain
Đảm bảo quyền sở hữu của công dân,Ghi nhận trong Hiến pháp và các văn bản quy định pháp luật quyền sở hữu của công dân.,0.44444444444444436,gemma2_9b_logging_file_domain
để đáp ứng nhu cầu của con người,"Tạo ra cơm ăn, áo mặc, tạo ra tư liệu sản xuất.",0.0,gemma2_9b_logging_file_domain
Đáp ứng nhu cầu của con người,Thúc đẩy tăng trưởng kinh tế.,0.0,gemma2_9b_logging_file_domain
Sự phát triển của xã hội,Thu nhập của người lao động.,0.16666666666666666,gemma2_9b_logging_file_domain
Lực lượng lao động,Kết cấu hạ tầng của sản xuất.,0.0,gemma2_9b_logging_file_domain
Tư duy sáng tạo,Đối tượng lao động.,0.0,gemma2_9b_logging_file_domain
Hai,Hai điều kiện,0.5,gemma2_9b_logging_file_domain
Giá trị sử dụng và giá trị trao đổi,Giá cả và giá trị sử dụng,0.5,gemma2_9b_logging_file_domain
Lao động xã hội cần thiết để sản xuất hàng hóa kết tinh trong hàng hóa,Chi phí làm ra hàng hóa,0.18181818181818182,gemma2_9b_logging_file_domain
Người tiêu dùng sẵn sàng mua hàng hóa với một giá nhất định,Người sản xuất cung ứng hàng hóa phù hợp với nhu cầu nhu cầu của người tiêu dùng,0.2580645161290323,gemma2_9b_logging_file_domain
Dịch vụ giặt quần áo,Nước máy,0.0,gemma2_9b_logging_file_domain
Trung thực,Khoan dung,0.0,gemma2_9b_logging_file_domain
[Lựa chọn một hành động thiên vị hoặc bất công],"Trong công việc, ưu ái người nhà hơn người ngoài.",0.10000000000000002,gemma2_9b_logging_file_domain
tư tâm vì lợi ích chung,"mánh khoé, vụ lợi.",0.2,gemma2_9b_logging_file_domain
Đức tính liêm khiết,Đức tính trung thực,0.5,gemma2_9b_logging_file_domain
"Phán xét mọi người dựa trên sự thật và lẽ phải, không thiên vị cho ai.",Luôn nhận định theo số đông là chí công vô tư.,0.0,gemma2_9b_logging_file_domain
"E có ý thức phấn đấu, chịu khó.",E là người trung thực.,0.15384615384615385,gemma2_9b_logging_file_domain
"Phụ thuộc vào người khác, không dám đưa ra quyết định","Bình tĩnh, sáng suốt đưa ra những quyết định đúng đắn.",0.36363636363636365,gemma2_9b_logging_file_domain
Tìm cách giải quyết ổn thỏa với bạn,Yêu cầu bạn mua đền món đồ.,0.13333333333333333,gemma2_9b_logging_file_domain
N là người có lòng nhân ái,N là người tôn trọng người khác.,0.42857142857142855,gemma2_9b_logging_file_domain
Dù ai nói ngả nói nghiêng/ Lòng ta vẫn vững như kiềng ba chân.,Học thầy không tày học bạn.,0.0,gemma2_9b_logging_file_domain
Kiên định,Cần cù,0.0,gemma2_9b_logging_file_domain
B là người thiếu trung thực,B là người không tự tin.,0.5,gemma2_9b_logging_file_domain
Đi học muộn,Đi học đúng giờ,0.5714285714285715,gemma2_9b_logging_file_domain
Dân chủ,Khiêm nhường,0.0,gemma2_9b_logging_file_domain
Học sinh không tham gia thảo luận,Tích cực tham gia các hoạt động của lớp.,0.25,gemma2_9b_logging_file_domain
"Tham gia thảo luận, đưa ra ý kiến và tôn trọng quyết định chung của lớp.",Không tham gia các hoạt động của lớp.,0.3333333333333333,gemma2_9b_logging_file_domain
"Tuyên truyền hòa bình, đấu tranh chống chiến tranh","Gây chiến tranh, khủng bố ở nhiều nơi trên thế giới",0.19999999999999998,gemma2_9b_logging_file_domain
mọi công dân trên thế giới,những nước đang có chiến tranh,0.0,gemma2_9b_logging_file_domain
Hoạt động ngoại giao,Bảo vệ đất nước,0.0,gemma2_9b_logging_file_domain
Sự kiện giải phóng hoàn toàn miền Nam,30/4/1954.,0.0,gemma2_9b_logging_file_domain
và có giá trị cao trong một thời gian nhất định.,có chất lượng nhưng mất nhiều thời gian.,0.3157894736842105,gemma2_9b_logging_file_domain
"Thực hiện công việc sai sót, chậm tiến độ",Vừa xem ti vi vừa ăn cơm.,0.0,gemma2_9b_logging_file_domain
Mức độ cần thiết,Tiền đề.,0.0,gemma2_9b_logging_file_domain
Là điều kiện để mọi người được nghỉ ngơi thoải mái.,Thúc đẩy sự phát triển của đất nước trong thời kì hội nhập.,0.0,gemma2_9b_logging_file_domain
"Làm việc có năng suất, chất lượng và hiệu quả là những yếu tố cần thiết và bổ sung cho nhau.",Trong sản xuất chỉ cần chú ý đến chất lượng sản phẩm.,0.12121212121212123,gemma2_9b_logging_file_domain
tập trung và kiên trì,chép bài của bạn.,0.0,gemma2_9b_logging_file_domain
sáng tạo,hợp tác cùng phát triển.,0.0,gemma2_9b_logging_file_domain
Sự tôn trọng lẫn nhau,Hoàn cảnh gia đình tương xứng,0.0,gemma2_9b_logging_file_domain
"Nam từ đủ 21 tuổi trở lên, nữ từ đủ 18 tuổi trở lên.","Nam từ 20 tuổi trở lên, nữ từ 18 tuổi trở lên",0.8461538461538461,gemma2_9b_logging_file_domain
Hôn nhân chỉ nên diễn ra giữa những người có cùng tôn giáo.,"Hôn nhân nhằm mục đích chung sống lâu dài và xây dựng gia đình hoà thuận, hạnh phúc.",0.12903225806451615,gemma2_9b_logging_file_domain
Tăng cường sự đoàn kết gia đình.,Ảnh hưởng xấu đến sức khoẻ của cả mẹ và con.,0.0,gemma2_9b_logging_file_domain
Hôn nhân cùng lúc giữa một công dân Việt Nam với hai người nước ngoài.,"Hôn nhân tiến bộ, một vợ một chồng, vợ chồng bình đẳng.",0.22222222222222224,gemma2_9b_logging_file_domain
Phụ nữ phải răm rắp nghe lời chồng,"Ép dầu ép mỡ, ai nỡ ép duyên.",0.0,gemma2_9b_logging_file_domain
lao động tự do,cải tạo,0.0,gemma2_9b_logging_file_domain
Tránh việc trả lương đúng quy định cho người lao động.,Công dân đủ 16 tuổi được nhận vào các công ty để làm việc.,0.08,gemma2_9b_logging_file_domain
việc làm phù hợp với khả năng của mình mà không bị phân biệt đối xử.,việc làm theo sở thích của mình.,0.34782608695652173,gemma2_9b_logging_file_domain
6 giờ/ngày và 30 giờ/tuần,6 giờ/ngày và 30 giờ/tuần.,1.0,gemma2_9b_logging_file_domain
các quan hệ cá nhân và quyền lợi của công dân,"các quan hệ lao động, công vụ nhà nước.",0.39999999999999997,gemma2_9b_logging_file_domain
"Đảm bảo trật tự xã hội, bảo vệ quyền lợi hợp pháp của công dân.",Lập lại trật tự xã hội.,0.3809523809523809,gemma2_9b_logging_file_domain
trách nhiệm hình sự,vi phạm pháp luật.,0.0,gemma2_9b_logging_file_domain
pháp luật hình sự,pháp luật dân sự,0.75,gemma2_9b_logging_file_domain
Bạn B là người ích kỉ và không biết trân trọng.,Bạn B là người vô ý thức.,0.4444444444444444,gemma2_9b_logging_file_domain
"Không đua đòi, xa hoa, lãng phí","Ăn mặc gọn gàng, không lòe loẹt.",0.14285714285714285,gemma2_9b_logging_file_domain
"Giúp ta sống thanh thản, tránh xa những phiền muộn, lo toan về vật chất.",Được mọi người giúp đỡ.,0.1,gemma2_9b_logging_file_domain
"Phô trương, cầu kì",Thẳng thắn.,0.0,gemma2_9b_logging_file_domain
"Sử dụng đồ xa xỉ, lãng phí tiền bạc",Không chơi với bạn khác giới.,0.0,gemma2_9b_logging_file_domain
Sự vi phạm quy định của nhà trường,Đức tính khiêm tốn.,0.0,gemma2_9b_logging_file_domain
Điều kiện,Điều kiện.,1.0,gemma2_9b_logging_file_domain
"Sống không cầu kì, phô trương, tiết kiệm, chân thành, gần gũi.","Thực hiện đúng nội quy của nhà trường đề ra, trang phục khi đến trường sạch sẽ, tươm tất, lịch sử, bảo vệ của công, không xa hoa lãng phí.",0.04761904761904761,gemma2_9b_logging_file_domain
Kiên cường,Khiêm tốn.,0.0,gemma2_9b_logging_file_domain
"Lời nói chẳng mất tiền mua, lựa lời mà nói cho vừa lòng nhau",Người gian thì sợ người ngay/ Người ngay chẳng sợ đường cày cong queo,0.07142857142857142,gemma2_9b_logging_file_domain
Trung thực,Đức tính thật thà.,0.0,gemma2_9b_logging_file_domain
Nói dối để được khen ngợi,Không bao che cho bạn khi mắc lỗi,0.0,gemma2_9b_logging_file_domain
Lươn lẹo,Chăm chỉ.,0.0,gemma2_9b_logging_file_domain
"Tích cực trò chuyện với bạn K, tìm hiểu nguyên nhân khiến bạn ấy vi phạm và cùng nhau tìm cách khắc phục.",Nói với bố mẹ bạn K để bố mẹ bạn K dạy giỗ.,0.2222222222222222,gemma2_9b_logging_file_domain
V là người không giữ lời hứa.,V là người vô cảm.,0.5,gemma2_9b_logging_file_domain
Tự tin,Khiêm tốn.,0.0,gemma2_9b_logging_file_domain
Là người không có ý thức về phẩm giá và danh dự của mình,Luôn làm sai,0.0,gemma2_9b_logging_file_domain
Sự trong sạch và thanh cao,Giản dị.,0.0,gemma2_9b_logging_file_domain
Q là người không tôn trọng,Q là người vô cảm.,0.5454545454545454,gemma2_9b_logging_file_domain
Sự đồng cảm và chia sẻ,Lòng trung thành.,0.0,gemma2_9b_logging_file_domain
Tối ưu hóa thời gian,Thời gian hợp lý,0.4444444444444445,gemma2_9b_logging_file_domain
Giúp tiết kiệm thời gian và năng lượng,Chủ động thời gian làm việc,0.28571428571428575,gemma2_9b_logging_file_domain
Tích cực học hỏi và trau dồi kiến thức,Sống và làm việc có kế hoạch.,0.125,gemma2_9b_logging_file_domain
Đặt ra mục tiêu và phương án thực hiện,Sắp xếp công việc,0.0,gemma2_9b_logging_file_domain
Cả xã hội,Nhà nước,0.0,gemma2_9b_logging_file_domain
Quyền được sở hữu tài sản,"Quyền được bảo vệ tính mạng, thân thể",0.28571428571428575,gemma2_9b_logging_file_domain
Luật về quyền trẻ em,Hiến pháp.,0.0,gemma2_9b_logging_file_domain
Luật hình sự,Luật hôn nhân và gia đình.,0.2222222222222222,gemma2_9b_logging_file_domain
1993,Tháng 1 - 1994.,0.0,gemma2_9b_logging_file_domain
5/5,5/9.,0.0,gemma2_9b_logging_file_domain
Diện tích rừng đang được phục hồi nhưng tốc độ phục hồi chưa đủ nhanh để bù đắp cho sự suy giảm chất lượng.,Tài nguyên rừng của nước ta đang được phục hồi cả về số lượng lẫn chất lượng.,0.34146341463414637,gemma2_9b_logging_file_domain
Thép,Cá voi.,0.0,gemma2_9b_logging_file_domain
"Ngăn chặn nạn phá rừng, phòng chống xói mòn, rửa trôi.","Nâng cao hiệu quả sử dụng, có chế độ canh tác hợp lí.",0.0,gemma2_9b_logging_file_domain
tài sản văn hóa phi vật thể,di sản văn hóa vật thể,0.7692307692307692,gemma2_9b_logging_file_domain
Di sản văn hóa phi vật thể,Di sản văn hóa vật thể.,0.923076923076923,gemma2_9b_logging_file_domain
Di sản văn hóa tangible và intangible.,Di sản văn hóa vô hình và hữu hình.,0.6250000000000001,gemma2_9b_logging_file_domain
Lên chùa cầu nguyện cho gia đình bình an,Yểm bùa,0.0,gemma2_9b_logging_file_domain
Đạo Tin Lành,Đạo Tin lành.,1.0,gemma2_9b_logging_file_domain
Lễ vật,Tôn giáo.,0.0,gemma2_9b_logging_file_domain
"Tập thể dục, ăn uống điều độ",hằng ngày không vệ sinh cá nhân,0.0,gemma2_9b_logging_file_domain
Tự ý dùng thuốc khi chưa được bác sĩ kê đơn,Hằng ngày luyện tập thể dục thể thao,0.0,gemma2_9b_logging_file_domain
Sức khỏe là nền tảng cho sự phát triển toàn diện của mỗi người.,"Sức khỏe giúp chúng ta lạc quan, vui tươi hạnh phúc.",0.16,gemma2_9b_logging_file_domain
"Sự bền bỉ, không bỏ cuộc trước khó khăn",Miệt mài làm việc.,0.0,gemma2_9b_logging_file_domain
Sự kiên trì,Đức tính tiết kiệm.,0.0,gemma2_9b_logging_file_domain
"Giàu đâu mà sang, sang đâu mà giàu.",Đi một ngày đàng học một sàng khôn.,0.0,gemma2_9b_logging_file_domain
Biết cách cư xử lịch sự và tôn trọng người khác.,Chỉ chào hỏi người lớn tuổi.,0.11764705882352942,gemma2_9b_logging_file_domain
Có lời nói có việc làm,Góp gió thành bão.,0.0,gemma2_9b_logging_file_domain
Theo đúng giờ giấc học tập,Vứt rác đúng nơi quy định.,0.16666666666666666,gemma2_9b_logging_file_domain
Lệch giờ đến lớp mà không có lý do chính đáng.,Mặc đồng phục trường.,0.0,gemma2_9b_logging_file_domain
một hành động,sự bày tỏ lòng biết ơn.,0.0,gemma2_9b_logging_file_domain
Ăn quả nhớ kẻ trồng cây.,Ăn quả nhớ kẻ trồng cây.,1.0,gemma2_9b_logging_file_domain
Sự phản bội,Sự đoàn kết.,0.3333333333333333,gemma2_9b_logging_file_domain
Đốt rừng làm nương rẫy,Trồng cây gây rừng.,0.22222222222222224,gemma2_9b_logging_file_domain
Sử dụng thiên nhiên một cách có trách nhiệm,Làm ô nhiễm môi trường thiên nhiên,0.25,gemma2_9b_logging_file_domain
"Rừng, biển, đất","Rừng, bầu trời, đất.",0.5714285714285715,gemma2_9b_logging_file_domain
"Lạnh nhạt, xa cách, không quan tâm đến người khác.",Không chơi với người nghèo.,0.26666666666666666,gemma2_9b_logging_file_domain
"Tạo nên một xã hội hòa bình, yêu thương và gắn kết.",Để lợi dụng được lòng tốt của mọi người,0.0,gemma2_9b_logging_file_domain
1989,1998,0.0,gemma2_9b_logging_file_domain
1993,1992,0.0,gemma2_9b_logging_file_domain
"Nhóm quyền: sống còn, bảo vệ, phát triển và tham gia.","Nhóm quyền : sống còn, học tập, phát triển và vui chơi.",0.6363636363636364,gemma2_9b_logging_file_domain
1992,1986,0.0,gemma2_9b_logging_file_domain
Người đó không có quốc tịch nước ngoài.,Có công lao đặc biệt cho sự nghiệp xây dựng và bảo vệ Tổ quốc.,0.1739130434782609,gemma2_9b_logging_file_domain
Sinh ra ở Việt Nam,"Mẹ là người nước ngoài, bố là người Việt Nam.",0.26666666666666666,gemma2_9b_logging_file_domain
Mạng lưới các tuyến đường và các công trình phụ trợ phục vụ giao thông đường bộ,"Hầm dường bộ, bến phà đường bộ",0.16666666666666666,gemma2_9b_logging_file_domain
"hình tròn, viền đỏ, nền trắng, hình vẽ màu đen","hình vuông hoặc hình chữ nhật, viền đen, nền trắng",0.4000000000000001,gemma2_9b_logging_file_domain
Biển báo nguy hiểm,Biển báo nguy hiểm.,1.0,gemma2_9b_logging_file_domain
Hiến pháp,Luật trẻ em.,0.0,gemma2_9b_logging_file_domain
Nhà nước có trách nhiệm phổ cập giáo dục,Người già không được đi học,0.0,gemma2_9b_logging_file_domain
Tôn trọng,Tìm hiểu,0.0,gemma2_9b_logging_file_domain
Điều 23,Điều 23.,1.0,gemma2_9b_logging_file_domain
[Luật pháp],Cảnh sát,0.0,gemma2_9b_logging_file_domain
Cơ bản,Thực chất,0.0,gemma2_9b_logging_file_domain
"Điều 21, Hiến pháp 2013.","Điều 19, Hiến pháp 2011.",0.6,gemma2_9b_logging_file_domain
"Điều 22, Hiến pháp 2013.","Điều 22, Hiến pháp 2013.",1.0,gemma2_9b_logging_file_domain
Quyền được bảo vệ bí mật đời tư,"Quyền được pháp luật bảo hộ về sức khỏe, danh dự và nhân phẩm.",0.2727272727272727,gemma2_9b_logging_file_domain
2,2,1.0,gemma2_9b_logging_file_domain
"54 điều, 42 quyền","51 điều, 23 quyền.",0.5,gemma2_9b_logging_file_domain
nền văn hóa,chính trị.,0.0,gemma2_9b_logging_file_domain
đối với tất cả mọi người trong xã hội,đối với người vi phạm,0.42857142857142855,gemma2_9b_logging_file_domain
Tính tùy tiện,Tính xác định chặt chế về hình thức.,0.18181818181818182,gemma2_9b_logging_file_domain
Tính ứng dụng cụ thể,Tính quyền lực bắt buộc chung.,0.1818181818181818,gemma2_9b_logging_file_domain
thi hành pháp luật,sử dụng pháp luật,0.5,gemma2_9b_logging_file_domain
chủ thể tuân thủ và thực hiện các quy định của pháp luật,chủ thể quyết định không thực hiện điều mà pháp luật cắm.,0.48000000000000004,gemma2_9b_logging_file_domain
cho phép và quy định,quy định phải làm.,0.4444444444444445,gemma2_9b_logging_file_domain
Tuân thủ quy định về tốc độ cho phép trên đường.,"Lạng lách, đánh võng, chở hàng cồng kềnh.",0.0,gemma2_9b_logging_file_domain
Công dân bình đẳng về quyền được hưởng trợ cấp xã hội.,Công dân bình đẳng về quyền bầu cử.,0.6,gemma2_9b_logging_file_domain
trước pháp luật,về điều kiện kinh doanh.,0.0,gemma2_9b_logging_file_domain
Được hưởng quyền và làm nghĩa vụ như nhau trước pháp luật.,Đều có quyền như nhau.,0.35294117647058826,gemma2_9b_logging_file_domain
Phải được đảm bảo bình đẳng cho tất cả công dân,"Đôi khi bị phân biệt bởi giàu nghèo, thành phần và địa vị xã hội",0.0,gemma2_9b_logging_file_domain
vợ và chồng có quyền và nghĩa vụ ngang nhau về mọi mặt trong gia đình.,"chỉ có người vợ mới có nghĩa vụ kế hoạch hoá gia đình, chăm sóc và giáo dục con cái. .",0.33333333333333326,gemma2_9b_logging_file_domain
"Lao động nam và lao động nữ đều có quyền được hưởng mức lương và các quyền lợi nghề nghiệp tương đương với cùng một công việc, trình độ và kinh nghiệm.","Lao động nam và lao động nữ đều làm mọi công việc như nhau, không cần xét đến đặc điểm về chức năng sinh lý.",0.3508771929824561,gemma2_9b_logging_file_domain
vợ và chồng,cha mẹ và các con.,0.25,gemma2_9b_logging_file_domain
mọi doanh nghiệp đều được pháp luật bảo vệ và tạo điều kiện ngang hàng trong hoạt động kinh doanh.,doanh nghiệp nhà nước được ưu tiên hơn các doanh nghiệp khác.,0.25,gemma2_9b_logging_file_domain
Hiến pháp,Giáo luật,0.0,gemma2_9b_logging_file_domain
54,57,0.0,gemma2_9b_logging_file_domain
quyền học tập,xã hội.,0.0,gemma2_9b_logging_file_domain
Tất cả các dân tộc đều có quyền tham gia vào các hoạt động kinh tế và được hưởng các lợi ích kinh tế một cách công bằng.,Nhà nước phải bảo đảm để dân tộc chiếm đa số có trình độ phát triển kinh tế cao hơn dân tộc thiểu số.,0.1923076923076923,gemma2_9b_logging_file_domain
tự do về thân thể của công dân,bất khả xâm phạm về thân thể của công dân.,0.6666666666666665,gemma2_9b_logging_file_domain
đánh phạt nghiêm khắc,ủng hộ.,0.0,gemma2_9b_logging_file_domain
Quyền sở hữu của công dân,Quyền nhân thân của công dân.,0.6666666666666666,gemma2_9b_logging_file_domain
Quyền được bảo vệ bí mật cá nhân,Quyền tự do dân chủ của công dân.,0.125,gemma2_9b_logging_file_domain
tội phạm,điều bình thường.,0.0,gemma2_9b_logging_file_domain
Quyền bầu chọn,Quyền bầu cử.,0.6666666666666666,gemma2_9b_logging_file_domain
nhân dân tự do lựa chọn đại diện cho mình trong các cơ quan nhà nước,"Thực hiện cơ chế ""dân biết, dân bàn, dân làm, dân kiểm tra"".",0.06896551724137931,gemma2_9b_logging_file_domain
Bình đẳng,Bình đẳng.,1.0,gemma2_9b_logging_file_domain
Bình đẳng,Phổ thông.,0.0,gemma2_9b_logging_file_domain
dân chủ trực tiếp,Hình thức dân chủ xã hội chủ nghĩa,0.3333333333333333,gemma2_9b_logging_file_domain
Quyền được tự do lựa chọn ngành nghề học tập của công dân.,"Quyền học thường xuyên, suốt đời của công dân.",0.4545454545454546,gemma2_9b_logging_file_domain
Sao chép một bài hát đã có sẵn.,Viết bài đăng báo.,0.16666666666666666,gemma2_9b_logging_file_domain
"Quan tâm, chăm lo đến sự nghiệp phát triển của nhân tài",Coi nhẹ nhân tài.,0.25,gemma2_9b_logging_file_domain
Quyền tự do ngôn luận,Quyền được phát triển.,0.22222222222222224,gemma2_9b_logging_file_domain
Quyền học tập linh hoạt,Công dân bình đẳng về cơ hội học tập.,0.2857142857142857,gemma2_9b_logging_file_domain
đạt các tiêu chí và điều kiện do pháp luật quy định,Kinh doanh trong lĩnh vực bất động sản.,0.0,gemma2_9b_logging_file_domain
Có giấy phép kinh doanh,Không cần bằng cấp nào nữa.,0.0,gemma2_9b_logging_file_domain
chính phủ và các tổ chức quốc tế,"riêng cán bộ, công chức nhà nước.",0.13333333333333333,gemma2_9b_logging_file_domain
"Hình thức sở hữu, ngành, nghề, lĩnh vực và địa bàn kinh doanh.",Uy tín nguời đứng đầu doanh nghiệp.,0.1,gemma2_9b_logging_file_domain
"Quốc phòng, an ninh",Xã hội.,0.0,gemma2_9b_logging_file_domain
Sự vận động và phát triển của lịch sử loài người,Những vấn đề quan trọng của thế giới đương đại,0.09523809523809525,gemma2_9b_logging_file_domain
"Triết học là ngành học nghiên cứu những vấn đề cơ bản về sự tồn tại, tri thức, giá trị, và tính chất của thực tại",Triết học là khoa học nghiên cứu về vị trí của con người trong thế giới,0.380952380952381,gemma2_9b_logging_file_domain
Môn ,Môn Sinh học,0.5,gemma2_9b_logging_file_domain
[Sinh thái học],Hóa học,0.4,gemma2_9b_logging_file_domain
Cách hiểu về bản chất của thế giới và con người,Mặt thứ nhất vấn đề cơ bản của Triết học,0.1904761904761905,gemma2_9b_logging_file_domain
Duy vật,Thế giới quan duy tâm,0.28571428571428575,gemma2_9b_logging_file_domain
Ý thức là cái có trước và vật chất được tạo ra từ ý thức,Vật chất là cái có trước và quyết định ý thức,0.5384615384615385,gemma2_9b_logging_file_domain
Thế giới,Giới tự nhiên và tư duy,0.25,gemma2_9b_logging_file_domain
"Sự biến đổi của sự vật, hiện tượng là do sự tác động lẫn nhau của các yếu tố khách quan",Mọi sự biến đổi đều là tạm thời,0.27586206896551724,gemma2_9b_logging_file_domain
Liên tục,Thụt lùi,0.0,gemma2_9b_logging_file_domain
Vận động sinh học,Vận động hóa học,0.75,gemma2_9b_logging_file_domain
Biến đổi và phát triển,Phong phú và đa dạng,0.20000000000000004,gemma2_9b_logging_file_domain
Vận động chỉ diễn ra ở các đối tượng có cấu trúc phức tạp,Triết học Mác – Lênin khái quát có năm hình thức vận động cơ bản trong thế giới vật chất,0.11764705882352941,gemma2_9b_logging_file_domain
Sự rơi của một quả táo từ trên cây xuống,Quá trình bốc hơi của nước,0.125,gemma2_9b_logging_file_domain
"Sự thay đổi về các phương thức sản xuất, tổ chức xã hội và đời sống con người.",Sự xuất hiện các giống loài mới,0.16,gemma2_9b_logging_file_domain
Phải kết hợp quan sát với lý luận để có cái nhìn toàn diện và chính xác.,Xem xét sự vật hiện tượng trong hình thức vận động cao nhất của nó,0.0,gemma2_9b_logging_file_domain
Vận động là động lực của phát triển,Không phải sự phát triển nào cũng là vận động,0.22222222222222224,gemma2_9b_logging_file_domain
Sinh học,Tư duy,0.0,gemma2_9b_logging_file_domain
Mâu thuẫn,Vận động,0.0,gemma2_9b_logging_file_domain
"Tương hỗ, bổ sung nhau",Khác nhau,0.28571428571428575,gemma2_9b_logging_file_domain
có tính chất tương phản rõ rệt,Thống nhất biện chứng với nhau,0.0,gemma2_9b_logging_file_domain
Sự tương quan,Sự đấu tranh giữa các mặt đối lập,0.18181818181818182,gemma2_9b_logging_file_domain
